Date;Hour  (GMT);O3 (µg/m3);OZONO;O3 - ICA;O3 8h (µg/m3);D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
31/12/2024;24:00;11;11;Muy bueno / Oso ona;7;307;93;964,9;0;0;0,2;0,04;Muy bueno / Oso ona
31/12/2024;23:00;8;8;Muy bueno / Oso ona;8;282;91;964,9;0;0;0,9;0,3;Muy bueno / Oso ona
31/12/2024;22:00;2;2;Muy bueno / Oso ona;10;76;90;964,8;0;0;1;0,58;Muy bueno / Oso ona
31/12/2024;21:00;1;1;Muy bueno / Oso ona;12;15;85;964,5;0;0;2,2;0,15;Muy bueno / Oso ona
31/12/2024;20:00;5;5;Muy bueno / Oso ona;14;353;86;964,3;0;0;2,4;0,24;Muy bueno / Oso ona
31/12/2024;19:00;5;5;Muy bueno / Oso ona;16;337;87;963,9;0;0;2,8;0,38;Muy bueno / Oso ona
31/12/2024;18:00;7;7;Muy bueno / Oso ona;18;36;86;963,7;0;0;4,3;0,41;Muy bueno / Oso ona
31/12/2024;17:00;18;18;Muy bueno / Oso ona;19;98;78;963,6;0;25,5;5,8;0,85;Muy bueno / Oso ona
31/12/2024;16:00;20;20;Muy bueno / Oso ona;19;102;72;963,4;0;122,7;7,2;0,94;Muy bueno / Oso ona
31/12/2024;15:00;19;19;Muy bueno / Oso ona;19;75;70;963,4;0;200,5;7,1;0,56;Muy bueno / Oso ona
31/12/2024;14:00;20;20;Muy bueno / Oso ona;19;103;74;963,3;0;288,3;5,7;0,71;Muy bueno / Oso ona
31/12/2024;13:00;21;21;Muy bueno / Oso ona;20;89;78;963,6;0;340,2;4,5;0,73;Muy bueno / Oso ona
31/12/2024;12:00;18;18;Muy bueno / Oso ona;21;78;81;964,2;0;249,3;3,5;0,43;Muy bueno / Oso ona
31/12/2024;11:00;17;17;Muy bueno / Oso ona;22;75;90;965,1;0;119;1,2;0,58;Muy bueno / Oso ona
31/12/2024;10:00;17;17;Muy bueno / Oso ona;23;104;91;965;0;80,3;0,6;0,68;Muy bueno / Oso ona
31/12/2024;09:00;19;19;Muy bueno / Oso ona;23;89;94;964,7;0;23,9;-0,1;0,74;Muy bueno / Oso ona
31/12/2024;08:00;20;20;Muy bueno / Oso ona;23;97;91;964,5;0;0,6;0,2;0,82;Muy bueno / Oso ona
31/12/2024;07:00;23;23;Muy bueno / Oso ona;22;82;90;964,3;0;0;0,8;0,47;Muy bueno / Oso ona
31/12/2024;06:00;27;27;Muy bueno / Oso ona;19;149;91;964;0;0;0,8;0,22;Muy bueno / Oso ona
31/12/2024;05:00;26;26;Muy bueno / Oso ona;16;89;90;963,9;0;0;0,9;0,4;Muy bueno / Oso ona
31/12/2024;04:00;25;25;Muy bueno / Oso ona;13;34;89;964;0;0;1,6;0,25;Muy bueno / Oso ona
31/12/2024;03:00;24;24;Muy bueno / Oso ona;9;91;91;963,9;0;0;1,1;0,52;Muy bueno / Oso ona
31/12/2024;02:00;;;Sin datos / Daturik gabe;6;113;90;963,8;0;0;0,9;0,8;Sin datos / Daturik gabe
31/12/2024;01:00;18;18;Muy bueno / Oso ona;7;141;89;964,1;0;0;1,3;0,46;Muy bueno / Oso ona
30/12/2024;24:00;8;8;Muy bueno / Oso ona;7;61;87;964,1;0;0;1,7;0,23;Muy bueno / Oso ona
30/12/2024;23:00;8;8;Muy bueno / Oso ona;10;335;85;964;0;0;2,5;0,11;Muy bueno / Oso ona
30/12/2024;22:00;4;4;Muy bueno / Oso ona;12;337;87;963,8;0;0;2,3;0,23;Muy bueno / Oso ona
30/12/2024;21:00;2;2;Muy bueno / Oso ona;16;344;87;963,5;0;0;2,1;0,29;Muy bueno / Oso ona
30/12/2024;20:00;2;2;Muy bueno / Oso ona;20;342;85;963,2;0;0;2,8;0,3;Muy bueno / Oso ona
30/12/2024;19:00;3;3;Muy bueno / Oso ona;24;350;82;962,9;0;0;3,7;0,33;Muy bueno / Oso ona
30/12/2024;18:00;7;7;Muy bueno / Oso ona;28;330;79;962,9;0;0;4,6;0,42;Muy bueno / Oso ona
30/12/2024;17:00;20;20;Muy bueno / Oso ona;31;294;71;962,6;0;25,8;6,4;0,59;Muy bueno / Oso ona
30/12/2024;16:00;30;30;Muy bueno / Oso ona;31;298;65;962,3;0;125;8,3;0,54;Muy bueno / Oso ona
30/12/2024;15:00;31;31;Muy bueno / Oso ona;31;288;70;962,1;0;201,9;7,5;0,63;Muy bueno / Oso ona
30/12/2024;14:00;35;35;Muy bueno / Oso ona;31;291;71;962,4;0;279,4;7,4;0,39;Muy bueno / Oso ona
30/12/2024;13:00;35;35;Muy bueno / Oso ona;30;226;75;962,8;0;319,6;6,4;0,85;Muy bueno / Oso ona
30/12/2024;12:00;33;33;Muy bueno / Oso ona;29;187;80;963,8;0;255;4,5;0,96;Muy bueno / Oso ona
30/12/2024;11:00;30;30;Muy bueno / Oso ona;28;164;85;964,5;0;93,9;3;0,85;Muy bueno / Oso ona
30/12/2024;10:00;30;30;Muy bueno / Oso ona;28;160;87;964,3;0;56,7;2,6;0,88;Muy bueno / Oso ona
30/12/2024;09:00;27;27;Muy bueno / Oso ona;27;174;88;964;0;18;2;1,43;Muy bueno / Oso ona
30/12/2024;08:00;28;28;Muy bueno / Oso ona;27;181;89;963,6;0;0,2;2,1;1,04;Muy bueno / Oso ona
30/12/2024;07:00;28;28;Muy bueno / Oso ona;27;195;89;963,2;0;0;2,3;0,9;Muy bueno / Oso ona
30/12/2024;06:00;27;27;Muy bueno / Oso ona;27;203;90;962,9;0;0;2,4;0,52;Muy bueno / Oso ona
30/12/2024;05:00;26;26;Muy bueno / Oso ona;27;191;90;962,8;0;0;2,3;0,72;Muy bueno / Oso ona
30/12/2024;04:00;28;28;Muy bueno / Oso ona;27;214;89;963,1;0;0;2,7;0,49;Muy bueno / Oso ona
30/12/2024;03:00;28;28;Muy bueno / Oso ona;27;214;89;963,3;0;0;2,9;0,55;Muy bueno / Oso ona
30/12/2024;02:00;;;Sin datos / Daturik gabe;27;182;90;963,3;0;0;2,6;1,03;Sin datos / Daturik gabe
30/12/2024;01:00;26;26;Muy bueno / Oso ona;28;178;89;963,4;0;0;3,2;1,09;Muy bueno / Oso ona
29/12/2024;24:00;28;28;Muy bueno / Oso ona;29;196;92;963,5;0;0;4,2;0,74;Muy bueno / Oso ona
29/12/2024;23:00;25;25;Muy bueno / Oso ona;30;182;92;963,4;0;0;4,6;0,61;Muy bueno / Oso ona
29/12/2024;22:00;25;25;Muy bueno / Oso ona;31;200;91;963,4;0;0;5,1;0,47;Muy bueno / Oso ona
29/12/2024;21:00;27;27;Muy bueno / Oso ona;33;131;89;963,3;0;0;5,5;0,68;Muy bueno / Oso ona
29/12/2024;20:00;29;29;Muy bueno / Oso ona;34;111;89;963,2;0;0;5,7;0,73;Muy bueno / Oso ona
29/12/2024;19:00;32;32;Muy bueno / Oso ona;35;86;88;963,2;0;0;5,8;0,7;Muy bueno / Oso ona
29/12/2024;18:00;33;33;Muy bueno / Oso ona;36;88;87;963;0;0;6;0,62;Muy bueno / Oso ona
29/12/2024;17:00;33;33;Muy bueno / Oso ona;36;86;86;962,9;0;4,2;6,3;0,67;Muy bueno / Oso ona
29/12/2024;16:00;35;35;Muy bueno / Oso ona;37;91;84;962,7;0;34,8;6,7;0,61;Muy bueno / Oso ona
29/12/2024;15:00;35;35;Muy bueno / Oso ona;37;56;82;962,6;0;62,3;7,2;0,41;Muy bueno / Oso ona
29/12/2024;14:00;37;37;Muy bueno / Oso ona;38;57;82;962,9;0;74,2;7,2;0,39;Muy bueno / Oso ona
29/12/2024;13:00;38;38;Muy bueno / Oso ona;38;91;84;963,3;0;73;6,9;0,15;Muy bueno / Oso ona
29/12/2024;12:00;37;37;Muy bueno / Oso ona;37;81;86;963,9;0;64,3;6,4;0,39;Muy bueno / Oso ona
29/12/2024;11:00;38;38;Muy bueno / Oso ona;35;136;88;964,2;0;50,4;5,9;0,52;Muy bueno / Oso ona
29/12/2024;10:00;38;38;Muy bueno / Oso ona;32;114;90;964,2;0;24,4;5,5;0,61;Muy bueno / Oso ona
29/12/2024;09:00;38;38;Muy bueno / Oso ona;31;105;90;963,9;0;5,5;5,5;0,51;Muy bueno / Oso ona
29/12/2024;08:00;38;38;Muy bueno / Oso ona;27;83;91;963,5;0;0;5,3;0,66;Muy bueno / Oso ona
29/12/2024;07:00;36;36;Muy bueno / Oso ona;23;51;89;963,2;0;0;5,8;0,46;Muy bueno / Oso ona
29/12/2024;06:00;38;38;Muy bueno / Oso ona;19;9;87;963;0;0;6,4;0,26;Muy bueno / Oso ona
29/12/2024;05:00;32;32;Muy bueno / Oso ona;15;5;87;963,1;0;0;6,4;0,3;Muy bueno / Oso ona
29/12/2024;04:00;18;18;Muy bueno / Oso ona;12;14;86;963,2;0;0;6,3;0,26;Muy bueno / Oso ona
29/12/2024;03:00;18;18;Muy bueno / Oso ona;11;39;88;963,3;0;0;5,7;0,35;Muy bueno / Oso ona
29/12/2024;02:00;;;Sin datos / Daturik gabe;10;58;90;963,2;0;0;5;0,55;Sin datos / Daturik gabe
29/12/2024;01:00;8;8;Muy bueno / Oso ona;12;62;88;963,5;0;0;5,2;0,57;Muy bueno / Oso ona
28/12/2024;24:00;11;11;Muy bueno / Oso ona;15;47;85;963,8;0;0;6,8;0,23;Muy bueno / Oso ona
28/12/2024;23:00;7;7;Muy bueno / Oso ona;18;333;87;963,8;0;0;5,8;0,34;Muy bueno / Oso ona
28/12/2024;22:00;9;9;Muy bueno / Oso ona;22;233;89;963,8;0;0;4,1;0,28;Muy bueno / Oso ona
28/12/2024;21:00;10;10;Muy bueno / Oso ona;25;285;87;963,7;0;0;4,6;0,22;Muy bueno / Oso ona
28/12/2024;20:00;11;11;Muy bueno / Oso ona;28;303;84;963,5;0;0;5,4;0,21;Muy bueno / Oso ona
28/12/2024;19:00;16;16;Muy bueno / Oso ona;30;246;83;962,9;0;0;6,2;0,13;Muy bueno / Oso ona
28/12/2024;18:00;20;20;Muy bueno / Oso ona;32;240;79;962,6;0;0;7,7;0,34;Muy bueno / Oso ona
28/12/2024;17:00;32;32;Muy bueno / Oso ona;31;262;67;962,4;0;21,8;11,1;0,4;Muy bueno / Oso ona
28/12/2024;16:00;39;39;Muy bueno / Oso ona;28;311;57;962,2;0;117,8;14,2;0,36;Muy bueno / Oso ona
28/12/2024;15:00;37;37;Muy bueno / Oso ona;26;303;60;962,1;0;193,6;13,6;0,37;Muy bueno / Oso ona
28/12/2024;14:00;35;35;Muy bueno / Oso ona;26;307;62;962,1;0;282,7;13,1;0,32;Muy bueno / Oso ona
28/12/2024;13:00;32;32;Muy bueno / Oso ona;27;18;65;962,6;0;342,5;11,9;0,26;Muy bueno / Oso ona
28/12/2024;12:00;31;31;Muy bueno / Oso ona;29;27;70;963,4;0;323,3;10,6;0,25;Muy bueno / Oso ona
28/12/2024;11:00;29;29;Muy bueno / Oso ona;30;41;75;963,9;0;257,5;8,7;0,27;Muy bueno / Oso ona
28/12/2024;10:00;14;14;Muy bueno / Oso ona;31;70;77;964;0;157,5;6,6;0,62;Muy bueno / Oso ona
28/12/2024;09:00;10;10;Muy bueno / Oso ona;34;31;81;963,9;0;51,2;5,8;0,32;Muy bueno / Oso ona
28/12/2024;08:00;20;20;Muy bueno / Oso ona;37;80;90;963,7;0;1,1;3,5;0,51;Muy bueno / Oso ona
28/12/2024;07:00;38;38;Muy bueno / Oso ona;38;204;89;963,4;0;0;4,7;0,71;Muy bueno / Oso ona
28/12/2024;06:00;44;44;Muy bueno / Oso ona;35;223;88;963,4;0;0;5,2;0,94;Muy bueno / Oso ona
28/12/2024;05:00;45;45;Muy bueno / Oso ona;29;196;87;963,3;0;0;5,4;1,41;Muy bueno / Oso ona
28/12/2024;04:00;41;41;Muy bueno / Oso ona;24;233;87;963,4;0;0;5,5;0,69;Muy bueno / Oso ona
28/12/2024;03:00;37;37;Muy bueno / Oso ona;20;358;86;963,4;0;0;5,6;0,28;Muy bueno / Oso ona
28/12/2024;02:00;;;Sin datos / Daturik gabe;19;11;85;963,3;0;0;5,8;0,23;Sin datos / Daturik gabe
28/12/2024;01:00;36;36;Muy bueno / Oso ona;21;336;85;963,4;0;0;6;0,55;Muy bueno / Oso ona
27/12/2024;24:00;28;28;Muy bueno / Oso ona;23;310;81;963,6;0;0;6,3;0,47;Muy bueno / Oso ona
27/12/2024;23:00;15;15;Muy bueno / Oso ona;26;7;79;963,8;0;0;6,5;0,31;Muy bueno / Oso ona
27/12/2024;22:00;3;3;Muy bueno / Oso ona;31;17;79;963,6;0;0;6,5;0,27;Muy bueno / Oso ona
27/12/2024;21:00;10;10;Muy bueno / Oso ona;38;20;79;963,5;0;0;6,9;0,2;Muy bueno / Oso ona
27/12/2024;20:00;12;12;Muy bueno / Oso ona;44;35;79;963,3;0;0;7,3;0,25;Muy bueno / Oso ona
27/12/2024;19:00;27;27;Muy bueno / Oso ona;49;249;77;963;0;0;8,1;0,38;Muy bueno / Oso ona
27/12/2024;18:00;38;38;Muy bueno / Oso ona;52;211;71;962,6;0;0;9,7;0,13;Muy bueno / Oso ona
27/12/2024;17:00;49;49;Muy bueno / Oso ona;52;190;64;962,3;0;20,7;11,3;0,78;Muy bueno / Oso ona
27/12/2024;16:00;53;53;Muy bueno / Oso ona;48;197;58;962;0;121;13,2;1,73;Muy bueno / Oso ona
27/12/2024;15:00;55;55;Muy bueno / Oso ona;44;184;55;961,8;0;209,4;14;0,57;Muy bueno / Oso ona
27/12/2024;14:00;56;56;Muy bueno / Oso ona;42;37;56;962;0;289,5;14,2;0,48;Muy bueno / Oso ona
27/12/2024;13:00;58;58;Muy bueno / Oso ona;39;76;61;962,5;0;335;12,4;1,34;Muy bueno / Oso ona
27/12/2024;12:00;57;57;Muy bueno / Oso ona;33;82;64;963,1;0;319,3;12,1;1,28;Muy bueno / Oso ona
27/12/2024;11:00;53;53;Muy bueno / Oso ona;27;54;69;963,5;0;247,4;11,6;0,76;Muy bueno / Oso ona
