Date;Hour  (GMT);CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;ICA Estación
04/11/2025;24:00
04/11/2025;23:00
04/11/2025;22:00
04/11/2025;21:00
04/11/2025;20:00
04/11/2025;19:00
04/11/2025;18:00
04/11/2025;17:00
04/11/2025;16:00
04/11/2025;15:00
04/11/2025;14:00
04/11/2025;13:00
04/11/2025;12:00
04/11/2025;11:00
04/11/2025;10:00
04/11/2025;09:00
04/11/2025;08:00
04/11/2025;07:00
04/11/2025;06:00;0,35;0,28;14;72;52;Bueno / Ona;14,21;Muy bueno / Oso ona;12,46;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
04/11/2025;05:00;0,31;0,3;6;52;44;Bueno / Ona;14,21;Muy bueno / Oso ona;12,38;Bueno / Ona;1;Muy bueno / Oso ona;Bueno / Ona
04/11/2025;04:00;0,22;0,31;2;20;18;Muy bueno / Oso ona;14,04;Muy bueno / Oso ona;12,38;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
04/11/2025;03:00;0,24;0,34;0;15;15;Muy bueno / Oso ona;13,88;Muy bueno / Oso ona;12,29;Bueno / Ona;1;Muy bueno / Oso ona;Bueno / Ona
04/11/2025;02:00;0,27;0,36;1;24;24;Muy bueno / Oso ona;13,75;Muy bueno / Oso ona;11,96;Bueno / Ona;2;Muy bueno / Oso ona;Bueno / Ona
04/11/2025;01:00;0,3;0,38;1;35;34;Muy bueno / Oso ona;13,46;Muy bueno / Oso ona;11,38;Bueno / Ona;1;Muy bueno / Oso ona;Bueno / Ona
03/11/2025;24:00;0,31;0,38;2;41;40;Muy bueno / Oso ona;13,33;Muy bueno / Oso ona;11,17;Bueno / Ona;1;Muy bueno / Oso ona;Bueno / Ona
03/11/2025;23:00;0,33;0,37;4;51;47;Bueno / Ona;13,25;Muy bueno / Oso ona;11,17;Bueno / Ona;1;Muy bueno / Oso ona;Bueno / Ona
03/11/2025;22:00;0,42;0,35;14;84;63;Bueno / Ona;13,21;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;Bueno / Ona
03/11/2025;21:00;0,47;0,33;21;99;67;Bueno / Ona;12,88;Muy bueno / Oso ona;;Sin datos / Daturik gabe;2;Muy bueno / Oso ona;Bueno / Ona
03/11/2025;20:00;0,39;0,28;10;64;51;Bueno / Ona;12,46;Muy bueno / Oso ona;;Sin datos / Daturik gabe;1;Muy bueno / Oso ona;Bueno / Ona
03/11/2025;19:00;0,46;0,26;25;106;70;Bueno / Ona;12,13;Muy bueno / Oso ona;10;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Bueno / Ona
03/11/2025;18:00;0,33;0,23;4;45;40;Muy bueno / Oso ona;11,88;Muy bueno / Oso ona;9,83;Muy bueno / Oso ona;1;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;17:00;0,29;0,25;3;36;33;Muy bueno / Oso ona;11,71;Muy bueno / Oso ona;9,75;Muy bueno / Oso ona;1;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;16:00;0,27;0,28;1;16;14;Muy bueno / Oso ona;11,46;Muy bueno / Oso ona;9,42;Muy bueno / Oso ona;1;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;15:00;0,18;0,31;2;15;12;Muy bueno / Oso ona;11,29;Muy bueno / Oso ona;9,17;Muy bueno / Oso ona;1;Muy bueno / Oso ona;Muy bueno / Oso ona
