Date;Hour  (GMT);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;ICA Estación
04/11/2025;24:00
04/11/2025;23:00
04/11/2025;22:00
04/11/2025;21:00
04/11/2025;20:00
04/11/2025;19:00
04/11/2025;18:00
04/11/2025;17:00
04/11/2025;16:00
04/11/2025;15:00
04/11/2025;14:00
04/11/2025;13:00
04/11/2025;12:00
04/11/2025;11:00
04/11/2025;10:00
04/11/2025;09:00
04/11/2025;08:00
04/11/2025;07:00
04/11/2025;06:00;2;38;35;Muy bueno / Oso ona;12,86;Muy bueno / Oso ona;7,64;Muy bueno / Oso ona;Muy bueno / Oso ona
04/11/2025;05:00;1;24;22;Muy bueno / Oso ona;12,68;Muy bueno / Oso ona;7,5;Muy bueno / Oso ona;Muy bueno / Oso ona
04/11/2025;04:00;1;13;12;Muy bueno / Oso ona;12,45;Muy bueno / Oso ona;7,36;Muy bueno / Oso ona;Muy bueno / Oso ona
04/11/2025;03:00;1;17;15;Muy bueno / Oso ona;12,18;Muy bueno / Oso ona;7,14;Muy bueno / Oso ona;Muy bueno / Oso ona
04/11/2025;02:00;1;21;19;Muy bueno / Oso ona;12,05;Muy bueno / Oso ona;7;Muy bueno / Oso ona;Muy bueno / Oso ona
04/11/2025;01:00;1;29;27;Muy bueno / Oso ona;11,82;Muy bueno / Oso ona;6,82;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;24:00;1;13;11;Muy bueno / Oso ona;11,64;Muy bueno / Oso ona;6,64;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;23:00;2;42;38;Muy bueno / Oso ona;11,59;Muy bueno / Oso ona;6,68;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;22:00;7;69;59;Bueno / Ona;11,5;Muy bueno / Oso ona;6,5;Muy bueno / Oso ona;Bueno / Ona
03/11/2025;21:00;8;77;65;Bueno / Ona;11,09;Muy bueno / Oso ona;6,18;Muy bueno / Oso ona;Bueno / Ona
03/11/2025;20:00;2;36;34;Muy bueno / Oso ona;10,5;Muy bueno / Oso ona;5,95;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;19:00;2;35;33;Muy bueno / Oso ona;10,41;Muy bueno / Oso ona;5,95;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;18:00;1;25;23;Muy bueno / Oso ona;10,41;Muy bueno / Oso ona;6;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;17:00;0;13;13;Muy bueno / Oso ona;10,23;Muy bueno / Oso ona;5,95;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;16:00;0;8;8;Muy bueno / Oso ona;10;Muy bueno / Oso ona;5,91;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;15:00;1;10;8;Muy bueno / Oso ona;10,14;Muy bueno / Oso ona;6;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;14:00;2;14;12;Muy bueno / Oso ona;10,13;Muy bueno / Oso ona;6;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;13:00;8;39;28;Muy bueno / Oso ona;10,13;Muy bueno / Oso ona;5,83;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;12:00;18;65;37;Muy bueno / Oso ona;10;Muy bueno / Oso ona;5,63;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;11:00;40;107;46;Bueno / Ona;9,41;Muy bueno / Oso ona;5,38;Muy bueno / Oso ona;Bueno / Ona
03/11/2025;10:00;80;166;44;Bueno / Ona;8,77;Muy bueno / Oso ona;5,17;Muy bueno / Oso ona;Bueno / Ona
