Date;Hour  (GMT);Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;Ortoxileno (µg/m3);PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;Tolueno (µg/m3);ICA Estación
04/11/2025;24:00
04/11/2025;23:00
04/11/2025;22:00
04/11/2025;21:00
04/11/2025;20:00
04/11/2025;19:00
04/11/2025;18:00
04/11/2025;17:00
04/11/2025;16:00
04/11/2025;15:00
04/11/2025;14:00
04/11/2025;13:00
04/11/2025;12:00
04/11/2025;11:00
04/11/2025;10:00
04/11/2025;09:00
04/11/2025;08:00
04/11/2025;07:00
04/11/2025;06:00;0;0,19;0,18;0;2;15;13;Muy bueno / Oso ona;0,3;16,83;Muy bueno / Oso ona;5,79;Muy bueno / Oso ona;5;Muy bueno / Oso ona;0,4;Muy bueno / Oso ona
04/11/2025;05:00;0,03;0,15;0,18;0,08;2;11;8;Muy bueno / Oso ona;1,18;17,08;Muy bueno / Oso ona;5,92;Muy bueno / Oso ona;5;Muy bueno / Oso ona;1,12;Muy bueno / Oso ona
04/11/2025;04:00;0,28;0,24;0,21;0,58;1;24;22;Muy bueno / Oso ona;3,85;17,29;Muy bueno / Oso ona;6,04;Muy bueno / Oso ona;5;Muy bueno / Oso ona;8,21;Muy bueno / Oso ona
04/11/2025;03:00;;0,18;0,25;;1;14;13;Muy bueno / Oso ona;;16,83;Muy bueno / Oso ona;6;Muy bueno / Oso ona;5;Muy bueno / Oso ona;;Muy bueno / Oso ona
04/11/2025;02:00;;0,17;0,32;;1;17;16;Muy bueno / Oso ona;;16,33;Muy bueno / Oso ona;5,96;Muy bueno / Oso ona;5;Muy bueno / Oso ona;;Muy bueno / Oso ona
04/11/2025;01:00;0;0,16;0,39;0;2;12;9;Muy bueno / Oso ona;0,91;16,08;Muy bueno / Oso ona;5,96;Muy bueno / Oso ona;5;Muy bueno / Oso ona;0,85;Muy bueno / Oso ona
03/11/2025;24:00;0,05;0,17;0,43;0,07;2;17;15;Muy bueno / Oso ona;1,53;16,04;Muy bueno / Oso ona;6,04;Muy bueno / Oso ona;5;Muy bueno / Oso ona;1,75;Muy bueno / Oso ona
03/11/2025;23:00;0,03;0,19;0,45;0,07;2;17;14;Muy bueno / Oso ona;1,64;15,96;Muy bueno / Oso ona;6,08;Muy bueno / Oso ona;5;Muy bueno / Oso ona;1,32;Muy bueno / Oso ona
03/11/2025;22:00;0,6;0,21;0,47;0,99;3;23;19;Muy bueno / Oso ona;7,91;15,88;Muy bueno / Oso ona;6,17;Muy bueno / Oso ona;5;Muy bueno / Oso ona;7,15;Muy bueno / Oso ona
03/11/2025;21:00;1,09;0,44;0,48;2,05;21;86;56;Bueno / Ona;15,9;15,79;Muy bueno / Oso ona;6,21;Muy bueno / Oso ona;6;Muy bueno / Oso ona;18,3;Bueno / Ona
03/11/2025;20:00;1,99;0,59;0,46;2,77;52;141;64;Bueno / Ona;22,6;15,42;Muy bueno / Oso ona;6,08;Muy bueno / Oso ona;6;Muy bueno / Oso ona;18,34;Bueno / Ona
03/11/2025;19:00;2,01;0,87;0,44;3,17;86;197;66;Bueno / Ona;26,32;14,96;Muy bueno / Oso ona;6;Muy bueno / Oso ona;7;Muy bueno / Oso ona;19,76;Bueno / Ona
03/11/2025;18:00;1,14;0,63;0,37;1,84;46;126;58;Bueno / Ona;14,64;14,54;Muy bueno / Oso ona;5,92;Muy bueno / Oso ona;6;Muy bueno / Oso ona;11,85;Bueno / Ona
