Date;Hour  (GMT);CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;D.vien (grados);H (%);Tº (ºC);V.vien (m/s);ICA Estación
31/12/2024;24:00;0,23;0,36;4;30;25;Muy bueno / Oso ona;;Sin datos / Daturik gabe;13,88;Bueno / Ona;11;Muy bueno / Oso ona;92;68;7,4;1,65;Bueno / Ona
31/12/2024;23:00;0,28;0,36;9;49;36;Muy bueno / Oso ona;;Sin datos / Daturik gabe;13,5;Bueno / Ona;6;Muy bueno / Oso ona;115;72;7;1,05;Bueno / Ona
31/12/2024;22:00;0,4;0,36;25;81;43;Bueno / Ona;19,83;Muy bueno / Oso ona;13,04;Bueno / Ona;7;Muy bueno / Oso ona;94;74;7;0,71;Bueno / Ona
31/12/2024;21:00;0,42;0,35;40;107;46;Bueno / Ona;18,79;Muy bueno / Oso ona;11,63;Bueno / Ona;8;Muy bueno / Oso ona;173;75;7,5;0,36;Bueno / Ona
31/12/2024;20:00;0,4;0,34;43;107;43;Bueno / Ona;16,29;Muy bueno / Oso ona;8,25;Muy bueno / Oso ona;19;Muy bueno / Oso ona;101;76;7,6;0,93;Bueno / Ona
31/12/2024;19:00;0,36;0,33;36;100;47;Bueno / Ona;14,29;Muy bueno / Oso ona;7,08;Muy bueno / Oso ona;6;Muy bueno / Oso ona;157;73;7,9;0,93;Bueno / Ona
31/12/2024;18:00;0,41;0,32;37;105;49;Bueno / Ona;14,08;Muy bueno / Oso ona;6,83;Muy bueno / Oso ona;6;Muy bueno / Oso ona;216;68;9,1;0,36;Bueno / Ona
31/12/2024;17:00;0,35;0,3;22;85;52;Bueno / Ona;13,92;Muy bueno / Oso ona;6,75;Muy bueno / Oso ona;10;Muy bueno / Oso ona;285;59;11,2;0,38;Bueno / Ona
31/12/2024;16:00;0,25;0,28;9;51;38;Muy bueno / Oso ona;13,92;Muy bueno / Oso ona;6,79;Muy bueno / Oso ona;15;Muy bueno / Oso ona;323;55;13,1;0,56;Muy bueno / Oso ona
31/12/2024;15:00;0,27;0,28;11;49;34;Muy bueno / Oso ona;13,88;Muy bueno / Oso ona;6,67;Muy bueno / Oso ona;13;Muy bueno / Oso ona;305;56;12,4;0,68;Muy bueno / Oso ona
31/12/2024;14:00;0,37;0,28;13;51;32;Muy bueno / Oso ona;13,7;Muy bueno / Oso ona;6,61;Muy bueno / Oso ona;7;Muy bueno / Oso ona;297;52;13,1;0,55;Muy bueno / Oso ona
31/12/2024;13:00;0,31;0,26;21;69;38;Muy bueno / Oso ona;13,59;Muy bueno / Oso ona;6,68;Muy bueno / Oso ona;5;Muy bueno / Oso ona;312;56;13,1;0,32;Muy bueno / Oso ona
31/12/2024;12:00;0,32;0,25;27;76;35;Muy bueno / Oso ona;13,32;Muy bueno / Oso ona;6,64;Muy bueno / Oso ona;6;Muy bueno / Oso ona;239;64;10,5;0,51;Muy bueno / Oso ona
31/12/2024;11:00;0,25;0,24;12;42;24;Muy bueno / Oso ona;13,32;Muy bueno / Oso ona;6,64;Muy bueno / Oso ona;5;Muy bueno / Oso ona;90;68;8,5;1,19;Muy bueno / Oso ona
31/12/2024;10:00;0,25;0,24;12;44;25;Muy bueno / Oso ona;13,32;Muy bueno / Oso ona;6,64;Muy bueno / Oso ona;4;Muy bueno / Oso ona;95;76;6,1;1,61;Muy bueno / Oso ona
31/12/2024;09:00;0,26;0,23;16;57;33;Muy bueno / Oso ona;13,45;Muy bueno / Oso ona;6,68;Muy bueno / Oso ona;7;Muy bueno / Oso ona;116;76;4,7;0,49;Muy bueno / Oso ona
31/12/2024;08:00;0,24;0,22;8;43;31;Muy bueno / Oso ona;13,5;Muy bueno / Oso ona;6,55;Muy bueno / Oso ona;5;Muy bueno / Oso ona;112;78;4,1;1,41;Muy bueno / Oso ona
31/12/2024;07:00;0,23;0,22;7;37;28;Muy bueno / Oso ona;13,5;Muy bueno / Oso ona;6,36;Muy bueno / Oso ona;4;Muy bueno / Oso ona;106;78;4,2;1,53;Muy bueno / Oso ona
