Date;Hour  (GMT);Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;Ortoxileno (µg/m3);PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;Tolueno (µg/m3);ICA Estación
31/12/2024;24:00;2,09;0,38;0,39;0,06;30;78;33;Muy bueno / Oso ona;0,25;12,13;Muy bueno / Oso ona;9,43;Muy bueno / Oso ona;34;Muy bueno / Oso ona;1,94;Muy bueno / Oso ona
31/12/2024;23:00;0,87;0,33;0,4;0,01;4;39;33;Muy bueno / Oso ona;0,39;12,13;Muy bueno / Oso ona;9,42;Muy bueno / Oso ona;3;Muy bueno / Oso ona;1,99;Muy bueno / Oso ona
31/12/2024;22:00;0,83;0,35;0,4;0,03;11;54;38;Muy bueno / Oso ona;0,3;11,83;Muy bueno / Oso ona;9,13;Muy bueno / Oso ona;3;Muy bueno / Oso ona;1,8;Muy bueno / Oso ona
31/12/2024;21:00;0,86;0,32;0,39;0;9;47;33;Muy bueno / Oso ona;0,44;11,67;Muy bueno / Oso ona;8,96;Muy bueno / Oso ona;4;Muy bueno / Oso ona;2,08;Muy bueno / Oso ona
31/12/2024;20:00;1,16;0,38;0,38;0,17;26;79;39;Muy bueno / Oso ona;1,01;11,67;Muy bueno / Oso ona;8,96;Muy bueno / Oso ona;4;Muy bueno / Oso ona;3,66;Muy bueno / Oso ona
31/12/2024;19:00;1,38;0,51;0,36;0,52;53;127;46;Bueno / Ona;2,53;11,25;Muy bueno / Oso ona;8,5;Muy bueno / Oso ona;4;Muy bueno / Oso ona;4,86;Bueno / Ona
31/12/2024;18:00;1,22;0,53;0,34;0,41;41;115;52;Bueno / Ona;2,01;10,92;Muy bueno / Oso ona;8,17;Muy bueno / Oso ona;6;Muy bueno / Oso ona;4,27;Bueno / Ona
31/12/2024;17:00;1,17;0,42;0,3;0,19;31;106;59;Bueno / Ona;0,86;10,75;Muy bueno / Oso ona;7,96;Muy bueno / Oso ona;11;Muy bueno / Oso ona;2,83;Bueno / Ona
31/12/2024;16:00;0,96;0,38;0,27;0;12;64;45;Bueno / Ona;0,28;10,71;Muy bueno / Oso ona;7,83;Muy bueno / Oso ona;13;Muy bueno / Oso ona;2,06;Bueno / Ona
31/12/2024;15:00;0,75;0,3;0,24;0;11;53;37;Muy bueno / Oso ona;0,2;10,58;Muy bueno / Oso ona;7,71;Muy bueno / Oso ona;9;Muy bueno / Oso ona;1,97;Muy bueno / Oso ona
31/12/2024;14:00;0,52;0,22;0,23;0;14;55;34;Muy bueno / Oso ona;0,25;10,42;Muy bueno / Oso ona;7,63;Muy bueno / Oso ona;4;Muy bueno / Oso ona;1,86;Muy bueno / Oso ona
31/12/2024;13:00;0,58;0,24;0,23;0;14;51;30;Muy bueno / Oso ona;0,23;10,42;Muy bueno / Oso ona;7,58;Muy bueno / Oso ona;4;Muy bueno / Oso ona;1,97;Muy bueno / Oso ona
31/12/2024;12:00;0,52;0,24;0,23;0;14;46;25;Muy bueno / Oso ona;0,23;10,29;Muy bueno / Oso ona;7,46;Muy bueno / Oso ona;3;Muy bueno / Oso ona;1,86;Muy bueno / Oso ona
31/12/2024;11:00;0,51;0,22;0,23;0;13;41;22;Muy bueno / Oso ona;0,2;10,21;Muy bueno / Oso ona;7,38;Muy bueno / Oso ona;3;Muy bueno / Oso ona;1,99;Muy bueno / Oso ona
31/12/2024;10:00;0,49;0,23;0,23;0;17;50;25;Muy bueno / Oso ona;0,21;10,17;Muy bueno / Oso ona;7,29;Muy bueno / Oso ona;3;Muy bueno / Oso ona;2,15;Muy bueno / Oso ona
31/12/2024;09:00;0,4;0,23;0,23;0;15;51;28;Muy bueno / Oso ona;0,09;10,21;Muy bueno / Oso ona;7,21;Muy bueno / Oso ona;3;Muy bueno / Oso ona;1,06;Muy bueno / Oso ona
31/12/2024;08:00;0,42;0,23;0,23;0;12;47;29;Muy bueno / Oso ona;0,11;10,17;Muy bueno / Oso ona;7,08;Muy bueno / Oso ona;3;Muy bueno / Oso ona;1,11;Muy bueno / Oso ona
31/12/2024;07:00;0,44;0,23;0,23;0;13;48;28;Muy bueno / Oso ona;0,13;10,08;Muy bueno / Oso ona;7;Muy bueno / Oso ona;3;Muy bueno / Oso ona;1,17;Muy bueno / Oso ona
31/12/2024;06:00;0,41;0,23;0,24;0;7;36;26;Muy bueno / Oso ona;0,13;10;Muy bueno / Oso ona;6,92;Muy bueno / Oso ona;3;Muy bueno / Oso ona;1,33;Muy bueno / Oso ona
31/12/2024;05:00;0,39;0,22;0,25;0;3;27;23;Muy bueno / Oso ona;0,12;9,96;Muy bueno / Oso ona;6,88;Muy bueno / Oso ona;2;Muy bueno / Oso ona;1,21;Muy bueno / Oso ona
31/12/2024;04:00;0,45;0,23;0,27;0;2;23;20;Muy bueno / Oso ona;0,13;9,92;Muy bueno / Oso ona;6,83;Muy bueno / Oso ona;2;Muy bueno / Oso ona;1,19;Muy bueno / Oso ona
31/12/2024;03:00;0,47;0,24;0,29;0;2;23;20;Muy bueno / Oso ona;0,16;9,92;Muy bueno / Oso ona;6,83;Muy bueno / Oso ona;2;Muy bueno / Oso ona;1,19;Muy bueno / Oso ona
31/12/2024;02:00;0,48;0,22;0,31;0;7;32;22;Muy bueno / Oso ona;0,1;9,96;Muy bueno / Oso ona;6,83;Muy bueno / Oso ona;2;Muy bueno / Oso ona;1,46;Muy bueno / Oso ona
