Date;Hour  (GMT);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
04/11/2025;24:00
04/11/2025;23:00
04/11/2025;22:00
04/11/2025;21:00
04/11/2025;20:00
04/11/2025;19:00
04/11/2025;18:00
04/11/2025;17:00
04/11/2025;16:00
04/11/2025;15:00
04/11/2025;14:00
04/11/2025;13:00
04/11/2025;12:00
04/11/2025;11:00
04/11/2025;10:00
04/11/2025;09:00
04/11/2025;08:00
04/11/2025;07:00
04/11/2025;06:00;0;12;12;Muy bueno / Oso ona;16,54;Muy bueno / Oso ona;5,67;Muy bueno / Oso ona;4;Muy bueno / Oso ona;87;50;1006,9;0,3;16,4;1,71;Muy bueno / Oso ona
04/11/2025;05:00;0;9;9;Muy bueno / Oso ona;16,88;Muy bueno / Oso ona;5,79;Muy bueno / Oso ona;4;Muy bueno / Oso ona;89;50;1007,1;0,3;16,5;3,05;Muy bueno / Oso ona
04/11/2025;04:00;0;8;8;Muy bueno / Oso ona;17,17;Muy bueno / Oso ona;5,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;84;50;1007,4;0,3;16,5;2,42;Muy bueno / Oso ona
04/11/2025;03:00;0;11;11;Muy bueno / Oso ona;17,71;Muy bueno / Oso ona;6;Muy bueno / Oso ona;4;Muy bueno / Oso ona;92;50;1007,6;0,3;16,6;2,12;Muy bueno / Oso ona
04/11/2025;02:00;0;7;7;Muy bueno / Oso ona;17,88;Muy bueno / Oso ona;6,08;Muy bueno / Oso ona;3;Muy bueno / Oso ona;117;50;1008;0,3;16,9;3,05;Muy bueno / Oso ona
04/11/2025;01:00;0;7;7;Muy bueno / Oso ona;18,38;Muy bueno / Oso ona;6,25;Muy bueno / Oso ona;3;Muy bueno / Oso ona;121;49;1008,6;0,3;17,1;3,23;Muy bueno / Oso ona
03/11/2025;24:00;0;6;6;Muy bueno / Oso ona;18,83;Muy bueno / Oso ona;6,5;Muy bueno / Oso ona;4;Muy bueno / Oso ona;108;48;1009;0,3;17,4;1,57;Muy bueno / Oso ona
03/11/2025;23:00;0;13;13;Muy bueno / Oso ona;19,29;Muy bueno / Oso ona;6,75;Muy bueno / Oso ona;4;Muy bueno / Oso ona;101;50;1009,2;0,3;17;1,77;Muy bueno / Oso ona
03/11/2025;22:00;0;8;8;Muy bueno / Oso ona;;Sin datos / Daturik gabe;7,33;Muy bueno / Oso ona;5;Muy bueno / Oso ona;82;48;1009,7;0,3;18;2,26;Muy bueno / Oso ona
03/11/2025;21:00;0;13;13;Muy bueno / Oso ona;;Sin datos / Daturik gabe;7,5;Muy bueno / Oso ona;6;Muy bueno / Oso ona;78;50;1009,7;0,3;17,7;2,24;Muy bueno / Oso ona
03/11/2025;20:00;6;46;39;Muy bueno / Oso ona;21,08;Bueno / Ona;7,79;Muy bueno / Oso ona;7;Muy bueno / Oso ona;106;58;1009,8;0,3;16,9;1,73;Bueno / Ona
03/11/2025;19:00;8;62;51;Bueno / Ona;21,13;Bueno / Ona;7,83;Muy bueno / Oso ona;6;Muy bueno / Oso ona;156;67;1010;0,3;16,1;2,27;Bueno / Ona
03/11/2025;18:00;17;88;63;Bueno / Ona;;Sin datos / Daturik gabe;7,79;Muy bueno / Oso ona;6;Muy bueno / Oso ona;153;65;1010;0,8;17,1;1,64;Bueno / Ona
03/11/2025;17:00;3;47;44;Bueno / Ona;19,83;Muy bueno / Oso ona;7,5;Muy bueno / Oso ona;8;Muy bueno / Oso ona;274;56;1009,9;50,1;19;1,02;Bueno / Ona
