Date;Hour  (GMT);CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;O3 (µg/m3);OZONO;O3 - ICA;O3 8h (µg/m3);PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;ICA Estación
04/11/2025;24:00
04/11/2025;23:00
04/11/2025;22:00
04/11/2025;21:00
04/11/2025;20:00
04/11/2025;19:00
04/11/2025;18:00
04/11/2025;17:00
04/11/2025;16:00
04/11/2025;15:00
04/11/2025;14:00
04/11/2025;13:00
04/11/2025;12:00
04/11/2025;11:00
04/11/2025;10:00
04/11/2025;09:00
04/11/2025;08:00
04/11/2025;07:00
04/11/2025;06:00;0,08;0,08;0;8;8;Muy bueno / Oso ona;72;72;Muy bueno / Oso ona;;13,67;Muy bueno / Oso ona;6,17;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
04/11/2025;05:00;0,08;0,1;0;6;6;Muy bueno / Oso ona;;;Sin datos / Daturik gabe;;13,88;Muy bueno / Oso ona;6,33;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
04/11/2025;04:00;0,07;0,12;0;5;5;Muy bueno / Oso ona;75;75;Muy bueno / Oso ona;;14,17;Muy bueno / Oso ona;6,54;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
04/11/2025;03:00;0,07;0,15;0;5;5;Muy bueno / Oso ona;77;77;Muy bueno / Oso ona;;14,46;Muy bueno / Oso ona;6,71;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
04/11/2025;02:00;0,08;0,2;0;5;5;Muy bueno / Oso ona;77;77;Muy bueno / Oso ona;;14,71;Muy bueno / Oso ona;6,92;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
04/11/2025;01:00;0,08;0,24;0;5;5;Muy bueno / Oso ona;76;76;Muy bueno / Oso ona;;15;Muy bueno / Oso ona;7,13;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;24:00;0,1;0,27;0;8;8;Muy bueno / Oso ona;71;71;Muy bueno / Oso ona;;15,25;Muy bueno / Oso ona;7,38;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;23:00;0,12;0,28;1;11;10;Muy bueno / Oso ona;70;70;Muy bueno / Oso ona;;15,92;Muy bueno / Oso ona;7,92;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;22:00;0,23;0,3;5;49;43;Bueno / Ona;32;32;Muy bueno / Oso ona;;16,25;Muy bueno / Oso ona;8,17;Muy bueno / Oso ona;6;Muy bueno / Oso ona;Bueno / Ona
03/11/2025;21:00;0,26;0,3;15;81;59;Bueno / Ona;15;15;Muy bueno / Oso ona;;16,29;Muy bueno / Oso ona;8,29;Muy bueno / Oso ona;7;Muy bueno / Oso ona;Bueno / Ona
03/11/2025;20:00;0,4;0,3;40;131;71;Bueno / Ona;10;10;Muy bueno / Oso ona;;16,21;Muy bueno / Oso ona;8,25;Muy bueno / Oso ona;8;Muy bueno / Oso ona;Bueno / Ona
03/11/2025;19:00;0,39;0,28;30;111;66;Bueno / Ona;9;9;Muy bueno / Oso ona;;15,96;Muy bueno / Oso ona;8,13;Muy bueno / Oso ona;8;Muy bueno / Oso ona;Bueno / Ona
03/11/2025;18:00;0,41;0,27;67;170;69;Bueno / Ona;8;8;Muy bueno / Oso ona;;15,42;Muy bueno / Oso ona;7,92;Muy bueno / Oso ona;7;Muy bueno / Oso ona;Bueno / Ona
