Date;Hour  (GMT);Benceno (µg/m3);CO (mg/m3);NOX (µg/m3);NO2;NO2 - ICA;PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;O3 (µg/m3);OZONO;O3 - ICA;ICA Estación
04/11/2025;24:00
04/11/2025;23:00
04/11/2025;22:00
04/11/2025;21:00
04/11/2025;20:00
04/11/2025;19:00
04/11/2025;18:00
04/11/2025;17:00
04/11/2025;16:00
04/11/2025;15:00
04/11/2025;14:00
04/11/2025;13:00
04/11/2025;12:00
04/11/2025;11:00
04/11/2025;10:00
04/11/2025;09:00
04/11/2025;08:00
04/11/2025;07:00
04/11/2025;06:00;0,09;0,09;7;6;Muy bueno / Oso ona;16;Muy bueno / Oso ona;5,21;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
04/11/2025;05:00;0,07;0,08;4;2;Muy bueno / Oso ona;16,21;Muy bueno / Oso ona;5,33;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
04/11/2025;04:00;0,06;0,08;2;1;Muy bueno / Oso ona;16,54;Muy bueno / Oso ona;5,5;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
04/11/2025;03:00;0,06;0,1;2;0;Muy bueno / Oso ona;16,79;Muy bueno / Oso ona;5,63;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
04/11/2025;02:00;0,06;0,11;2;1;Muy bueno / Oso ona;17;Muy bueno / Oso ona;5,75;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
04/11/2025;01:00;0,07;0,14;2;1;Muy bueno / Oso ona;17,25;Muy bueno / Oso ona;5,92;Muy bueno / Oso ona;3;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;24:00;0,11;0,19;5;4;Muy bueno / Oso ona;17,58;Muy bueno / Oso ona;6,21;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;23:00;0,44;0,21;7;6;Muy bueno / Oso ona;18,21;Muy bueno / Oso ona;6,63;Muy bueno / Oso ona;5;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;22:00;0,81;0,34;43;35;Muy bueno / Oso ona;18,71;Muy bueno / Oso ona;6,75;Muy bueno / Oso ona;5;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;21:00;0,63;0,37;52;40;Muy bueno / Oso ona;18,5;Muy bueno / Oso ona;6,75;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;20:00;0,65;0,37;56;42;Bueno / Ona;18,21;Muy bueno / Oso ona;6,67;Muy bueno / Oso ona;4;Muy bueno / Oso ona;;;;Bueno / Ona
03/11/2025;19:00;0,8;0,34;67;45;Bueno / Ona;17,96;Muy bueno / Oso ona;6,63;Muy bueno / Oso ona;5;Muy bueno / Oso ona;;;;Bueno / Ona
03/11/2025;18:00;2,08;0,35;100;59;Bueno / Ona;17,58;Muy bueno / Oso ona;6,58;Muy bueno / Oso ona;6;Muy bueno / Oso ona;;;;Bueno / Ona
03/11/2025;17:00;0,3;0,21;47;37;Muy bueno / Oso ona;16,88;Muy bueno / Oso ona;6,42;Muy bueno / Oso ona;6;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
03/11/2025;16:00;0,1;0,16;24;17;Muy bueno / Oso ona;15,46;Muy bueno / Oso ona;6,17;Muy bueno / Oso ona;7;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
