Date;Hour  (GMT);CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;ICA Estación
31/12/2024;24:00;0,67;0,64;8;32;21;Muy bueno / Oso ona;9,5;Muy bueno / Oso ona;8,79;Muy bueno / Oso ona;1;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;23:00;0,67;0,62;8;34;22;Muy bueno / Oso ona;9,04;Muy bueno / Oso ona;8,54;Muy bueno / Oso ona;1;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;22:00;0,64;0,6;14;50;29;Muy bueno / Oso ona;9;Muy bueno / Oso ona;8,33;Muy bueno / Oso ona;1;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;21:00;0,65;0,59;22;61;28;Muy bueno / Oso ona;8,88;Muy bueno / Oso ona;7,79;Muy bueno / Oso ona;1;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;20:00;0,65;0,57;37;101;45;Bueno / Ona;8,63;Muy bueno / Oso ona;7,38;Muy bueno / Oso ona;1;Muy bueno / Oso ona;Bueno / Ona
31/12/2024;19:00;0,64;0,56;32;94;45;Bueno / Ona;8,38;Muy bueno / Oso ona;7,21;Muy bueno / Oso ona;1;Muy bueno / Oso ona;Bueno / Ona
31/12/2024;18:00;0,65;0,55;29;86;41;Bueno / Ona;8,13;Muy bueno / Oso ona;7,17;Muy bueno / Oso ona;1;Muy bueno / Oso ona;Bueno / Ona
31/12/2024;17:00;0,54;0,54;14;52;31;Muy bueno / Oso ona;8,17;Muy bueno / Oso ona;7,21;Muy bueno / Oso ona;1;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;16:00;0,53;0,54;12;36;18;Muy bueno / Oso ona;8,04;Muy bueno / Oso ona;7,17;Muy bueno / Oso ona;1;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;15:00;0,55;0,54;16;48;24;Muy bueno / Oso ona;8,17;Muy bueno / Oso ona;7,13;Muy bueno / Oso ona;1;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;14:00;0,51;0,55;17;48;22;Muy bueno / Oso ona;7,92;Muy bueno / Oso ona;7,17;Muy bueno / Oso ona;1;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;13:00;0,5;0,55;19;52;23;Muy bueno / Oso ona;7,63;Muy bueno / Oso ona;7,04;Muy bueno / Oso ona;1;Muy bueno / Oso ona;Muy bueno / Oso ona
