Date;Hour  (GMT);CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;Benceno (µg/m3);Etilbenceno (µg/m3);Tolueno (µg/m3);ICA Estación
31/12/2024;24:00;0,26;0,37;3;18;14;Muy bueno / Oso ona;10,83;Muy bueno / Oso ona;8,54;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/12/2024;23:00;0,31;0,35;9;34;21;Muy bueno / Oso ona;10,42;Muy bueno / Oso ona;8;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/12/2024;22:00;0,4;0,35;28;75;32;Muy bueno / Oso ona;9,96;Muy bueno / Oso ona;7,96;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/12/2024;21:00;0,53;0,33;62;136;41;Bueno / Ona;9,17;Muy bueno / Oso ona;7,58;Muy bueno / Oso ona;;;;Bueno / Ona
31/12/2024;20:00;0,45;0,3;45;112;44;Bueno / Ona;8,42;Muy bueno / Oso ona;7,25;Muy bueno / Oso ona;;;;Bueno / Ona
31/12/2024;19:00;0,36;0,28;49;124;49;Bueno / Ona;8,13;Muy bueno / Oso ona;7;Muy bueno / Oso ona;;;;Bueno / Ona
31/12/2024;18:00;0,31;0,26;47;121;49;Bueno / Ona;8,08;Muy bueno / Oso ona;6,83;Muy bueno / Oso ona;;;;Bueno / Ona
31/12/2024;17:00;0,21;0,25;16;61;36;Muy bueno / Oso ona;8,25;Muy bueno / Oso ona;6,71;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/12/2024;16:00;0,2;0,25;15;48;26;Muy bueno / Oso ona;8,13;Muy bueno / Oso ona;6,5;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/12/2024;15:00;0,28;0,25;31;84;37;Muy bueno / Oso ona;7,96;Muy bueno / Oso ona;6,29;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/12/2024;14:00;0,25;0,25;29;76;31;Muy bueno / Oso ona;8,13;Muy bueno / Oso ona;6;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/12/2024;13:00;0,26;0,24;27;69;28;Muy bueno / Oso ona;7,88;Muy bueno / Oso ona;5,79;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/12/2024;12:00;0,29;0,23;24;63;25;Muy bueno / Oso ona;7,5;Muy bueno / Oso ona;5,58;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/12/2024;11:00;0,27;0,22;20;58;27;Muy bueno / Oso ona;7,42;Muy bueno / Oso ona;5,29;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/12/2024;10:00;0,25;0,2;16;51;27;Muy bueno / Oso ona;7,21;Muy bueno / Oso ona;5,17;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/12/2024;09:00;0,22;0,2;9;37;24;Muy bueno / Oso ona;7,08;Muy bueno / Oso ona;4,96;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/12/2024;08:00;0,21;0,2;5;31;23;Muy bueno / Oso ona;6,96;Muy bueno / Oso ona;4,71;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/12/2024;07:00;0,2;0,21;5;30;22;Muy bueno / Oso ona;6,79;Muy bueno / Oso ona;4,58;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/12/2024;06:00;0,18;0,22;2;12;10;Muy bueno / Oso ona;6,67;Muy bueno / Oso ona;4,42;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/12/2024;05:00;0,18;0,24;0;10;10;Muy bueno / Oso ona;6,58;Muy bueno / Oso ona;4,29;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/12/2024;04:00;0,17;0,24;1;11;10;Muy bueno / Oso ona;6,42;Muy bueno / Oso ona;4,08;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/12/2024;03:00;0,17;0,25;0;7;7;Muy bueno / Oso ona;6,21;Muy bueno / Oso ona;3,92;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/12/2024;02:00;0,25;0,29;1;9;8;Muy bueno / Oso ona;6,17;Muy bueno / Oso ona;3,79;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
31/12/2024;01:00;0,26;0,28;1;15;13;Muy bueno / Oso ona;6,38;Muy bueno / Oso ona;3,63;Muy bueno / Oso ona;;;;Muy bueno / Oso ona
