Date;Hour  (GMT);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;ICA Estación
31/12/2024;24:00;8;34;22;Muy bueno / Oso ona;11,08;Muy bueno / Oso ona;11,04;Bueno / Ona;Bueno / Ona
31/12/2024;23:00;9;37;23;Muy bueno / Oso ona;9,33;Muy bueno / Oso ona;9;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;22:00;10;38;23;Muy bueno / Oso ona;9;Muy bueno / Oso ona;8,58;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;21:00;21;59;28;Muy bueno / Oso ona;8,58;Muy bueno / Oso ona;7,96;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;20:00;41;91;29;Muy bueno / Oso ona;8,5;Muy bueno / Oso ona;7,71;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;19:00;58;126;37;Muy bueno / Oso ona;8,21;Muy bueno / Oso ona;7,54;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;18:00;9;47;34;Muy bueno / Oso ona;7,79;Muy bueno / Oso ona;7,17;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;17:00;2;21;18;Muy bueno / Oso ona;8,04;Muy bueno / Oso ona;7,33;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;16:00;4;19;12;Muy bueno / Oso ona;8,08;Muy bueno / Oso ona;7,42;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;15:00;8;28;16;Muy bueno / Oso ona;8,13;Muy bueno / Oso ona;7,46;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;14:00;9;26;13;Muy bueno / Oso ona;8,04;Muy bueno / Oso ona;7,38;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;13:00;8;25;13;Muy bueno / Oso ona;7,88;Muy bueno / Oso ona;7,21;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;12:00;8;27;16;Muy bueno / Oso ona;7,75;Muy bueno / Oso ona;7,13;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;11:00;3;16;12;Muy bueno / Oso ona;7,54;Muy bueno / Oso ona;6,92;Muy bueno / Oso ona;Muy bueno / Oso ona
