Date;Hour  (GMT);CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;ICA Estación
04/11/2025;24:00;;;;;;;;;;;
04/11/2025;23:00;;;;;;;;;;;
04/11/2025;22:00;;;;;;;;;;;
04/11/2025;21:00;;;;;;;;;;;
04/11/2025;20:00;;;;;;;;;;;
04/11/2025;19:00;;;;;;;;;;;
04/11/2025;18:00;;;;;;;;;;;
04/11/2025;17:00;;;;;;;;;;;
04/11/2025;16:00;;;;;;;;;;;
04/11/2025;15:00;;;;;;;;;;;
04/11/2025;14:00;;;;;;;;;;;
04/11/2025;13:00;;;;;;;;;;;
04/11/2025;12:00;;;;;;;;;;;
04/11/2025;11:00;;;;;;;;;;;
04/11/2025;10:00;;;;;;;;;;;
04/11/2025;09:00;;;;;;;;;;;
04/11/2025;08:00;;;;;;;;;;;
04/11/2025;07:00;;;;;;;;;;;
04/11/2025;06:00;0,21;0,16;7;47;38;Muy bueno / Oso ona;15,33;Muy bueno / Oso ona;6,89;Muy bueno / Oso ona;Muy bueno / Oso ona
04/11/2025;05:00;0,22;0,17;8;42;30;Muy bueno / Oso ona;15,25;Muy bueno / Oso ona;6,84;Muy bueno / Oso ona;Muy bueno / Oso ona
04/11/2025;04:00;0,12;0,17;0;16;16;Muy bueno / Oso ona;15,21;Muy bueno / Oso ona;6,74;Muy bueno / Oso ona;Muy bueno / Oso ona
04/11/2025;03:00;0,14;0,19;0;18;18;Muy bueno / Oso ona;15,42;Muy bueno / Oso ona;6,63;Muy bueno / Oso ona;Muy bueno / Oso ona
04/11/2025;02:00;0,13;0,2;0;24;25;Muy bueno / Oso ona;15,33;Muy bueno / Oso ona;6,32;Muy bueno / Oso ona;Muy bueno / Oso ona
04/11/2025;01:00;0,14;0,21;5;48;41;Bueno / Ona;15,21;Muy bueno / Oso ona;5,84;Muy bueno / Oso ona;Bueno / Ona
03/11/2025;24:00;0,17;0,21;1;42;41;Bueno / Ona;15,17;Muy bueno / Oso ona;5,58;Muy bueno / Oso ona;Bueno / Ona
03/11/2025;23:00;0,19;0,21;1;39;38;Muy bueno / Oso ona;15;Muy bueno / Oso ona;5,47;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;22:00;0,24;0,21;5;62;56;Bueno / Ona;14,63;Muy bueno / Oso ona;5,42;Muy bueno / Oso ona;Bueno / Ona
03/11/2025;21:00;0,28;0,19;15;87;65;Bueno / Ona;14,25;Muy bueno / Oso ona;5,32;Muy bueno / Oso ona;Bueno / Ona
03/11/2025;20:00;0,29;0,18;16;83;59;Bueno / Ona;13,88;Muy bueno / Oso ona;5,26;Muy bueno / Oso ona;Bueno / Ona
03/11/2025;19:00;0,19;0,16;3;37;34;Muy bueno / Oso ona;13,63;Muy bueno / Oso ona;5,32;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;18:00;0,19;0,16;1;26;26;Muy bueno / Oso ona;13,58;Muy bueno / Oso ona;5,15;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;17:00;0,14;0,16;1;20;19;Muy bueno / Oso ona;13,46;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;16:00;0,16;0,19;1;13;12;Muy bueno / Oso ona;13,33;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
03/11/2025;15:00;0,11;0,24;1;10;9;Muy bueno / Oso ona;13,58;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
