Date,CO (mg/m3),CO 8h (mg/m3),NO (µg/m3),NOX (µg/m3),NO2,PM10,"PM2,5",SO2
2025-01-01,0.45,0.48,5.39,28.57,20.39,10.38,13.1,1.04
2025-01-02,0.47,0.47,8.29,37.75,25.29,7.58,7.23,1.12
2025-01-03,0.42,0.43,1.96,20.62,17.71,6.94,5.99,1.0
2025-01-04,0.32,0.32,0.67,9.54,8.29,6.61,5.89,1.0
2025-01-05,0.34,0.34,2.71,18.79,14.75,6.41,6.49,1.0
2025-01-06,0.4,0.36,11.21,45.08,28.0,4.9,4.04,1.17
2025-01-07,0.35,0.4,2.33,20.12,16.79,7.99,8.32,1.0
2025-01-08,0.3,0.31,0.75,8.42,7.38,3.36,1.35,1.0
2025-01-09,0.38,0.34,5.25,29.08,21.21,4.82,2.93,1.04
2025-01-10,0.34,0.37,1.79,16.33,13.67,7.37,6.54,1.04
2025-01-11,0.31,0.31,2.46,19.42,15.88,4.42,2.48,1.0
2025-01-12,0.31,0.3,3.5,18.25,13.08,7.05,4.78,1.08
2025-01-13,0.33,0.33,5.46,28.75,20.38,5.75,4.08,1.33
2025-01-14,0.4,0.39,19.05,66.05,37.25,10.8,8.84,1.9
2025-01-15,0.36,0.37,6.12,36.46,27.08,15.84,14.59,2.0
2025-01-16,0.39,0.39,5.29,30.71,22.64,13.06,12.2,1.93
2025-01-17,0.56,0.53,53.44,139.17,57.56,15.8,15.17,2.94
2025-01-18,0.54,0.59,31.68,88.47,40.26,23.72,22.12,2.53
2025-01-19,0.4,0.44,10.14,43.55,28.27,14.43,13.99,2.09
2025-01-20,0.44,0.42,8.92,47.88,34.38,8.79,7.66,2.08
2025-01-21,0.47,0.46,12.91,58.83,39.48,15.02,12.9,2.0
2025-01-22,0.42,0.43,10.25,46.88,31.5,11.87,10.12,2.12
2025-01-23,0.37,0.38,4.17,27.67,21.33,10.61,8.96,2.0
2025-01-24,0.28,0.27,2.38,22.15,18.77,7.29,4.86,2.0
2025-01-25,0.33,0.32,1.58,16.42,14.21,5.81,4.4,2.0
2025-01-26,0.32,0.33,1.29,13.46,11.58,4.83,3.69,2.0
2025-01-27,0.27,0.27,0.67,8.08,7.04,3.92,1.98,2.0
2025-01-28,0.32,0.32,2.08,17.46,14.33,3.44,2.35,2.0
2025-01-29,0.31,0.32,1.04,10.96,9.33,4.92,3.1,2.0
2025-01-30,0.33,0.32,2.77,17.36,13.09,4.51,2.58,2.0
2025-01-31,0.38,0.35,8.79,45.79,32.58,7.55,3.68,2.62
2025-02-01,0.38,0.4,3.75,27.83,22.58,10.57,8.32,2.25
2025-02-02,0.33,0.34,4.75,26.58,19.75,6.89,5.93,2.67
2025-02-03,0.39,0.38,5.62,37.38,29.08,5.77,4.35,2.67
2025-02-04,0.42,0.4,14.88,56.46,33.92,9.04,7.28,3.04
2025-02-05,0.46,0.49,28.86,75.81,31.67,17.48,16.19,3.43
2025-02-06,0.41,0.38,10.7,51.61,35.57,13.88,13.12,2.91
2025-02-07,0.39,0.41,5.52,35.91,27.61,16.15,15.57,3.0
2025-02-08,0.33,0.33,3.79,26.54,20.96,6.43,4.65,3.0
2025-02-09,0.39,0.39,2.08,20.33,17.5,6.62,4.96,3.0
2025-02-10,0.43,0.42,13.43,49.3,29.09,12.85,13.55,3.13
2025-02-11,0.37,0.35,8.37,38.74,26.21,14.09,11.59,3.26
2025-02-12,0.38,0.38,7.7,33.9,22.1,13.61,11.61,3.1
2025-02-13,0.48,0.45,21.59,68.94,36.0,10.2,7.67,2.71
2025-02-14,0.57,0.5,42.69,103.46,38.31,11.82,11.19,1.92
2025-02-15,0.42,0.44,13.21,48.54,28.71,13.96,12.24,1.25
2025-02-16,0.35,0.36,4.21,24.42,18.29,14.67,12.97,1.29
2025-02-17,0.46,0.4,13.5,63.81,43.19,13.05,10.28,1.62
2025-02-18,0.43,0.43,9.21,47.96,34.17,16.36,13.35,1.29
2025-02-19,0.4,0.39,7.1,41.2,30.5,23.76,19.23,1.3
2025-02-20,0.37,0.38,5.5,28.14,19.82,20.1,17.23,1.36
2025-02-21,0.38,0.38,5.83,29.62,20.83,14.29,13.03,1.38
2025-02-22,0.31,0.3,2.04,16.78,13.74,9.15,7.92,1.26
2025-02-23,0.37,0.37,4.21,23.92,17.71,6.75,5.82,1.62
2025-02-24,0.32,0.32,1.27,15.73,14.09,5.01,3.72,1.73
2025-02-25,0.31,0.31,2.42,18.08,14.58,6.17,4.23,1.83
2025-02-26,0.25,0.25,5.04,30.83,23.33,6.36,2.95,1.83
2025-02-27,0.3,0.29,17.0,58.95,33.23,13.47,9.64,2.27
2025-02-28,0.24,0.25,10.82,40.71,24.0,16.24,11.8,2.18
2025-03-01,0.2,0.19,2.79,16.62,12.38,9.62,6.44,2.08
2025-03-02,0.19,0.19,2.21,16.29,12.83,8.29,5.32,2.0
2025-03-03,0.24,0.23,3.5,23.08,18.0,6.73,3.95,2.0
2025-03-04,0.2,0.2,1.79,16.71,14.21,9.63,6.2,2.0
2025-03-05,0.18,0.18,1.95,15.86,13.14,16.6,11.81,2.0
2025-03-06,0.19,0.19,1.32,10.95,9.05,14.04,10.64,2.0
2025-03-07,0.17,0.17,1.38,10.04,8.08,9.27,6.88,2.04
2025-03-08,0.16,0.17,1.25,10.21,8.21,5.53,4.55,2.0
2025-03-09,0.18,0.16,1.29,17.33,15.38,3.35,2.59,2.21
2025-03-10,0.21,0.22,14.38,43.25,21.25,6.02,4.92,2.38
2025-03-11,0.2,0.2,2.62,18.29,14.42,4.54,2.69,2.04
2025-03-12,0.24,0.23,2.55,20.18,16.45,3.77,4.15,2.68
2025-03-13,0.19,0.2,3.75,21.29,15.67,6.33,7.3,2.25
2025-03-14,0.21,0.2,3.75,24.0,18.42,6.4,5.05,2.33
2025-03-15,0.17,0.17,2.17,16.33,13.38,5.87,4.75,2.29
2025-03-16,0.17,0.17,3.21,21.5,16.58,6.97,5.75,2.33
2025-03-17,0.33,0.25,5.5,32.5,24.33,9.65,6.48,3.0
2025-03-18,0.23,0.23,2.0,14.62,11.54,8.08,6.04,2.85
2025-03-19,0.17,0.18,1.12,9.0,7.25,4.48,2.03,2.54
2025-03-20,0.2,0.2,1.18,9.82,7.77,8.3,4.54,2.64
2025-03-21,0.13,0.13,0.69,10.12,9.19,15.65,8.32,2.44
2025-03-22,0.19,0.18,2.0,12.58,9.62,2.62,2.36,2.62
2025-03-23,0.21,0.2,2.08,17.79,14.79,3.26,2.18,2.83
2025-03-24,0.25,0.26,3.46,28.96,23.96,4.89,4.72,2.96
2025-03-25,0.23,0.24,3.88,25.67,20.0,4.73,3.0,3.0
2025-03-26,0.22,0.22,4.14,24.0,17.86,9.22,7.28,3.0
2025-03-27,0.23,0.23,4.48,27.57,20.62,12.12,8.96,3.0
2025-03-28,0.21,0.22,3.5,21.83,16.58,10.72,7.31,3.0
2025-03-29,0.19,0.19,2.75,15.58,11.75,8.56,5.39,3.0
2025-03-30,0.17,0.17,2.5,14.88,11.0,7.91,4.32,3.0
2025-03-31,0.26,0.25,10.83,41.42,25.0,9.17,6.2,3.46
2025-04-01,0.29,0.26,16.95,49.53,23.74,13.92,10.31,3.84
2025-04-02,0.28,0.28,5.05,28.0,20.23,21.29,20.48,3.86
2025-04-03,0.21,0.21,1.4,11.6,9.55,7.21,5.1,3.0
2025-04-04,0.18,0.19,0.88,10.42,9.46,8.26,5.57,3.04
2025-04-05,0.17,0.16,1.75,12.12,9.58,6.03,4.38,3.17
2025-04-06,0.2,0.2,2.21,15.54,12.33,4.19,3.2,3.08
2025-04-07,0.19,0.2,4.59,30.55,24.05,8.97,7.01,3.59
2025-04-08,0.23,0.24,8.36,36.64,24.27,18.01,14.62,3.64
2025-04-09,0.25,0.27,7.81,33.88,22.56,19.14,18.95,3.75
2025-04-10,0.27,0.24,7.47,32.33,21.47,16.88,17.95,3.6
2025-04-11,0.18,0.18,0.96,9.71,8.62,13.78,15.36,3.5
2025-04-12,0.19,0.18,3.31,20.31,15.85,10.68,11.49,3.77
2025-04-13,0.19,0.19,2.88,14.53,10.29,6.96,8.33,3.82
2025-04-14,0.19,0.2,6.65,28.9,19.05,11.36,7.7,4.1
2025-04-15,0.2,0.19,2.17,17.3,14.3,17.49,6.75,4.0
2025-04-16,0.19,0.19,2.08,16.92,14.08,15.4,5.11,3.96
2025-04-17,0.2,0.2,2.5,16.5,13.32,17.49,5.35,4.0
2025-04-18,0.17,0.18,0.9,9.0,7.71,22.24,6.7,4.0
2025-04-19,0.16,0.18,0.86,6.43,5.57,18.28,4.77,4.0
2025-04-20,0.22,0.22,2.4,16.0,12.6,11.68,3.63,4.0
2025-04-21,0.18,0.19,1.42,9.58,7.75,16.44,4.94,4.0
2025-04-22,0.19,0.19,2.41,18.41,15.0,18.33,5.38,4.0
2025-04-23,0.2,0.2,8.83,29.96,17.04,34.74,8.03,4.17
2025-04-24,0.17,0.18,2.63,16.63,12.84,34.22,8.05,4.0
2025-04-25,0.18,0.19,5.43,24.81,16.95,45.82,11.99,4.05
2025-04-26,0.14,0.14,2.19,10.43,7.71,29.09,7.58,4.0
2025-04-27,0.18,0.17,2.0,12.87,10.39,16.39,4.87,4.0
2025-04-28,0.2,0.2,3.1,18.7,14.1,32.41,9.36,4.0
2025-04-30,0.18,0.19,0.31,4.31,4.0,22.72,7.42,1.94
2025-05-01,0.19,0.19,0.08,3.54,3.46,24.9,7.81,1.83
2025-05-02,0.18,0.18,0.89,9.28,8.17,37.77,10.84,1.89
2025-05-03,0.18,0.18,1.52,9.81,7.81,25.06,8.93,2.0
2025-05-04,0.2,0.21,2.7,12.96,9.17,19.18,6.79,2.0
2025-05-05,0.17,0.18,3.18,15.68,11.41,17.89,8.88,2.0
2025-05-06,0.21,0.19,3.0,20.06,15.88,21.98,7.69,2.0
2025-05-07,0.25,0.24,3.95,19.45,13.8,29.38,9.04,2.0
2025-05-08,0.2,0.17,3.67,23.5,18.25,35.94,12.65,2.08
2025-05-09,0.23,0.22,4.33,24.17,17.96,37.54,14.07,2.0
2025-05-10,0.16,0.15,3.2,17.87,13.47,25.36,9.79,2.13
2025-05-11,0.14,0.13,1.04,7.92,6.79,12.21,5.45,2.0
2025-05-12,0.18,0.19,5.0,18.19,10.81,17.18,7.41,2.1
2025-05-13,0.15,0.15,2.54,12.79,9.17,16.41,6.03,2.0
2025-05-14,0.21,0.2,3.0,18.0,13.88,18.08,6.57,2.0
2025-05-16,0.2,0.19,3.29,22.52,18.05,44.62,14.3,0.95
2025-05-17,0.17,0.17,1.4,13.1,11.1,48.49,13.14,1.0
2025-05-18,0.22,0.2,2.38,15.67,12.42,46.2,13.24,1.0
2025-05-19,0.19,0.19,1.9,14.38,11.76,48.2,13.81,1.0
2025-05-20,0.16,0.17,2.75,19.0,14.95,29.83,10.68,1.0
2025-05-21,0.23,0.21,10.0,33.78,18.94,16.9,14.82,0.72
2025-05-22,0.15,0.15,2.52,16.52,12.91,9.75,9.8,0.0
2025-05-23,0.18,0.18,3.31,23.94,19.31,8.77,9.22,1.44
2025-05-24,0.16,0.17,2.85,18.31,14.46,10.22,11.63,2.54
2025-05-25,0.19,0.2,3.83,17.67,12.5,8.72,10.29,2.33
2025-05-26,0.15,0.16,3.17,15.5,11.0,7.28,7.44,2.46
2025-05-27,0.21,0.2,4.54,21.88,15.25,9.41,7.77,2.79
2025-05-28,0.24,0.21,1.62,14.88,12.69,11.56,12.37,2.62
2025-05-29,0.25,0.25,7.38,34.08,23.38,14.62,14.67,2.92
2025-05-30,0.26,0.25,6.88,30.96,21.12,15.29,14.67,3.0
2025-05-31,0.23,0.24,4.05,18.77,13.09,14.28,13.2,2.91
2025-06-01,0.21,0.21,2.3,10.9,7.7,8.63,9.84,2.9
2025-06-02,0.19,0.19,3.58,18.67,13.54,6.47,7.11,3.0
2025-06-03,0.21,0.21,4.5,20.62,14.12,5.84,6.49,2.92
2025-06-04,0.19,0.18,2.58,15.17,11.58,6.47,7.46,3.0
2025-06-05,0.19,0.18,2.58,15.25,11.58,7.94,8.32,3.0
2025-06-06,0.22,0.22,4.54,20.12,13.33,8.58,7.68,3.12
2025-06-07,0.19,0.19,1.92,10.46,8.12,9.31,8.48,3.04
2025-06-08,0.26,0.24,1.1,8.35,7.0,9.51,9.69,3.25
2025-06-09,0.31,0.29,2.45,19.75,16.5,15.18,19.22,3.8
2025-06-10,0.31,0.31,2.81,20.12,16.31,21.46,24.11,3.56
2025-06-11,0.24,0.24,2.26,18.32,15.05,19.64,19.15,3.26
2025-06-12,0.28,0.26,3.47,23.35,18.41,14.93,13.38,3.53
2025-06-13,0.29,0.31,5.71,24.47,16.18,16.65,20.35,3.71
2025-06-14,0.27,0.26,1.95,10.32,7.55,12.87,15.59,3.41
2025-06-15,0.27,0.3,0.33,6.17,5.67,7.23,6.16,3.0
