Date,O3 (µg/m3),OZONO,O3 8h (µg/m3),D.vien (grados),H (%)
2025-01-01,25.13,25.13,21.83,204.35,84.13
2025-01-02,41.87,41.87,39.78,206.96,76.96
2025-01-03,51.83,51.83,50.74,201.52,80.48
2025-01-04,64.3,64.3,61.61,205.3,70.61
2025-01-05,59.7,59.7,61.13,193.22,64.13
2025-01-06,55.61,55.61,60.96,215.57,75.52
2025-01-07,52.3,52.3,48.04,187.96,76.39
2025-01-08,63.7,63.7,62.39,197.61,66.04
2025-01-09,47.04,47.04,54.65,201.43,73.65
2025-01-10,50.0,50.0,45.13,202.17,72.83
2025-01-11,58.7,58.7,57.35,281.0,83.39
2025-01-12,63.43,63.43,64.52,82.87,71.22
2025-01-13,50.57,50.57,51.57,210.83,74.61
2025-01-14,26.7,26.7,32.13,176.87,77.0
2025-01-15,37.09,37.09,36.3,103.83,74.26
2025-01-16,38.83,38.83,40.74,159.48,82.65
2025-01-17,8.35,8.35,8.78,197.61,81.74
2025-01-18,17.78,17.78,16.7,177.65,71.96
2025-01-19,37.09,37.09,30.74,182.61,66.09
2025-01-20,34.57,34.57,40.0,191.57,77.04
2025-01-21,18.13,18.13,19.57,179.04,80.3
2025-01-22,22.73,22.73,20.41,226.82,82.73
2025-01-23,45.13,45.13,45.26,128.57,82.74
2025-01-24,54.39,54.39,52.78,176.87,68.74
2025-01-25,56.7,56.7,57.57,147.35,75.0
2025-01-26,64.22,64.22,62.39,168.74,58.96
2025-01-27,69.96,69.96,67.39,201.17,69.35
2025-01-28,66.61,66.61,69.83,224.0,68.22
2025-01-29,69.17,69.17,66.91,187.04,66.17
2025-01-30,60.96,60.96,62.35,283.57,86.91
2025-01-31,47.52,47.52,53.83,253.22,73.13
2025-02-01,47.61,47.61,45.0,123.78,80.43
2025-02-02,45.09,45.09,41.17,226.65,79.26
2025-02-03,44.39,44.39,47.04,214.39,81.48
2025-02-04,25.22,25.22,27.3,196.04,77.43
2025-02-05,40.91,40.91,36.22,169.43,76.91
2025-02-06,30.48,30.48,35.04,178.61,79.52
2025-02-07,44.13,44.13,39.91,216.87,81.26
2025-02-08,47.57,47.57,49.17,202.78,72.13
2025-02-09,41.87,41.87,43.78,175.39,73.39
2025-02-10,24.3,24.3,24.61,153.65,77.39
2025-02-11,33.78,33.78,30.17,187.09,73.13
2025-02-12,48.09,48.09,45.91,258.96,81.7
2025-02-13,22.35,22.35,27.74,157.22,81.83
2025-02-14,23.3,23.3,22.43,248.74,79.43
2025-02-15,33.7,33.7,30.39,163.3,72.48
2025-02-16,48.43,48.43,45.13,142.3,64.17
2025-02-17,46.7,46.7,50.09,179.83,70.35
2025-02-18,35.48,35.48,34.39,214.3,70.39
2025-02-19,45.83,45.83,46.09,209.78,69.39
2025-02-20,53.86,53.86,52.52,189.95,69.48
2025-02-21,46.17,46.17,43.91,124.91,74.74
2025-02-22,63.61,63.61,67.04,195.13,72.96
2025-02-23,42.35,42.35,39.78,208.3,73.78
2025-02-24,63.74,63.74,61.87,193.7,52.7
2025-02-25,70.48,70.48,71.09,315.3,73.39
2025-02-26,55.39,55.39,59.09,223.09,66.83
2025-02-27,29.0,29.0,29.17,190.52,68.22
2025-02-28,46.91,46.91,41.43,135.87,76.35
2025-03-01,65.57,65.57,65.65,43.39,70.39
2025-03-02,62.22,62.22,62.35,98.09,70.96
2025-03-03,57.22,57.22,60.74,75.17,75.74
2025-03-04,59.61,59.61,56.87,108.22,71.91
2025-03-05,71.3,71.3,68.78,125.61,63.39
2025-03-06,68.7,68.7,69.74,122.87,72.65
2025-03-07,63.39,63.39,64.09,142.87,73.09
2025-03-08,70.52,70.52,69.52,142.04,73.74
2025-03-09,61.96,61.96,67.74,196.48,68.87
2025-03-10,46.83,46.83,41.43,150.17,65.61
2025-03-11,59.96,59.96,60.39,195.52,76.39
2025-03-12,64.57,64.57,62.83,205.52,77.83
2025-03-13,71.39,71.39,72.65,139.35,77.87
2025-03-14,62.26,62.26,63.3,170.13,78.96
2025-03-15,69.74,69.74,68.52,311.09,76.57
2025-03-16,60.3,60.3,62.13,167.52,72.74
2025-03-17,49.04,49.04,45.91,144.17,69.09
2025-03-18,61.7,61.7,61.57,114.57,73.04
2025-03-19,65.13,65.13,64.17,128.83,73.04
2025-03-20,68.39,68.39,69.91,138.65,73.35
2025-03-21,73.96,73.96,74.04,173.09,62.61
2025-03-22,71.91,71.91,71.52,240.78,74.61
2025-03-23,59.22,59.22,63.61,228.7,73.17
2025-03-24,51.96,51.96,49.43,257.09,89.61
2025-03-25,58.96,58.96,58.09,190.87,81.26
2025-03-26,67.87,67.87,66.57,95.83,78.3
