Date,CO (mg/m3),CO 8h (mg/m3),NO (µg/m3),NOX (µg/m3),NO2,PM10,"PM2,5"
2025-01-01,0.22,0.22,3.33,23.25,18.17,12.84,8.96
2025-01-02,0.2,0.21,10.21,35.67,20.0,7.07,6.14
2025-01-03,0.18,0.18,0.71,12.67,11.5,6.89,6.82
2025-01-04,0.16,0.16,0.62,7.83,6.79,7.91,6.21
2025-01-05,0.17,0.16,1.5,14.58,12.12,8.44,4.35
2025-01-06,0.22,0.18,7.75,34.88,23.12,6.33,3.61
2025-01-07,0.18,0.23,5.14,24.77,16.91,9.87,5.46
2025-01-08,0.13,0.13,0.42,6.04,5.42,3.89,3.6
2025-01-09,0.21,0.19,4.88,27.21,19.75,6.41,3.11
2025-01-10,0.2,0.22,0.67,10.88,9.83,10.38,6.02
2025-01-11,0.14,0.14,0.5,10.04,9.12,6.03,2.91
2025-01-12,0.18,0.16,3.04,16.92,12.42,10.08,2.11
2025-01-13,0.2,0.21,4.38,29.0,22.42,7.02,2.64
2025-01-14,0.3,0.29,23.16,78.74,43.58,11.45,7.43
2025-01-15,0.22,0.23,4.79,30.5,23.29,18.74,11.82
2025-01-16,0.26,0.25,6.33,39.71,30.29,14.28,10.4
2025-01-17,0.39,0.37,34.33,101.9,49.48,15.06,9.22
2025-01-18,0.42,0.43,35.62,97.38,43.0,24.44,15.86
2025-01-19,0.32,0.37,12.56,45.25,26.25,18.5,12.89
2025-01-20,0.25,0.24,5.39,39.13,30.91,10.37,9.23
2025-01-21,0.27,0.26,7.73,45.18,33.64,15.55,10.88
2025-01-22,0.25,0.24,9.35,41.95,27.8,11.84,8.66
2025-01-23,0.26,0.23,16.48,53.35,28.17,10.19,6.61
2025-01-24,0.16,0.19,3.38,16.92,11.67,8.52,4.51
2025-01-25,0.17,0.16,1.21,16.17,14.54,5.18,2.88
2025-01-26,0.15,0.16,0.92,12.17,10.71,6.57,3.21
2025-01-27,0.14,0.14,0.25,5.42,4.92,4.23,4.55
2025-01-28,0.15,0.15,0.5,10.83,10.0,4.33,2.49
2025-01-29,0.15,0.15,0.92,9.83,8.38,7.17,2.97
2025-01-30,0.18,0.18,1.12,12.46,10.67,6.32,2.82
2025-01-31,0.25,0.2,15.38,57.0,33.67,9.85,2.92
2025-02-01,0.22,0.29,3.17,24.33,19.5,21.46,8.74
2025-02-02,0.19,0.2,5.44,24.0,15.56,9.76,5.51
2025-02-03,0.21,0.2,3.12,35.21,30.58,7.35,4.79
2025-02-04,0.28,0.26,12.73,56.86,37.73,11.88,5.32
2025-02-05,0.45,0.42,43.62,109.08,42.31,16.87,7.73
2025-02-06,0.36,0.36,22.94,81.76,46.76,17.82,9.25
2025-02-07,0.22,0.25,0.77,19.69,18.46,18.85,10.02
