Date,NO (µg/m3),NOX (µg/m3),NO2,PM10,"PM2,5"
2025-01-01,1.41,11.64,9.32,10.78,11.01
2025-01-02,1.08,14.21,12.29,6.29,5.98
2025-01-03,0.62,9.96,8.79,7.92,7.18
2025-01-04,1.0,6.62,4.62,8.8,8.27
2025-01-05,1.17,9.71,7.71,8.53,7.14
2025-01-06,1.54,17.83,15.29,7.06,5.36
2025-01-07,0.54,8.71,7.75,8.7,6.8
2025-01-08,0.75,5.04,3.71,5.02,3.52
2025-01-09,2.08,18.0,14.88,8.04,5.56
2025-01-10,1.42,10.79,8.38,10.14,7.76
2025-01-11,1.5,14.58,12.17,7.56,5.77
2025-01-12,1.12,10.08,8.25,9.56,6.42
2025-01-13,1.75,17.12,14.54,7.77,5.91
2025-01-14,8.19,39.14,26.67,11.97,8.75
2025-01-15,2.67,25.71,21.67,16.63,12.83
2025-01-16,2.61,26.0,22.06,14.08,11.16
2025-01-17,28.23,88.09,44.95,16.41,12.8
2025-01-18,13.38,49.88,29.58,20.71,15.62
2025-01-19,6.78,30.0,19.5,14.34,11.33
2025-01-20,4.65,34.3,27.09,10.02,7.98
2025-01-21,8.17,48.91,36.3,15.47,12.03
2025-01-22,15.15,49.35,25.95,13.7,11.74
2025-01-23,2.74,22.53,18.05,9.4,7.47
2025-01-24,0.29,10.17,9.58,6.8,4.54
2025-01-25,0.17,9.04,8.62,5.73,4.12
2025-01-26,0.04,4.58,4.54,5.6,3.78
2025-01-27,0.0,3.79,3.79,5.49,3.19
2025-01-28,0.38,10.42,9.71,5.25,3.7
2025-01-29,0.08,4.71,4.67,6.84,4.2
2025-01-30,1.0,13.0,11.45,9.48,5.01
2025-01-31,3.73,31.55,26.18,19.23,6.22
2025-02-01,1.67,20.54,18.0,15.39,7.74
2025-02-02,3.54,20.04,14.71,10.65,6.1
2025-02-03,4.04,31.12,25.08,10.27,6.06
2025-02-04,6.58,35.21,25.38,11.7,7.39
2025-02-05,9.73,35.5,20.68,15.68,10.45
2025-02-06,6.58,34.84,24.79,14.89,9.82
2025-02-07,1.9,21.3,18.4,15.29,11.16
2025-02-08,1.33,15.92,13.83,8.99,5.98
2025-02-09,1.75,13.96,11.17,9.71,7.22
2025-02-10,9.0,37.12,23.71,11.7,8.98
2025-02-11,3.45,23.73,18.73,13.78,10.52
2025-02-12,3.33,22.76,17.86,13.69,10.01
2025-02-13,18.75,56.06,27.5,13.08,7.35
