Date;Hour  (GMT);CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;ICA Estación
31/12/2024;24:00;0,53;0,56;23;69;34;Muy bueno / Oso ona;22,78;Bueno / Ona;13,13;Bueno / Ona;Bueno / Ona
31/12/2024;23:00;0,41;0,55;6;36;28;Muy bueno / Oso ona;22,67;Bueno / Ona;12,13;Bueno / Ona;Bueno / Ona
31/12/2024;22:00;0,44;0,55;12;52;33;Muy bueno / Oso ona;23,25;Bueno / Ona;12,17;Bueno / Ona;Bueno / Ona
31/12/2024;21:00;0,72;0,54;30;83;37;Muy bueno / Oso ona;23,63;Bueno / Ona;12,17;Bueno / Ona;Bueno / Ona
31/12/2024;20:00;0,6;0,49;43;102;35;Muy bueno / Oso ona;24;Bueno / Ona;12,17;Bueno / Ona;Bueno / Ona
31/12/2024;19:00;0,54;0,47;28;79;36;Muy bueno / Oso ona;23,92;Bueno / Ona;12,13;Bueno / Ona;Bueno / Ona
31/12/2024;18:00;0,6;0,45;37;89;32;Muy bueno / Oso ona;23,92;Bueno / Ona;12,13;Bueno / Ona;Bueno / Ona
31/12/2024;17:00;0,64;0,43;56;123;38;Muy bueno / Oso ona;23,88;Bueno / Ona;12,13;Bueno / Ona;Bueno / Ona
31/12/2024;16:00;0,45;0,39;20;56;26;Muy bueno / Oso ona;23,63;Bueno / Ona;11,92;Bueno / Ona;Bueno / Ona
31/12/2024;15:00;0,41;0,37;21;55;23;Muy bueno / Oso ona;24,08;Bueno / Ona;12,08;Bueno / Ona;Bueno / Ona
31/12/2024;14:00;0,33;0,36;9;27;13;Muy bueno / Oso ona;24,92;Bueno / Ona;12,17;Bueno / Ona;Bueno / Ona
31/12/2024;13:00;0,35;0,35;18;48;21;Muy bueno / Oso ona;25,25;Bueno / Ona;11,96;Bueno / Ona;Bueno / Ona
31/12/2024;12:00;0,41;0,34;24;66;29;Muy bueno / Oso ona;25,13;Bueno / Ona;11,83;Bueno / Ona;Bueno / Ona
31/12/2024;11:00;0,44;0,32;27;71;30;Muy bueno / Oso ona;25,13;Bueno / Ona;11,92;Bueno / Ona;Bueno / Ona
31/12/2024;10:00;0,43;0,29;41;95;32;Muy bueno / Oso ona;25,13;Bueno / Ona;11,88;Bueno / Ona;Bueno / Ona
31/12/2024;09:00;0,34;0,27;23;66;31;Muy bueno / Oso ona;25;Bueno / Ona;11,75;Bueno / Ona;Bueno / Ona
31/12/2024;08:00;0,28;0,27;18;56;29;Muy bueno / Oso ona;24,75;Bueno / Ona;11,58;Bueno / Ona;Bueno / Ona
31/12/2024;07:00;0,28;0,28;22;61;27;Muy bueno / Oso ona;24,71;Bueno / Ona;11,67;Bueno / Ona;Bueno / Ona
31/12/2024;06:00;0,27;0,3;14;46;25;Muy bueno / Oso ona;24,54;Bueno / Ona;11,71;Bueno / Ona;Bueno / Ona
31/12/2024;05:00;0,3;0,33;15;48;25;Muy bueno / Oso ona;24,46;Bueno / Ona;11,75;Bueno / Ona;Bueno / Ona
31/12/2024;04:00;0,23;0,4;2;23;20;Muy bueno / Oso ona;24,25;Bueno / Ona;11,63;Bueno / Ona;Bueno / Ona
31/12/2024;03:00;0,24;0,47;2;26;23;Muy bueno / Oso ona;24,08;Bueno / Ona;11,67;Bueno / Ona;Bueno / Ona
31/12/2024;02:00;0,26;0,51;5;34;26;Muy bueno / Oso ona;24,04;Bueno / Ona;11,33;Bueno / Ona;Bueno / Ona
31/12/2024;01:00;0,29;0,55;5;36;28;Muy bueno / Oso ona;23,67;Bueno / Ona;11,25;Bueno / Ona;Bueno / Ona
30/12/2024;24:00;0,41;0,6;11;48;32;Muy bueno / Oso ona;23,71;Bueno / Ona;;Sin datos / Daturik gabe;Bueno / Ona
30/12/2024;23:00;0,45;0,59;20;63;32;Muy bueno / Oso ona;24,42;Bueno / Ona;;Sin datos / Daturik gabe;Bueno / Ona
30/12/2024;22:00;0,47;0,59;15;56;33;Muy bueno / Oso ona;24,63;Bueno / Ona;11,04;Bueno / Ona;Bueno / Ona
30/12/2024;21:00;0,82;0,58;86;174;43;Bueno / Ona;24,46;Bueno / Ona;;Sin datos / Daturik gabe;Bueno / Ona
30/12/2024;20:00;0,8;0,52;92;176;34;Muy bueno / Oso ona;24,54;Bueno / Ona;;Sin datos / Daturik gabe;Bueno / Ona
30/12/2024;19:00;0,57;0,46;47;111;39;Muy bueno / Oso ona;24,58;Bueno / Ona;;Sin datos / Daturik gabe;Bueno / Ona
30/12/2024;18:00;0,62;0,43;40;102;41;Bueno / Ona;24,79;Bueno / Ona;;Sin datos / Daturik gabe;Bueno / Ona
30/12/2024;17:00;0,65;0,38;64;139;41;Bueno / Ona;24,25;Bueno / Ona;;Sin datos / Daturik gabe;Bueno / Ona
30/12/2024;16:00;0,35;0,34;19;48;20;Muy bueno / Oso ona;23,75;Bueno / Ona;;Sin datos / Daturik gabe;Bueno / Ona
30/12/2024;15:00;0,42;0,33;33;78;29;Muy bueno / Oso ona;23;Bueno / Ona;;Sin datos / Daturik gabe;Bueno / Ona
30/12/2024;14:00;0,4;0,31;35;86;32;Muy bueno / Oso ona;22;Bueno / Ona;9,88;Muy bueno / Oso ona;Bueno / Ona
30/12/2024;13:00;0,39;0,29;33;81;31;Muy bueno / Oso ona;22,04;Bueno / Ona;9,79;Muy bueno / Oso ona;Bueno / Ona
