Date;Hour  (GMT);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;O3 (µg/m3);OZONO;O3 - ICA;O3 8h (µg/m3);PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);Tº (ºC);V.vien (m/s);ICA Estación
31/12/2024;24:00;2;23;20;Muy bueno / Oso ona;22;22;Muy bueno / Oso ona;11;17,54;Muy bueno / Oso ona;14,71;Bueno / Ona;6;Muy bueno / Oso ona;115;77;1017,6;0;4,4;1,06;Bueno / Ona
31/12/2024;23:00;2;19;17;Muy bueno / Oso ona;25;25;Muy bueno / Oso ona;10;16,75;Muy bueno / Oso ona;14,04;Bueno / Ona;5;Muy bueno / Oso ona;125;78;1017,8;0;4,6;1,2;Bueno / Ona
31/12/2024;22:00;4;33;28;Muy bueno / Oso ona;12;12;Muy bueno / Oso ona;10;16,63;Muy bueno / Oso ona;13,92;Bueno / Ona;5;Muy bueno / Oso ona;101;88;1018;0;4,2;0,51;Bueno / Ona
31/12/2024;21:00;7;42;32;Muy bueno / Oso ona;4;4;Muy bueno / Oso ona;12;16,54;Muy bueno / Oso ona;13,79;Bueno / Ona;5;Muy bueno / Oso ona;133;99;1018,1;0;4,1;0,55;Bueno / Ona
31/12/2024;20:00;8;41;29;Muy bueno / Oso ona;3;3;Muy bueno / Oso ona;14;16,46;Muy bueno / Oso ona;13,58;Bueno / Ona;5;Muy bueno / Oso ona;156;99;1017,9;0;5;0,77;Bueno / Ona
31/12/2024;19:00;6;38;29;Muy bueno / Oso ona;4;4;Muy bueno / Oso ona;17;16,33;Muy bueno / Oso ona;13,25;Bueno / Ona;5;Muy bueno / Oso ona;254;100;1017,9;0;5,6;0,54;Bueno / Ona
31/12/2024;18:00;3;29;26;Muy bueno / Oso ona;8;8;Muy bueno / Oso ona;18;17,04;Muy bueno / Oso ona;13,58;Bueno / Ona;5;Muy bueno / Oso ona;291;99;1017,6;0;5,8;0,97;Bueno / Ona
31/12/2024;17:00;4;28;22;Muy bueno / Oso ona;11;11;Muy bueno / Oso ona;18;17,25;Muy bueno / Oso ona;13,38;Bueno / Ona;5;Muy bueno / Oso ona;284;96;1017,4;0;6,3;1,94;Bueno / Ona
31/12/2024;16:00;7;29;18;Muy bueno / Oso ona;16;16;Muy bueno / Oso ona;18;17,42;Muy bueno / Oso ona;13,21;Bueno / Ona;5;Muy bueno / Oso ona;282;88;1017,4;0;7,7;1,57;Bueno / Ona
31/12/2024;15:00;7;27;16;Muy bueno / Oso ona;21;21;Muy bueno / Oso ona;17;17,38;Muy bueno / Oso ona;13,04;Bueno / Ona;5;Muy bueno / Oso ona;280;84;1017,6;0;8,1;1,62;Bueno / Ona
31/12/2024;14:00;6;22;12;Muy bueno / Oso ona;25;25;Muy bueno / Oso ona;16;17,38;Muy bueno / Oso ona;12,92;Bueno / Ona;5;Muy bueno / Oso ona;290;83;1017,8;0;8,3;2,11;Bueno / Ona
31/12/2024;13:00;7;28;17;Muy bueno / Oso ona;25;25;Muy bueno / Oso ona;15;17,46;Muy bueno / Oso ona;12,75;Bueno / Ona;5;Muy bueno / Oso ona;311;67;1018,1;0;10,1;0,91;Bueno / Ona
31/12/2024;12:00;6;26;17;Muy bueno / Oso ona;22;22;Muy bueno / Oso ona;15;17,46;Muy bueno / Oso ona;12,71;Bueno / Ona;5;Muy bueno / Oso ona;89;66;1018,5;0;9;1,13;Bueno / Ona
31/12/2024;11:00;12;40;22;Muy bueno / Oso ona;15;15;Muy bueno / Oso ona;15;17,58;Muy bueno / Oso ona;12,75;Bueno / Ona;5;Muy bueno / Oso ona;89;73;1019,1;0;7;1,43;Bueno / Ona
31/12/2024;10:00;13;41;21;Muy bueno / Oso ona;11;11;Muy bueno / Oso ona;15;17,42;Muy bueno / Oso ona;12,58;Bueno / Ona;5;Muy bueno / Oso ona;98;80;1019;0;5,1;1,19;Bueno / Ona
