Date;Hour  (GMT);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;O3 (µg/m3);OZONO;O3 - ICA;O3 8h (µg/m3);PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
04/11/2025;24:00
04/11/2025;23:00
04/11/2025;22:00
04/11/2025;21:00
04/11/2025;20:00
04/11/2025;19:00
04/11/2025;18:00
04/11/2025;17:00
04/11/2025;16:00
04/11/2025;15:00
04/11/2025;14:00
04/11/2025;13:00
04/11/2025;12:00
04/11/2025;11:00
04/11/2025;10:00
04/11/2025;09:00
04/11/2025;08:00
04/11/2025;07:00
04/11/2025;06:00;1;4;3;Muy bueno / Oso ona;73;73;Muy bueno / Oso ona;;12,13;Muy bueno / Oso ona;4,58;Muy bueno / Oso ona;4;Muy bueno / Oso ona;202;44;1015,3;0;0,4;20,2;6,05;Muy bueno / Oso ona
04/11/2025;05:00;0;3;3;Muy bueno / Oso ona;72;72;Muy bueno / Oso ona;;12,42;Muy bueno / Oso ona;4,71;Muy bueno / Oso ona;4;Muy bueno / Oso ona;196;45;1015,9;0;0,4;19,1;6,47;Muy bueno / Oso ona
04/11/2025;04:00;0;2;2;Muy bueno / Oso ona;71;71;Muy bueno / Oso ona;;12,67;Muy bueno / Oso ona;4,83;Muy bueno / Oso ona;4;Muy bueno / Oso ona;198;44;1016,3;0;0,4;19,3;6,29;Muy bueno / Oso ona
04/11/2025;03:00;0;2;2;Muy bueno / Oso ona;;;Sin datos / Daturik gabe;;12,96;Muy bueno / Oso ona;4,92;Muy bueno / Oso ona;4;Muy bueno / Oso ona;204;44;1016,4;0;0,4;19,4;5,58;Muy bueno / Oso ona
04/11/2025;02:00;0;2;2;Muy bueno / Oso ona;69;69;Muy bueno / Oso ona;;13,13;Muy bueno / Oso ona;5;Muy bueno / Oso ona;4;Muy bueno / Oso ona;213;45;1016,9;0;0,4;19,3;4,75;Muy bueno / Oso ona
04/11/2025;01:00;0;2;2;Muy bueno / Oso ona;72;72;Muy bueno / Oso ona;;13,25;Muy bueno / Oso ona;5,08;Muy bueno / Oso ona;4;Muy bueno / Oso ona;206;44;1016,8;0;0,4;19,9;6,96;Muy bueno / Oso ona
03/11/2025;24:00;0;3;3;Muy bueno / Oso ona;70;70;Muy bueno / Oso ona;;13,38;Muy bueno / Oso ona;5,17;Muy bueno / Oso ona;4;Muy bueno / Oso ona;213;46;1017,2;0;0,4;20,4;6,61;Muy bueno / Oso ona
03/11/2025;23:00;0;4;4;Muy bueno / Oso ona;68;68;Muy bueno / Oso ona;;13,29;Muy bueno / Oso ona;5,17;Muy bueno / Oso ona;3;Muy bueno / Oso ona;208;47;1018;0;0,4;19,3;5,29;Muy bueno / Oso ona
03/11/2025;22:00;0;7;7;Muy bueno / Oso ona;64;64;Muy bueno / Oso ona;;13,25;Muy bueno / Oso ona;5,21;Muy bueno / Oso ona;4;Muy bueno / Oso ona;211;49;1018,3;0;0,4;18,9;4,57;Muy bueno / Oso ona
03/11/2025;21:00;15;48;25;Muy bueno / Oso ona;30;30;Muy bueno / Oso ona;;13,17;Muy bueno / Oso ona;5,25;Muy bueno / Oso ona;4;Muy bueno / Oso ona;205;57;1018,6;0;0,4;17,2;3,52;Muy bueno / Oso ona
03/11/2025;20:00;27;80;40;Muy bueno / Oso ona;3;3;Muy bueno / Oso ona;;12,75;Muy bueno / Oso ona;5,17;Muy bueno / Oso ona;5;Muy bueno / Oso ona;160;74;1019,2;0;0,4;15,1;1,24;Muy bueno / Oso ona
