Date,CO (mg/m3),CO 8h (mg/m3),NO (µg/m3),NOX (µg/m3),NO2,PM10,"PM2,5"
2024-01-01,0.32,0.43,3.0,20.0,15.5,28.86,9.5
2024-01-02,0.27,0.25,5.79,24.96,16.17,13.57,4.06
2024-01-03,0.51,0.51,28.12,78.17,35.12,26.6,5.36
2024-01-04,0.37,0.38,18.47,57.32,29.21,32.89,7.06
2024-01-05,0.31,0.3,7.81,31.0,19.1,18.39,3.45
2024-01-06,0.28,0.29,5.17,21.21,13.21,14.7,2.79
2024-01-07,0.35,0.32,6.71,31.75,21.71,13.45,3.03
2024-01-08,0.42,0.4,17.17,58.25,32.0,14.87,5.02
2024-01-09,0.45,0.44,20.33,58.67,27.62,19.12,7.68
2024-01-10,0.31,0.38,18.0,53.36,26.21,25.16,11.0
2024-01-11,0.33,0.29,20.55,61.65,30.4,14.72,7.84
2024-01-12,0.37,0.36,27.9,69.81,27.14,25.62,12.15
2024-01-13,0.77,0.72,80.86,168.57,45.14,26.43,10.87
2024-01-14,0.4,0.46,19.88,60.21,29.88,27.31,8.64
2024-01-15,0.45,0.45,23.67,69.57,33.38,20.12,7.15
2024-01-16,0.39,0.42,34.0,79.25,27.5,19.3,7.76
2024-01-17,0.17,0.18,5.43,23.7,15.26,16.62,6.06
2024-01-18,0.13,0.12,4.08,16.58,10.17,9.87,2.88
2024-01-19,0.25,0.23,11.92,40.62,22.38,15.59,3.82
2024-01-20,0.23,0.24,14.29,51.12,29.42,17.37,7.14
2024-01-21,0.27,0.26,16.71,51.21,25.71,9.71,3.95
2024-01-22,0.21,0.23,6.12,26.67,17.33,12.94,5.1
2024-01-23,0.44,0.37,30.4,71.2,24.73,18.4,5.04
2024-01-24,0.51,0.53,51.47,106.63,27.68,27.06,8.46
2024-01-25,0.53,0.55,49.14,105.82,30.73,43.92,11.95
2024-01-26,0.33,0.6,14.2,46.0,24.2,41.94,12.15
2024-01-27,0.58,0.51,50.05,106.41,29.77,42.03,15.25
2024-01-28,0.24,0.35,10.35,34.15,18.7,35.83,13.08
2024-01-29,0.22,0.23,12.05,42.05,23.64,17.81,6.01
2024-01-30,0.31,0.26,15.41,51.27,27.86,27.6,8.17
2024-01-31,0.38,0.33,35.0,90.17,36.83,34.44,10.78
2024-02-01,0.36,0.36,27.09,74.91,33.65,43.94,14.63
2024-02-02,0.36,0.38,19.26,55.7,26.35,37.73,11.42
2024-02-03,0.33,0.33,14.0,37.56,16.19,18.54,4.9
2024-02-04,0.33,0.36,10.27,35.09,19.45,23.33,9.44
2024-02-05,0.36,0.36,15.35,40.55,17.25,30.08,12.93
2024-02-06,0.4,0.37,13.71,48.53,27.53,33.59,14.49
2024-02-07,0.36,0.37,12.7,46.0,26.78,33.36,13.13
2024-02-08,0.2,0.23,5.96,25.57,16.48,42.08,12.55
2024-02-09,0.24,0.21,8.0,30.48,18.35,18.9,5.47
2024-02-10,0.2,0.22,3.2,14.6,9.55,19.53,3.49
2024-02-11,0.32,0.27,9.5,33.92,19.54,26.55,4.29
2024-02-12,0.39,0.39,6.27,26.27,16.73,20.84,3.48
2024-02-13,0.53,0.5,27.55,75.15,33.05,18.91,3.28
2024-02-14,0.41,0.45,31.0,74.89,27.56,21.54,5.06
2024-02-15,0.27,0.27,5.38,23.92,15.79,14.13,4.12
2024-02-16,0.4,0.37,11.14,37.41,20.27,19.31,4.22
2024-02-17,0.46,0.47,10.71,38.79,22.42,25.83,4.92
2024-02-18,0.38,0.4,6.67,29.28,19.28,21.84,4.94
2024-02-19,0.39,0.4,9.83,33.06,18.33,19.64,3.98
2024-02-20,0.37,0.36,8.68,35.64,22.45,23.66,3.52
2024-02-21,0.48,0.47,20.08,65.79,35.08,24.98,5.51
2024-02-22,0.33,0.37,5.36,22.21,13.93,22.94,7.41
2024-03-02,0.44,0.47,1.6,11.6,9.0,19.89,3.16
2024-03-05,0.32,0.3,11.72,46.33,28.5,24.26,3.99
2024-03-06,0.26,0.26,10.5,41.96,25.96,29.48,6.73
2024-03-07,0.2,0.24,7.21,31.95,20.95,20.1,8.19
2024-03-08,0.22,0.22,9.83,37.0,22.0,11.89,5.36
2024-03-09,0.15,0.15,4.33,20.29,13.58,7.55,5.29
2024-03-10,0.17,0.16,3.54,17.42,12.0,6.42,5.56
2024-03-11,0.27,0.24,7.87,33.87,21.83,14.67,5.26
2024-03-12,0.3,0.3,9.33,38.33,24.08,28.94,5.8
2024-03-13,0.27,0.27,19.17,55.83,26.62,14.43,6.13
2024-03-14,0.24,0.23,13.62,50.12,29.54,16.13,6.54
2024-03-15,0.22,0.26,23.47,65.37,29.37,25.23,11.29
2024-03-16,0.19,0.17,13.47,43.29,22.94,20.97,7.93
2024-03-17,0.17,0.19,8.45,32.0,19.2,21.36,8.74
2024-03-18,0.12,0.13,4.69,18.06,10.88,18.81,5.16
2024-03-19,0.16,0.17,8.0,26.43,14.33,22.29,5.69
2024-03-20,0.21,0.19,8.53,25.93,13.0,22.98,8.68
2024-03-21,0.25,0.23,10.76,33.81,17.57,17.36,6.19
2024-03-22,0.24,0.25,11.12,34.06,16.94,25.18,9.73
2024-03-23,0.2,0.2,6.26,21.04,11.48,23.73,6.43
2024-03-24,0.18,0.18,5.48,18.81,10.57,24.93,4.76
2024-03-25,0.2,0.21,13.78,43.78,22.61,22.11,6.37
2024-03-26,0.11,0.11,6.74,29.35,19.13,16.84,4.66
2024-03-27,0.08,0.1,5.83,26.83,18.12,10.13,4.89
2024-03-28,0.01,0.01,2.96,15.71,11.33,13.33,3.52
2024-03-29,0.02,0.01,3.46,23.17,18.0,7.18,3.1
2024-03-30,0.02,0.02,3.54,19.29,13.92,6.37,3.11
2024-03-31,0.09,0.06,5.46,25.17,16.75,5.03,2.91
2024-04-01,0.09,0.1,3.33,19.21,14.21,8.04,3.43
2024-04-02,0.1,0.1,4.08,23.79,17.88,10.69,3.46
2024-04-03,0.17,0.16,15.71,48.17,24.46,12.03,3.27
2024-04-04,0.15,0.13,4.08,24.71,18.42,13.11,4.09
2024-04-05,0.27,0.24,3.09,20.64,15.68,13.37,5.06
2024-04-06,0.4,0.39,2.52,15.71,11.67,19.06,6.11
2024-04-07,0.54,0.52,4.05,23.15,16.95,52.33,12.88
2024-04-08,0.51,0.51,6.38,26.14,16.19,33.97,9.28
2024-04-09,0.34,0.37,7.17,27.54,16.62,20.35,4.68
2024-04-10,0.34,0.33,8.71,30.62,17.54,29.1,5.61
2024-04-11,0.37,0.37,8.65,29.35,16.35,21.85,4.76
2024-04-12,0.43,0.41,11.54,45.83,28.33,24.49,6.99
2024-04-13,0.42,0.44,8.0,36.84,24.79,34.18,10.77
2024-04-14,0.36,0.37,4.26,20.91,14.35,37.89,15.08
2024-04-15,0.29,0.29,5.27,21.73,13.41,20.39,7.65
2024-04-16,0.29,0.3,4.84,20.05,12.42,20.98,3.79
2024-04-17,0.26,0.27,4.06,17.11,10.89,26.72,5.46
2024-04-18,0.29,0.28,5.67,22.46,13.62,17.99,4.09
2024-04-19,0.26,0.26,8.0,31.21,19.08,15.16,5.17
2024-04-20,0.27,0.26,3.77,21.5,15.5,18.96,7.61
2024-04-21,0.27,0.28,3.5,15.75,10.42,16.85,5.59
2024-04-22,0.17,0.19,5.33,22.46,14.33,15.21,4.94
2024-04-23,0.16,0.15,4.42,20.92,14.25,12.03,4.36
2024-04-24,0.16,0.15,5.29,28.38,20.17,14.5,4.52
2024-04-25,0.2,0.19,8.46,38.92,26.04,16.64,5.18
2024-04-26,0.14,0.14,9.0,33.46,19.83,14.83,5.02
2024-04-27,0.11,0.17,3.0,19.14,14.43,13.15,4.56
2024-04-30,0.08,0.09,11.72,38.33,20.44,17.63,4.54
2024-05-01,0.02,0.03,1.69,12.56,9.81,19.3,3.0
2024-05-02,0.06,0.05,8.38,34.38,21.67,14.32,2.66
2024-05-03,0.08,0.07,8.38,36.42,23.62,16.06,3.8
2024-05-04,0.05,0.05,3.33,21.17,16.04,9.98,2.98
2024-05-05,0.02,0.03,3.79,19.88,14.04,10.33,3.16
2024-05-06,0.09,0.08,5.04,25.83,18.29,12.66,2.4
2024-05-07,0.13,0.12,4.43,21.48,14.65,24.75,3.53
2024-05-08,0.12,0.12,6.09,25.22,16.09,20.44,5.33
2024-05-09,0.14,0.14,9.76,35.48,20.62,20.34,8.45
2024-05-10,0.2,0.19,21.74,62.65,29.57,24.17,9.57
2024-05-13,0.2,0.27,1.86,18.0,15.14,27.94,8.38
2024-05-14,0.21,0.21,7.35,31.09,19.78,20.8,5.26
2024-05-15,0.18,0.18,8.96,36.71,22.88,15.62,4.27
2024-05-16,0.23,0.22,6.71,29.67,19.5,14.16,4.19
2024-05-17,0.3,0.29,9.04,35.5,21.83,17.75,4.09
2024-05-18,0.25,0.25,3.83,20.62,14.62,14.55,4.97
2024-05-19,0.24,0.25,3.67,17.08,11.46,14.57,4.62
2024-05-20,0.26,0.26,5.92,28.92,19.96,10.97,3.19
2024-05-21,0.3,0.28,6.96,30.43,20.09,19.49,5.51
2024-05-22,0.36,0.35,7.35,34.3,23.0,18.35,5.74
2024-05-23,0.41,0.4,6.54,25.75,15.75,14.42,4.09
2024-05-24,0.25,0.26,4.63,20.95,14.05,18.43,4.3
2024-05-25,0.21,0.2,4.21,21.83,15.42,17.05,5.78
2024-05-26,0.23,0.24,3.41,17.0,11.55,21.13,7.37
2024-05-27,0.08,0.1,5.04,20.33,12.71,16.27,3.66
2024-05-28,0.1,0.07,6.04,23.88,14.71,17.4,4.3
2024-05-29,0.34,0.32,8.3,28.0,15.5,17.83,5.38
2024-05-30,0.27,0.28,4.35,17.52,10.74,20.75,6.09
2024-05-31,0.27,0.25,2.95,12.0,7.42,17.97,4.21
2024-06-01,0.31,0.3,4.5,17.71,11.0,16.59,4.68
2024-06-02,0.33,0.32,3.62,15.25,9.62,14.26,5.38
2024-06-03,0.36,0.35,8.39,26.61,13.94,18.45,9.32
2024-06-04,0.36,0.35,5.04,21.17,13.46,17.56,7.97
2024-06-05,0.32,0.33,2.58,16.5,12.67,23.58,10.96
2024-06-06,0.4,0.39,6.26,24.79,15.11,22.35,8.38
2024-06-07,0.42,0.44,3.92,16.54,10.38,26.23,10.19
2024-06-08,0.4,0.41,2.33,13.48,10.05,35.28,14.37
2024-06-09,0.35,0.36,1.33,7.57,5.38,24.57,9.86
2024-06-10,0.35,0.34,3.24,12.82,7.76,17.13,4.35
2024-06-11,0.37,0.37,4.76,18.19,11.19,18.55,4.81
2024-06-12,0.32,0.33,7.08,29.33,18.62,15.57,4.79
2024-06-13,0.2,0.22,4.61,21.65,14.57,16.51,6.03
2024-06-14,0.15,0.13,5.08,22.17,14.17,18.26,6.68
2024-06-15,0.15,0.16,2.83,15.22,10.83,17.11,4.36
2024-06-16,0.11,0.11,1.91,12.13,9.09,23.05,5.4
2024-06-17,0.08,0.08,3.6,16.53,10.8,16.66,4.89
2024-06-18,0.06,0.05,5.54,19.79,11.42,23.77,6.67
2024-06-19,0.07,0.06,6.95,22.77,12.23,14.24,5.41
2024-06-20,0.08,0.08,9.38,32.92,18.83,12.22,4.09
2024-06-21,0.05,0.05,5.17,21.92,14.08,14.58,4.5
2024-06-22,0.06,0.05,5.82,25.41,16.5,18.64,5.39
2024-06-23,0.05,0.05,3.0,14.09,9.65,22.82,4.87
2024-06-24,0.11,0.11,9.17,25.88,11.79,16.95,7.34
2024-06-25,0.07,0.08,5.35,22.61,14.3,21.31,8.5
2024-06-26,0.03,0.04,1.46,10.54,8.15,24.57,10.69
2024-06-27,0.18,0.14,3.3,17.3,12.15,23.94,11.86
2024-06-28,0.22,0.21,7.43,24.93,13.5,24.51,7.99
2024-06-29,0.11,0.13,1.89,17.33,14.78,25.05,6.89
2024-06-30,0.09,0.07,1.14,9.57,7.43,12.14,3.73
2024-07-01,0.16,0.16,4.42,17.25,10.58,13.42,4.44
2024-07-02,0.1,0.1,4.91,19.22,11.74,12.82,3.75
2024-07-03,0.09,0.09,4.71,19.71,12.67,15.51,6.26
2024-07-04,0.16,0.15,6.38,23.04,13.38,16.02,5.89
2024-07-05,0.18,0.18,5.46,18.92,10.54,13.96,4.76
2024-07-06,0.12,0.12,5.53,21.76,13.24,19.38,6.55
2024-07-07,0.07,0.07,3.46,13.96,8.79,17.41,3.84
2024-07-08,0.17,0.13,6.85,26.15,15.38,18.66,6.73
2024-07-09,0.22,0.21,8.33,24.81,12.19,25.68,9.2
2024-07-10,0.23,0.23,7.22,22.13,11.09,18.89,7.19
2024-07-11,0.21,0.22,3.53,15.05,9.68,17.98,9.29
2024-07-12,0.12,0.14,2.5,11.33,7.62,14.17,5.48
2024-07-13,0.16,0.14,4.12,18.5,12.25,14.01,4.51
2024-07-14,0.18,0.18,2.36,13.36,9.73,19.97,6.99
2024-07-15,0.2,0.21,6.13,24.53,15.0,25.37,9.83
2024-07-16,0.18,0.18,6.58,22.58,12.58,21.35,5.5
2024-07-17,0.29,0.24,3.04,15.12,10.54,17.58,4.98
2024-07-18,0.47,0.46,4.9,19.4,12.05,24.07,10.17
2024-07-19,0.33,0.37,2.0,8.85,5.85,23.09,9.69
2024-07-20,0.28,0.28,3.38,14.04,8.83,16.37,7.77
2024-07-21,0.16,0.17,1.3,6.7,4.78,23.05,5.01
2024-07-22,0.21,0.2,4.57,19.78,12.87,25.53,4.65
