Date,Benceno (µg/m3),CO (mg/m3),CO 8h (mg/m3),Etilbenceno (µg/m3),NO (µg/m3),NOX (µg/m3),NO2,Ortoxileno (µg/m3),PM10,"PM2,5",SO2,Tolueno (µg/m3)
2024-01-01,0.7,0.29,0.3,0.42,16.76,52.67,26.95,2.21,16.58,9.13,5.38,2.51
2024-01-02,0.3,0.2,0.19,0.21,4.68,25.59,18.45,1.19,9.02,4.07,5.18,1.14
2024-01-03,0.69,0.34,0.34,0.83,25.25,73.62,34.94,4.21,20.07,8.25,5.75,4.72
2024-01-04,0.5,0.25,0.28,0.6,16.53,55.32,30.11,3.04,16.0,7.29,5.32,3.48
2024-01-05,0.16,0.16,0.15,0.02,1.27,14.32,12.5,0.3,10.04,3.95,5.05,0.56
2024-01-06,0.23,0.17,0.17,0.02,2.05,15.95,12.73,0.25,10.29,3.81,5.32,0.73
2024-01-07,0.39,0.21,0.19,0.09,4.0,27.77,21.64,0.62,9.48,3.5,5.32,2.07
2024-01-08,0.87,0.37,0.34,0.68,27.62,82.52,40.43,3.34,9.58,5.39,5.9,4.77
2024-01-09,0.92,0.41,0.39,0.74,38.2,93.5,34.9,3.58,14.74,8.94,6.3,17.58
2024-01-10,0.85,0.41,0.41,0.69,32.6,82.0,32.13,3.36,20.21,12.8,6.6,11.35
2024-01-11,0.98,0.38,0.35,0.77,28.16,82.05,39.26,3.66,13.89,8.34,5.53,9.45
2024-01-12,1.25,0.4,0.36,1.13,41.67,99.24,35.43,5.29,25.36,15.5,4.81,11.31
2024-01-13,1.16,0.35,0.38,1.03,33.77,89.15,37.54,5.23,20.34,11.15,4.85,12.09
2024-01-14,0.84,0.35,0.34,0.8,23.0,68.18,33.09,4.06,16.38,7.31,4.32,7.44
2024-01-15,0.95,0.51,0.47,1.67,55.91,129.32,43.77,8.22,13.24,6.96,5.18,9.83
2024-01-16,0.86,0.45,0.54,1.42,58.45,127.09,37.5,7.25,14.8,6.96,4.91,9.44
2024-01-17,0.24,0.18,0.2,0.26,3.86,22.91,17.14,1.53,13.1,5.32,4.0,1.74
2024-01-18,0.15,0.15,0.15,0.02,1.64,13.55,10.95,0.4,8.2,2.74,4.0,0.58
2024-01-19,0.48,0.18,0.18,0.14,7.32,31.68,20.5,0.98,11.99,5.68,4.5,1.28
2024-01-20,0.75,0.24,0.24,0.48,13.82,52.73,31.64,2.62,13.72,8.54,4.86,5.43
2024-01-21,0.69,0.27,0.25,0.53,14.77,48.09,25.55,2.95,9.18,5.07,4.73,4.03
2024-01-22,0.2,0.19,0.22,0.15,5.64,29.5,20.95,0.92,9.34,4.08,4.27,1.17
2024-01-23,1.04,0.47,0.33,1.5,59.89,135.37,43.58,7.77,15.05,6.35,5.26,9.62
2024-01-24,1.01,0.28,0.37,1.96,61.83,126.58,32.25,9.54,22.95,9.66,5.42,15.98
2024-01-26,0.67,0.23,0.26,0.98,17.18,63.09,37.18,4.53,28.57,16.97,2.18,12.84
2024-01-27,3.25,0.91,0.6,3.25,126.0,244.86,52.43,16.87,31.11,20.84,4.0,24.72
2024-01-28,0.58,0.17,0.42,0.82,17.64,57.0,30.36,4.11,28.54,16.52,2.21,9.15
