Date,NO (µg/m3),NOX (µg/m3),NO2,O3 (µg/m3),OZONO,O3 8h (µg/m3),PM10,"PM2,5",SO2,D.vien (grados),H (%)
2024-01-01,0.96,8.13,6.22,60.22,60.22,58.35,12.0,5.75,3.91,196.78,56.3
2024-01-02,0.74,7.65,6.26,74.96,74.96,76.17,5.92,3.22,3.74,192.43,52.17
2024-01-03,2.65,25.48,21.22,56.22,56.22,58.52,12.31,3.91,3.7,239.91,77.96
2024-01-04,1.04,13.17,11.26,65.57,65.57,59.96,10.25,3.99,3.87,192.26,67.09
2024-01-05,0.83,9.26,7.87,79.26,79.26,81.0,4.9,1.83,3.83,247.39,86.87
2024-01-06,0.78,8.35,7.17,74.91,74.91,73.13,4.45,1.57,3.96,243.57,83.91
2024-01-07,0.91,16.13,14.39,55.52,55.52,61.3,4.47,1.54,4.0,177.65,89.39
2024-01-08,5.86,41.73,32.77,27.45,27.45,30.18,5.17,4.15,4.09,119.05,86.86
2024-01-09,1.0,20.25,18.25,20.25,20.25,24.0,8.06,6.49,4.0,156.0,95.0
2024-01-10,7.43,33.79,22.36,39.21,39.21,30.5,13.78,11.75,4.29,260.57,85.86
2024-01-11,4.81,36.69,29.25,24.12,24.12,31.81,8.46,6.7,5.81,162.69,86.69
2024-01-12,8.26,40.7,28.13,17.04,17.04,17.57,16.9,13.78,7.04,136.83,85.74
2024-01-13,1.74,17.47,14.89,46.37,46.37,38.37,12.29,9.33,7.0,170.32,52.89
2024-01-14,1.48,18.65,16.35,36.26,36.26,41.22,9.38,5.25,6.96,190.96,75.09
2024-01-15,1.7,22.74,20.13,31.74,31.74,31.52,6.79,4.6,6.87,210.7,87.04
2024-01-16,7.33,29.33,18.14,34.05,34.05,31.9,6.92,4.69,5.43,180.19,81.9
2024-01-17,0.04,4.87,4.74,74.96,74.96,70.48,6.39,3.88,3.83,194.13,50.61
2024-01-18,0.0,4.43,4.43,75.13,75.13,77.39,3.43,1.79,4.04,219.7,63.35
2024-01-19,0.74,14.43,13.13,45.78,45.78,48.35,4.78,3.23,4.3,51.74,71.35
2024-01-20,1.39,18.17,16.26,47.3,47.3,43.52,8.39,7.16,4.83,148.0,60.7
2024-01-21,0.35,7.7,7.04,62.87,62.87,63.3,5.05,4.12,4.91,180.65,46.61
2024-01-22,0.52,8.3,7.48,64.04,64.04,63.39,3.27,2.17,4.87,221.48,65.22
2024-01-23,4.0,29.22,23.09,31.61,31.61,39.78,5.55,2.9,4.91,166.35,83.39
2024-01-24,9.0,42.3,28.52,11.74,11.74,12.39,13.63,6.89,5.0,160.87,83.39
2024-01-25,2.7,27.6,23.5,27.9,27.9,28.25,17.66,9.44,4.95,222.4,79.4
2024-01-26,10.67,45.83,29.44,17.83,17.83,17.61,22.34,14.12,4.94,183.39,91.06
2024-01-27,9.39,40.52,26.09,19.57,19.57,13.48,24.83,17.68,5.52,148.52,75.22
2024-01-28,0.0,4.24,4.19,71.71,71.71,70.05,14.89,10.24,4.95,171.62,38.43
2024-01-29,0.04,5.48,5.35,68.26,68.26,68.83,10.96,6.18,5.13,175.13,47.57
2024-01-30,0.53,9.73,8.8,57.73,57.73,59.27,16.05,9.4,5.13,176.87,61.13
2024-01-31,4.82,36.14,28.68,34.05,34.05,39.91,17.59,11.64,4.27,171.09,70.18
2024-02-01,6.0,35.62,26.43,32.0,32.0,27.95,26.39,17.54,2.62,237.95,88.67
2024-02-02,1.0,18.71,17.19,48.19,48.19,47.29,18.78,11.96,2.19,165.19,93.29
2024-02-03,1.26,16.83,14.83,36.74,36.74,38.78,10.5,6.92,2.0,183.26,87.22
2024-02-04,0.86,13.43,12.19,28.38,28.38,28.29,16.84,12.96,2.0,135.86,90.57
2024-02-05,6.27,22.91,13.45,33.0,33.0,21.82,22.21,18.3,2.0,257.18,85.0
2024-02-06,1.52,26.09,23.65,40.48,40.48,44.39,24.3,17.14,2.0,171.57,81.91
2024-02-07,3.52,26.0,20.67,37.52,37.52,31.48,21.26,14.62,1.71,169.81,70.24
2024-02-08,0.0,5.32,5.23,64.14,64.14,61.82,24.44,12.51,1.32,173.73,47.27
2024-02-09,0.68,10.79,9.53,58.84,58.84,61.32,9.36,4.34,1.0,162.11,65.58
2024-02-10,0.52,4.52,3.65,81.83,81.83,78.7,4.82,1.26,1.61,269.09,73.17
2024-02-11,1.04,11.65,9.87,66.3,66.3,70.74,8.13,2.79,1.3,228.83,64.57
2024-02-12,0.65,9.57,8.3,69.3,69.3,70.22,6.56,2.98,1.13,224.39,75.78
2024-02-13,3.13,29.39,24.26,41.83,41.83,43.96,5.67,2.65,1.78,154.83,67.3
2024-02-14,1.41,15.82,13.5,52.36,52.36,47.64,5.33,2.92,1.59,160.0,56.09
2024-02-15,0.52,7.7,6.48,69.22,69.22,66.35,4.63,2.35,1.13,182.78,56.04
2024-02-16,0.87,10.43,8.91,75.09,75.09,79.0,5.65,1.98,1.39,259.43,87.0
2024-02-17,2.65,21.74,17.35,51.22,51.22,51.87,9.78,3.66,1.96,179.26,81.57
2024-02-18,1.96,16.91,13.7,51.43,51.43,48.22,9.76,4.75,2.09,201.65,77.83
2024-02-19,0.78,9.3,7.83,68.87,68.87,68.65,8.24,3.83,1.96,295.74,87.65
2024-02-20,1.96,25.74,22.39,47.91,47.91,52.91,11.06,3.34,2.0,120.17,76.17
2024-02-21,5.96,44.52,35.48,32.0,32.0,28.91,14.84,6.68,2.22,151.61,55.52
2024-02-22,0.74,6.52,5.26,79.04,79.04,74.04,11.99,5.78,1.65,222.39,59.91
