Date,NO (µg/m3),NOX (µg/m3),NO2,O3 (µg/m3),OZONO,O3 8h (µg/m3),PM10,"PM2,5",SO2,D.vien (grados),H (%)
2024-01-01,5.36,17.5,9.55,34.18,34.18,30.23,12.88,7.18,1.14,184.73,65.64
2024-01-02,1.64,5.73,3.18,68.36,68.36,69.59,5.44,2.99,1.0,200.64,54.77
2024-01-03,13.43,41.0,20.83,33.39,33.39,39.09,9.41,4.77,1.48,178.96,81.57
2024-01-04,6.26,18.87,9.52,52.09,52.09,43.17,10.75,6.0,1.35,197.09,69.96
2024-01-05,3.86,12.18,6.36,70.77,70.77,73.41,6.63,3.1,1.32,189.5,84.27
2024-01-06,3.0,10.94,6.47,66.41,66.41,66.53,8.09,3.45,1.12,142.76,81.06
2024-01-07,3.85,16.95,11.3,48.65,48.65,55.0,6.66,2.92,1.3,153.1,89.0
2024-01-08,22.22,61.83,28.11,17.72,17.72,24.78,7.4,4.56,1.44,189.11,91.44
2024-01-09,30.73,70.18,23.45,3.0,3.0,6.73,12.87,9.15,1.27,177.36,96.36
2024-01-10,9.69,30.92,16.15,26.69,26.69,17.77,17.23,12.54,1.08,163.46,87.77
2024-01-11,11.1,35.7,19.5,24.4,24.4,34.4,11.18,8.15,1.0,192.4,91.6
2024-01-12,19.12,54.88,25.88,3.75,3.75,8.62,17.77,13.24,1.0,184.12,92.75
2024-01-13,12.85,39.65,20.25,20.45,20.45,22.7,15.06,10.29,0.95,195.45,63.9
2024-01-14,14.52,40.3,18.39,11.7,11.7,13.0,10.91,5.41,0.96,187.43,83.61
2024-01-15,18.82,50.64,22.27,7.82,7.82,9.0,10.09,5.59,1.27,186.55,95.91
2024-01-16,16.29,39.57,14.71,30.57,30.57,21.29,11.49,5.6,1.43,184.71,91.43
2024-01-17,2.0,5.33,2.17,63.17,63.17,54.5,11.68,5.6,1.0,196.17,56.17
2024-01-18,3.6,10.2,4.8,73.0,73.0,73.4,4.9,2.52,1.1,160.5,63.5
2024-01-19,7.0,22.3,11.6,49.7,49.7,55.3,8.16,4.33,1.1,88.6,72.0
2024-01-20,7.57,25.96,14.65,41.17,41.17,36.57,10.45,7.47,0.96,169.74,63.3
2024-01-21,3.0,11.0,6.64,58.55,58.55,60.82,5.45,3.91,0.68,202.59,46.68
2024-01-22,4.67,14.33,7.33,58.22,58.22,59.44,4.06,2.39,1.0,235.33,58.67
2024-01-23,18.31,43.92,16.15,21.0,21.0,35.15,9.44,5.04,1.38,181.23,93.85
2024-01-24,19.83,43.5,12.83,1.17,1.17,5.0,17.04,8.94,1.17,173.17,96.67
2024-01-25,30.62,60.38,13.62,6.75,6.75,3.25,23.52,12.24,1.38,194.62,89.12
2024-01-26,12.0,36.0,17.67,23.0,23.0,14.67,21.28,13.47,1.0,177.67,90.67
2024-01-27,19.67,52.08,22.5,8.17,8.17,13.75,29.36,21.51,1.42,166.75,90.17
2024-01-28,1.1,4.35,2.5,68.6,68.6,57.95,17.96,11.55,1.15,198.0,40.55
2024-01-29,1.33,4.5,2.83,67.5,67.5,69.83,9.94,5.35,1.0,201.5,48.67
2024-01-30,2.17,5.0,1.83,64.17,64.17,61.5,16.84,8.81,1.0,205.67,57.67
2024-01-31,21.43,67.29,35.14,3.86,3.86,29.43,24.45,14.57,1.29,167.57,85.0
2024-02-01,34.29,81.29,29.29,1.86,1.86,3.14,27.15,16.62,1.43,174.43,89.14
2024-02-03,7.87,22.78,10.87,31.7,31.7,35.57,15.16,8.68,1.52,132.26,88.48
2024-02-04,3.3,13.25,8.3,30.95,30.95,29.85,18.98,14.36,1.35,146.05,90.1
2024-02-05,12.7,28.5,9.3,24.5,24.5,25.9,25.14,20.45,1.7,208.4,89.2
2024-02-06,11.36,42.82,26.09,23.82,23.82,39.27,25.3,17.15,1.82,172.0,86.45
2024-02-07,9.88,31.88,17.12,17.38,17.38,14.62,24.17,15.67,1.62,163.38,86.88
2024-02-08,2.5,6.17,2.33,59.0,59.0,55.67,29.99,14.42,1.5,188.67,51.17
2024-02-09,4.2,13.0,6.6,58.4,58.4,63.6,15.88,6.28,1.6,174.6,63.2
2024-02-10,2.31,5.19,1.69,79.56,79.56,79.56,7.24,3.34,4.31,209.19,70.12
2024-02-11,4.21,16.42,9.95,52.26,52.26,62.74,12.2,6.37,2.0,221.26,70.11
2024-02-12,2.62,8.75,4.75,65.0,65.0,56.12,10.42,5.45,1.75,190.62,66.75
2024-02-13,12.12,34.25,15.88,19.75,19.75,27.5,10.24,5.35,1.88,177.75,86.62
2024-02-14,7.78,18.0,6.33,52.44,52.44,47.56,9.16,4.25,1.67,193.89,56.33
2024-02-15,2.0,5.75,3.0,67.0,67.0,64.0,6.95,2.82,1.75,214.0,52.25
2024-02-16,5.2,18.6,11.0,46.8,46.8,68.9,10.06,4.56,2.0,188.2,89.3
2024-02-17,7.3,25.74,14.74,36.48,36.48,38.17,15.99,8.35,1.96,204.7,85.87
2024-02-18,4.65,16.74,9.57,44.26,44.26,36.83,12.31,7.05,2.09,217.09,80.17
2024-02-19,4.0,14.25,8.12,57.56,57.56,59.94,8.88,5.04,1.88,174.88,90.12
2024-02-20,4.42,15.25,8.83,53.92,53.92,51.58,13.11,6.46,2.0,111.58,80.0
2024-02-21,10.57,28.14,12.14,24.57,24.57,17.71,18.25,8.91,2.14,181.86,77.14
2024-02-22,1.33,4.22,2.11,73.11,73.11,61.22,15.38,7.13,1.89,195.11,58.44
2024-02-23,5.29,16.57,8.57,53.86,53.86,64.71,13.82,6.87,2.0,207.29,80.43
2024-02-24,3.05,11.27,6.77,67.05,67.05,73.41,7.23,3.56,1.91,205.09,79.73
2024-02-25,1.0,3.31,1.56,65.62,65.62,62.19,6.48,3.1,2.0,196.81,74.31
2024-02-26,3.57,10.43,5.0,66.14,66.14,65.43,9.89,4.89,2.0,234.57,80.29
2024-02-27,2.0,5.0,2.17,77.0,77.0,76.33,13.44,6.49,2.0,135.33,79.5
2024-02-28,4.0,18.2,12.33,62.2,62.2,65.07,13.43,5.78,1.93,162.33,79.73
2024-02-29,7.69,21.0,9.5,60.56,60.56,56.88,10.12,5.76,2.06,203.31,88.44
2024-03-01,8.54,22.23,8.92,62.77,62.77,68.08,8.09,4.01,1.92,204.08,77.46
2024-03-02,2.15,8.05,4.75,78.05,78.05,78.7,5.19,2.8,1.95,209.85,81.7
2024-03-03,1.94,5.83,2.94,75.61,75.61,81.33,7.0,3.23,1.94,218.22,76.83
2024-03-04,13.4,38.9,18.8,33.5,33.5,46.0,6.96,3.1,2.0,179.6,83.0
2024-03-05,6.0,22.27,13.27,45.55,45.55,66.27,10.86,5.04,2.0,199.09,82.82
2024-03-06,5.5,30.42,22.33,20.42,20.42,42.0,15.49,7.09,1.83,163.58,85.5
2024-03-07,5.42,15.67,7.58,81.25,81.25,66.75,14.31,6.67,1.83,182.5,42.17
2024-03-08,14.25,36.0,14.25,58.75,58.75,72.5,6.23,2.78,2.12,204.88,68.75
2024-03-09,3.35,6.59,1.71,83.0,83.0,81.18,2.63,1.12,1.88,190.24,51.47
2024-03-10,3.18,6.65,1.76,82.65,82.65,83.76,3.21,1.4,1.82,205.35,74.35
2024-03-11,3.38,9.12,4.12,80.88,80.88,80.5,5.36,2.86,2.0,206.88,83.5
2024-03-12,8.23,30.15,18.15,27.69,27.69,49.85,10.23,5.42,1.85,189.62,90.54
2024-03-13,20.62,52.05,20.62,27.0,27.0,24.38,11.26,5.18,2.1,129.71,73.43
2024-03-14,5.42,26.92,19.25,46.0,46.0,57.08,11.7,4.83,2.0,199.83,62.08
2024-03-15,23.12,57.06,22.12,30.76,30.76,35.65,14.52,6.96,2.35,160.47,78.47
2024-03-16,8.83,32.04,18.74,36.17,36.17,40.3,12.36,7.41,2.13,121.96,74.09
2024-03-17,4.78,13.52,6.43,54.48,54.48,47.65,11.94,7.53,2.0,170.52,74.48
2024-03-18,7.0,19.2,8.6,54.8,54.8,55.2,10.24,5.62,2.0,112.2,90.2
2024-03-19,3.5,9.5,4.5,45.83,45.83,42.67,13.22,6.55,2.33,237.83,95.0
2024-03-20,4.14,12.29,5.71,59.0,59.0,51.86,15.19,10.71,2.57,299.0,96.29
2024-03-21,6.88,19.5,8.88,48.0,48.0,55.38,12.74,7.67,2.62,207.0,93.5
2024-03-22,9.67,25.11,10.67,32.56,32.56,28.89,15.9,10.87,2.78,242.0,94.78
2024-03-23,3.89,11.11,5.44,71.22,71.22,77.89,16.3,8.63,2.78,106.33,72.0
2024-03-24,2.56,8.75,4.75,74.12,74.12,80.75,12.35,5.3,2.75,175.69,70.56
2024-03-25,3.5,14.25,9.33,57.67,57.67,63.33,12.96,6.32,2.75,202.75,91.83
2024-03-26,2.9,14.8,10.3,73.9,73.9,80.1,10.72,5.25,2.9,216.7,90.5
2024-03-27,1.14,11.14,9.71,53.43,53.43,51.29,4.55,2.02,2.0,191.71,69.57
2024-03-28,0.3,4.83,4.35,86.13,86.13,88.3,7.56,3.07,2.22,201.26,49.74
2024-03-29,0.87,12.22,11.17,73.57,73.57,77.43,3.17,1.01,2.13,196.04,75.39
2024-03-30,0.91,9.83,8.78,71.3,71.3,66.87,3.27,1.55,2.09,184.78,62.09
2024-03-31,1.04,10.83,9.43,60.96,60.96,68.26,2.38,0.71,2.17,216.35,75.87
2024-04-01,0.43,6.65,5.87,82.04,82.04,78.43,3.59,1.64,2.09,213.0,63.48
2024-04-02,1.78,11.96,9.52,73.57,73.57,71.3,4.67,2.34,2.17,187.17,55.52
2024-04-03,9.52,31.48,17.43,63.74,63.74,65.83,5.31,2.15,2.43,143.83,53.91
2024-04-04,0.87,8.57,7.39,83.13,83.13,79.04,6.75,3.07,2.39,193.26,41.65
2024-04-05,0.7,9.13,8.3,93.35,93.35,90.3,7.41,2.78,2.65,184.26,33.04
2024-04-06,0.39,6.13,5.61,94.57,94.57,99.39,17.63,4.97,2.57,199.7,34.0
2024-04-07,2.1,18.0,15.05,54.1,54.1,59.55,38.61,12.91,5.3,177.5,79.0
2024-04-08,7.0,27.25,16.75,32.25,32.25,21.88,29.19,12.58,3.0,192.12,79.12
2024-04-09,1.18,8.64,7.09,71.55,71.55,82.0,12.77,5.62,2.27,202.82,82.18
2024-04-10,10.1,28.4,13.1,37.5,37.5,61.5,13.5,6.28,2.6,221.0,87.2
2024-04-11,3.82,23.09,17.73,26.0,26.0,51.27,13.11,6.57,2.18,201.36,87.36
2024-04-12,11.62,39.38,21.77,33.23,33.23,43.77,14.59,7.14,3.0,177.15,81.85
2024-04-13,9.73,35.6,21.07,47.07,47.07,26.33,16.35,9.2,3.0,127.27,70.93
2024-04-14,3.06,15.33,10.78,78.67,78.67,66.44,15.32,9.21,3.11,144.83,79.28
2024-04-15,2.8,13.0,8.8,69.4,69.4,75.8,11.14,7.18,3.0,211.4,91.4
2024-04-16,1.73,9.73,7.18,85.18,85.18,84.27,11.07,5.33,2.64,186.18,83.55
2024-04-17,0.78,6.56,5.44,85.33,85.33,91.78,10.82,4.97,2.78,247.44,75.22
2024-04-18,0.0,0.5,0.5,78.5,78.5,85.5,8.9,3.77,3.0,253.0,74.0
2024-04-19,8.23,31.0,18.69,45.54,45.54,58.92,10.09,4.87,3.08,174.46,84.08
2024-04-20,3.64,18.73,13.59,54.23,54.23,55.23,11.8,6.08,3.09,190.73,78.55
2024-04-21,1.87,9.7,7.0,72.52,72.52,65.13,11.26,5.76,2.96,101.7,64.96
2024-04-22,0.11,3.89,3.67,95.56,95.56,91.44,9.67,4.61,2.44,23.56,56.11
2024-04-23,4.5,22.1,15.6,85.7,85.7,90.9,7.88,3.95,2.6,23.9,74.6
2024-04-24,5.71,24.57,16.14,68.29,68.29,84.86,8.47,4.29,2.43,145.29,74.57
2024-04-25,3.75,17.17,11.5,55.42,55.42,67.0,8.08,4.2,2.58,252.0,86.75
2024-04-26,11.14,35.07,18.0,35.64,35.64,50.0,7.33,4.06,2.71,181.93,92.86
2024-04-27,1.91,11.26,8.7,71.52,71.52,69.43,6.88,3.68,2.91,214.52,80.43
2024-04-28,1.96,9.96,7.3,65.52,65.52,63.0,6.12,2.6,2.96,243.74,75.87
2024-04-29,3.6,20.4,14.8,34.0,34.0,59.0,7.48,3.65,3.0,192.2,92.0
2024-04-30,15.18,35.91,13.09,59.55,59.55,61.73,10.53,5.47,2.82,208.09,88.73
2024-05-01,1.09,7.3,5.83,80.74,80.74,82.78,7.01,3.15,2.74,221.39,87.3
2024-05-02,8.0,27.83,15.83,53.0,53.0,66.33,5.2,2.28,2.83,192.0,84.83
2024-05-03,7.17,30.92,20.42,38.42,38.42,52.83,8.57,3.79,2.67,205.92,78.25
2024-05-04,2.0,9.57,6.87,62.26,62.26,61.65,6.12,2.49,2.91,200.04,61.39
2024-05-05,2.09,11.04,8.17,60.04,60.04,54.43,4.6,2.08,2.87,211.7,81.87
2024-05-06,3.62,14.62,9.38,75.0,75.0,82.23,6.28,2.83,2.92,195.46,89.69
2024-05-07,3.42,15.5,10.42,75.42,75.42,80.25,10.98,5.36,2.83,198.0,85.42
2024-05-08,1.83,12.44,9.56,72.83,72.83,81.78,11.67,6.87,3.0,198.17,87.44
2024-05-09,3.54,24.0,18.69,34.92,34.92,51.69,14.67,10.27,3.15,211.15,89.08
2024-05-10,37.38,89.38,32.62,20.12,20.12,28.62,16.83,11.31,3.75,176.5,83.75
2024-05-11,4.32,22.68,16.53,73.05,73.05,62.89,14.9,8.75,3.74,177.84,82.79
2024-05-12,0.94,8.69,7.31,74.38,74.38,83.19,14.85,10.14,3.06,263.62,86.12
2024-05-13,9.17,27.33,13.67,51.5,51.5,58.0,14.59,8.25,3.17,194.42,95.5
2024-05-14,7.5,22.83,11.33,60.67,60.67,69.0,12.16,5.62,3.5,253.17,86.17
2024-05-15,5.19,22.69,15.19,45.38,45.38,47.38,7.87,3.55,3.19,229.25,82.69
2024-05-16,8.83,31.25,18.08,42.08,42.08,43.25,9.18,4.15,3.25,177.25,80.58
2024-05-17,4.58,21.67,14.83,44.25,44.25,53.75,8.38,3.88,3.0,225.83,89.17
2024-05-18,3.22,15.48,10.7,51.0,51.0,51.61,8.68,4.49,3.74,172.7,84.87
2024-05-19,1.3,9.57,7.74,58.83,58.83,54.04,8.64,4.66,3.04,252.22,93.09
2024-05-20,3.27,13.6,8.53,65.0,65.0,68.33,6.31,3.25,3.0,203.67,89.33
2024-05-21,8.8,31.0,17.8,50.1,50.1,50.5,9.26,5.18,3.6,219.0,83.9
2024-05-22,8.38,26.69,14.38,46.15,46.15,53.0,10.47,5.61,3.31,214.54,88.85
2024-05-23,5.6,19.2,11.2,43.0,43.0,52.6,8.23,4.05,3.6,208.2,90.0
2024-05-24,14.83,42.17,20.0,21.0,21.0,37.83,10.32,5.45,3.33,169.33,91.5
2024-05-25,4.7,18.09,11.09,61.78,61.78,55.39,12.28,6.74,4.0,190.74,79.48
2024-05-26,0.74,7.87,6.91,61.39,61.39,63.52,9.97,5.98,3.65,266.26,87.48
2024-05-27,1.83,5.83,3.5,64.0,64.0,62.67,8.38,4.55,3.67,293.33,81.33
2024-05-28,2.55,12.45,8.55,46.91,46.91,62.0,9.33,4.82,3.64,179.09,87.36
2024-05-29,0.88,6.62,5.5,33.88,33.88,56.12,10.53,5.95,3.75,207.75,93.25
2024-05-30,0.0,3.0,3.0,43.0,43.0,54.0,11.26,6.77,3.67,227.33,92.67
2024-05-31,2.73,12.13,8.07,68.93,68.93,74.73,9.85,4.74,3.67,275.07,75.33
2024-06-01,0.57,4.57,3.91,73.52,73.52,71.13,8.89,4.43,3.74,130.17,79.3
2024-06-02,0.3,4.35,3.91,65.52,65.52,68.17,9.24,5.22,3.87,116.26,85.39
2024-06-03,7.0,23.62,13.5,36.0,36.0,49.12,11.07,8.07,4.0,212.38,95.88
2024-06-04,5.0,18.0,10.5,41.33,41.33,58.33,10.71,7.84,3.67,235.83,91.0
2024-06-05,1.0,9.0,7.83,49.67,49.67,59.33,14.78,10.35,4.17,255.5,86.17
2024-06-06,3.93,15.43,9.71,42.21,42.21,49.21,13.88,8.82,4.0,193.57,86.29
2024-06-07,1.73,9.27,6.73,53.55,53.55,60.64,15.68,10.16,4.0,228.73,90.55
2024-06-08,1.0,6.67,5.33,57.33,57.33,62.22,19.62,13.28,3.78,215.67,93.44
2024-06-09,0.57,4.57,3.81,70.05,70.05,73.62,14.51,9.25,3.95,246.1,84.67
2024-06-10,0.73,3.55,2.45,67.18,67.18,64.0,11.46,5.39,4.0,204.73,75.55
2024-06-11,5.78,18.78,10.11,51.11,51.11,59.78,11.49,6.09,3.89,193.78,88.0
2024-06-12,0.0,0.67,0.67,50.33,50.33,51.67,6.56,3.31,3.0,219.33,87.67
2024-06-13,6.83,20.92,10.92,43.92,43.92,58.08,10.45,4.96,3.5,251.17,85.83
2024-06-14,5.64,21.18,12.91,49.55,49.55,54.91,9.98,5.29,4.0,192.36,86.82
2024-06-15,1.52,8.04,5.91,58.0,58.0,58.22,10.11,4.94,4.0,235.61,76.39
2024-06-16,1.87,10.43,7.91,45.52,45.52,48.09,12.59,6.24,4.0,117.96,69.91
2024-06-17,9.46,27.15,12.92,37.31,37.31,44.92,11.31,5.12,3.92,213.69,78.54
2024-06-18,3.0,8.6,4.2,55.0,55.0,59.6,11.78,5.48,4.0,231.8,90.4
2024-06-19,4.93,15.07,7.71,46.5,46.5,51.14,8.58,4.48,4.0,241.29,91.93
2024-06-20,3.06,12.94,8.31,61.0,61.0,54.81,6.57,3.58,4.0,182.5,87.62
2024-06-21,1.93,9.93,7.07,57.87,57.87,64.4,7.97,4.34,4.13,263.87,87.33
2024-06-22,2.48,12.13,8.65,41.35,41.35,42.61,11.6,6.42,4.13,203.52,87.48
2024-06-23,3.13,12.35,7.78,33.78,33.78,35.96,9.12,5.12,4.04,206.48,97.43
2024-06-24,8.0,21.29,9.18,38.41,38.41,29.35,8.51,5.52,4.06,272.53,90.12
2024-06-25,8.04,23.57,11.61,51.13,51.13,47.57,15.2,8.41,4.26,170.83,84.04
2024-06-26,3.33,13.72,8.67,55.67,55.67,60.44,14.09,8.77,4.28,266.94,88.44
2024-06-27,2.6,11.8,7.7,48.3,48.3,61.7,14.05,9.52,4.2,255.8,94.2
2024-06-28,3.87,14.07,8.27,38.07,38.07,44.4,13.02,8.1,4.07,226.0,96.13
2024-06-29,1.7,8.35,6.17,57.91,57.91,58.39,13.95,7.08,4.0,212.22,91.61
2024-06-30,0.78,6.09,5.17,52.26,52.26,50.74,10.67,4.45,4.0,140.74,83.48
2024-07-01,2.58,10.67,6.92,38.75,38.75,43.67,7.85,3.68,4.0,205.5,92.5
2024-07-02,3.0,12.64,8.57,48.21,48.21,50.79,7.45,4.05,4.0,204.21,86.64
2024-07-03,4.85,17.31,10.46,41.08,41.08,52.31,9.83,5.79,4.0,235.77,84.38
2024-07-04,1.3,9.9,8.5,26.3,26.3,47.5,9.01,5.22,3.9,190.9,92.6
2024-07-05,5.4,16.73,8.93,35.53,35.53,38.0,10.06,5.3,4.07,249.87,89.07
2024-07-06,2.04,10.7,7.78,40.3,40.3,41.57,11.08,6.06,4.0,184.78,88.43
2024-07-07,1.3,9.3,7.48,43.39,43.39,42.13,11.63,4.93,4.13,133.7,75.96
2024-07-08,3.27,14.73,10.0,35.36,35.36,51.36,12.09,5.86,4.09,229.27,90.64
2024-07-09,2.31,10.77,7.46,29.69,29.69,38.92,11.92,6.79,4.0,252.62,92.85
2024-07-10,3.29,13.21,8.57,35.43,35.43,38.71,11.83,7.39,4.21,225.86,90.71
2024-07-11,0.56,4.33,3.78,46.44,46.44,52.44,10.53,7.42,4.0,235.78,87.11
2024-07-12,1.57,10.0,7.71,50.57,50.57,56.71,7.76,4.39,4.0,213.71,82.86
2024-07-13,1.83,11.13,8.57,47.35,47.35,46.0,8.97,4.22,4.04,103.61,78.26
2024-07-14,1.57,9.39,7.35,45.09,45.09,46.04,10.23,6.01,4.22,242.7,87.39
2024-07-15,2.15,12.23,9.38,33.77,33.77,42.85,12.78,8.0,4.08,249.38,84.92
2024-07-16,4.45,18.09,11.45,30.55,30.55,41.18,11.39,5.77,4.09,155.0,85.27
2024-07-17,1.31,9.46,7.77,53.46,53.46,58.38,10.48,5.43,4.15,148.15,83.54
2024-07-18,6.64,17.45,7.27,39.73,39.73,47.91,12.9,7.57,4.09,190.64,91.27
2024-07-19,1.27,6.0,4.09,52.55,52.55,58.18,12.4,7.82,4.0,271.18,87.91
2024-07-20,0.91,5.83,4.7,55.7,55.7,55.57,9.16,5.57,4.0,229.35,89.7
2024-07-21,0.65,4.48,3.52,66.61,66.61,67.0,13.19,5.84,4.0,196.22,71.43
2024-07-22,1.88,10.76,8.06,47.12,47.12,57.82,12.1,5.45,4.0,117.94,79.24
2024-07-23,5.89,18.33,9.83,42.22,42.22,51.06,12.11,7.02,4.17,165.06,87.11
2024-07-24,1.88,8.0,5.31,30.62,30.62,29.62,11.1,7.21,4.0,58.12,88.69
2024-07-25,0.87,5.35,4.09,44.04,44.04,43.43,6.56,4.02,4.0,85.48,87.35
2024-07-26,1.12,7.56,6.25,48.62,48.62,50.38,8.25,5.17,3.81,215.06,86.69
2024-07-27,1.57,8.35,6.3,33.96,33.96,35.91,9.18,5.73,3.96,267.0,89.35
2024-07-28,3.09,14.78,10.39,35.0,35.0,35.22,10.13,5.59,4.0,125.22,86.96
2024-07-29,0.62,6.0,5.25,50.62,50.62,51.75,18.85,11.7,3.62,247.12,94.0
