Date;Hour  (GMT);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
31/12/2024;24:00;2;28;26;Muy bueno / Oso ona;9,92;Muy bueno / Oso ona;7,67;Muy bueno / Oso ona;4;Muy bueno / Oso ona;158;78;1021,4;0,3;5,3;2,63;Muy bueno / Oso ona
31/12/2024;23:00;2;30;27;Muy bueno / Oso ona;8,92;Muy bueno / Oso ona;6,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;154;81;1021,7;0,3;5,1;2,73;Muy bueno / Oso ona
31/12/2024;22:00;4;37;31;Muy bueno / Oso ona;8,88;Muy bueno / Oso ona;6,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;134;81;1021,9;0,3;5,5;1,66;Muy bueno / Oso ona
31/12/2024;21:00;5;38;30;Muy bueno / Oso ona;8,79;Muy bueno / Oso ona;6,79;Muy bueno / Oso ona;3;Muy bueno / Oso ona;151;80;1021,7;0,3;5,9;2,17;Muy bueno / Oso ona
31/12/2024;20:00;6;38;30;Muy bueno / Oso ona;8,83;Muy bueno / Oso ona;6,75;Muy bueno / Oso ona;3;Muy bueno / Oso ona;160;83;1021,4;0,3;6;2,71;Muy bueno / Oso ona
31/12/2024;19:00;7;43;32;Muy bueno / Oso ona;8,75;Muy bueno / Oso ona;6,67;Muy bueno / Oso ona;3;Muy bueno / Oso ona;143;84;1021,4;0,3;6,6;1,7;Muy bueno / Oso ona
31/12/2024;18:00;7;46;35;Muy bueno / Oso ona;8,54;Muy bueno / Oso ona;6,5;Muy bueno / Oso ona;3;Muy bueno / Oso ona;148;77;1020,9;0,5;8,3;1,34;Muy bueno / Oso ona
31/12/2024;17:00;6;42;34;Muy bueno / Oso ona;8,33;Muy bueno / Oso ona;6,42;Muy bueno / Oso ona;3;Muy bueno / Oso ona;144;64;1020,4;10,1;10,7;1,15;Muy bueno / Oso ona
31/12/2024;16:00;1;19;18;Muy bueno / Oso ona;8,29;Muy bueno / Oso ona;6,33;Muy bueno / Oso ona;3;Muy bueno / Oso ona;114;50;1020,4;23;13,7;0,76;Muy bueno / Oso ona
31/12/2024;15:00;4;30;23;Muy bueno / Oso ona;8,25;Muy bueno / Oso ona;6,29;Muy bueno / Oso ona;3;Muy bueno / Oso ona;260;51;1020,7;144,5;13,2;0,23;Muy bueno / Oso ona
31/12/2024;14:00;5;27;19;Muy bueno / Oso ona;8,17;Muy bueno / Oso ona;6,21;Muy bueno / Oso ona;3;Muy bueno / Oso ona;294;53;1021,1;454,5;12,7;0,37;Muy bueno / Oso ona
31/12/2024;13:00;3;20;15;Muy bueno / Oso ona;8,08;Muy bueno / Oso ona;6,17;Muy bueno / Oso ona;3;Muy bueno / Oso ona;153;56;1021,7;529,4;11,5;0,38;Muy bueno / Oso ona
31/12/2024;12:00;4;19;14;Muy bueno / Oso ona;8,04;Muy bueno / Oso ona;6,08;Muy bueno / Oso ona;3;Muy bueno / Oso ona;133;61;1022,3;508,4;9,3;1,54;Muy bueno / Oso ona
31/12/2024;11:00;8;31;19;Muy bueno / Oso ona;8,04;Muy bueno / Oso ona;6,04;Muy bueno / Oso ona;3;Muy bueno / Oso ona;123;68;1022,8;432,6;7,1;2;Muy bueno / Oso ona
31/12/2024;10:00;9;35;22;Muy bueno / Oso ona;7,92;Muy bueno / Oso ona;5,96;Muy bueno / Oso ona;3;Muy bueno / Oso ona;123;77;1022,9;60,1;4,6;2,12;Muy bueno / Oso ona
31/12/2024;09:00;14;46;25;Muy bueno / Oso ona;7,75;Muy bueno / Oso ona;5,83;Muy bueno / Oso ona;4;Muy bueno / Oso ona;98;86;1022,7;19,4;2,7;2,21;Muy bueno / Oso ona
31/12/2024;08:00;16;52;29;Muy bueno / Oso ona;7,67;Muy bueno / Oso ona;5,71;Muy bueno / Oso ona;3;Muy bueno / Oso ona;111;89;1022,6;3,5;2;1,84;Muy bueno / Oso ona
31/12/2024;07:00;15;51;28;Muy bueno / Oso ona;7,63;Muy bueno / Oso ona;5,67;Muy bueno / Oso ona;3;Muy bueno / Oso ona;101;90;1022,5;0,3;1,9;1,78;Muy bueno / Oso ona
31/12/2024;06:00;9;41;27;Muy bueno / Oso ona;7,58;Muy bueno / Oso ona;5,58;Muy bueno / Oso ona;4;Muy bueno / Oso ona;104;91;1022,4;0,3;2,1;1,49;Muy bueno / Oso ona
31/12/2024;05:00;5;33;26;Muy bueno / Oso ona;7,54;Muy bueno / Oso ona;5,54;Muy bueno / Oso ona;3;Muy bueno / Oso ona;101;90;1022,3;0,3;2,3;1,4;Muy bueno / Oso ona
31/12/2024;04:00;2;28;25;Muy bueno / Oso ona;7,54;Muy bueno / Oso ona;5,58;Muy bueno / Oso ona;3;Muy bueno / Oso ona;102;89;1022,3;0,3;2,7;1,35;Muy bueno / Oso ona
31/12/2024;03:00;1;26;24;Muy bueno / Oso ona;7,63;Muy bueno / Oso ona;5,67;Muy bueno / Oso ona;3;Muy bueno / Oso ona;96;88;1022,2;0,3;3;1,26;Muy bueno / Oso ona
31/12/2024;02:00;4;31;26;Muy bueno / Oso ona;7,75;Muy bueno / Oso ona;5,79;Muy bueno / Oso ona;3;Muy bueno / Oso ona;115;88;1022;0,3;3,3;1,3;Muy bueno / Oso ona
31/12/2024;01:00;5;35;26;Muy bueno / Oso ona;7,88;Muy bueno / Oso ona;5,88;Muy bueno / Oso ona;3;Muy bueno / Oso ona;108;87;1022,1;0,3;3,6;1,3;Muy bueno / Oso ona
30/12/2024;24:00;10;47;32;Muy bueno / Oso ona;7,92;Muy bueno / Oso ona;5,92;Muy bueno / Oso ona;3;Muy bueno / Oso ona;118;89;1022,1;0,3;3,9;1,42;Muy bueno / Oso ona
30/12/2024;23:00;12;50;33;Muy bueno / Oso ona;8;Muy bueno / Oso ona;5,96;Muy bueno / Oso ona;3;Muy bueno / Oso ona;126;87;1022;0,3;4,3;1,45;Muy bueno / Oso ona
30/12/2024;22:00;17;60;35;Muy bueno / Oso ona;8,08;Muy bueno / Oso ona;6,04;Muy bueno / Oso ona;3;Muy bueno / Oso ona;124;86;1021,6;0,3;4,8;1,55;Muy bueno / Oso ona
30/12/2024;21:00;22;68;36;Muy bueno / Oso ona;8,25;Muy bueno / Oso ona;6,17;Muy bueno / Oso ona;3;Muy bueno / Oso ona;143;86;1021,3;0,3;5,2;1,82;Muy bueno / Oso ona
30/12/2024;20:00;13;53;33;Muy bueno / Oso ona;8,29;Muy bueno / Oso ona;6,25;Muy bueno / Oso ona;3;Muy bueno / Oso ona;149;84;1021;0,3;5,9;1,92;Muy bueno / Oso ona
30/12/2024;19:00;10;49;33;Muy bueno / Oso ona;8,42;Muy bueno / Oso ona;6,38;Muy bueno / Oso ona;3;Muy bueno / Oso ona;155;82;1020,5;0,3;6,8;2,2;Muy bueno / Oso ona
30/12/2024;18:00;3;35;30;Muy bueno / Oso ona;8,63;Muy bueno / Oso ona;6,5;Muy bueno / Oso ona;3;Muy bueno / Oso ona;145;74;1020,2;0,5;8,7;1,88;Muy bueno / Oso ona
30/12/2024;17:00;2;31;28;Muy bueno / Oso ona;8,96;Muy bueno / Oso ona;6,71;Muy bueno / Oso ona;3;Muy bueno / Oso ona;113;62;1019,8;9,5;10,6;1,19;Muy bueno / Oso ona
30/12/2024;16:00;2;23;20;Muy bueno / Oso ona;9,17;Muy bueno / Oso ona;6,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;125;53;1019,5;21,6;13,1;1,18;Muy bueno / Oso ona
30/12/2024;15:00;2;18;15;Muy bueno / Oso ona;9,33;Muy bueno / Oso ona;6,96;Muy bueno / Oso ona;3;Muy bueno / Oso ona;99;54;1019,4;132,5;13;0,79;Muy bueno / Oso ona
30/12/2024;14:00;4;20;14;Muy bueno / Oso ona;9,5;Muy bueno / Oso ona;7,08;Muy bueno / Oso ona;3;Muy bueno / Oso ona;134;57;1020;451,4;12,1;1,34;Muy bueno / Oso ona
30/12/2024;13:00;4;20;14;Muy bueno / Oso ona;9,63;Muy bueno / Oso ona;7,17;Muy bueno / Oso ona;3;Muy bueno / Oso ona;118;58;1020,6;530,9;11,4;1,41;Muy bueno / Oso ona
30/12/2024;12:00;5;25;18;Muy bueno / Oso ona;9,75;Muy bueno / Oso ona;7,33;Muy bueno / Oso ona;3;Muy bueno / Oso ona;141;61;1021,4;513,2;10,1;1,88;Muy bueno / Oso ona
30/12/2024;11:00;8;33;21;Muy bueno / Oso ona;9,92;Muy bueno / Oso ona;7,5;Muy bueno / Oso ona;3;Muy bueno / Oso ona;110;67;1022;437,5;8,6;1,55;Muy bueno / Oso ona
30/12/2024;10:00;6;31;22;Muy bueno / Oso ona;10,17;Muy bueno / Oso ona;7,67;Muy bueno / Oso ona;3;Muy bueno / Oso ona;121;73;1021,8;54,5;6,8;2,25;Muy bueno / Oso ona
30/12/2024;09:00;12;47;29;Muy bueno / Oso ona;10,42;Muy bueno / Oso ona;7,88;Muy bueno / Oso ona;3;Muy bueno / Oso ona;121;81;1021,4;17,8;5,3;1,86;Muy bueno / Oso ona
