Date;Hour  (GMT);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;O3 (µg/m3);OZONO;O3 - ICA;O3 8h (µg/m3);PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;ICA Estación
31/12/2024;24:00;1;20;18;Muy bueno / Oso ona;19;19;Muy bueno / Oso ona;10;8,83;Muy bueno / Oso ona;7,08;Muy bueno / Oso ona;6;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;23:00;1;20;18;Muy bueno / Oso ona;16;16;Muy bueno / Oso ona;11;7,88;Muy bueno / Oso ona;6,29;Muy bueno / Oso ona;6;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;22:00;1;21;19;Muy bueno / Oso ona;16;16;Muy bueno / Oso ona;14;7,71;Muy bueno / Oso ona;6,13;Muy bueno / Oso ona;6;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;21:00;4;33;26;Muy bueno / Oso ona;8;8;Muy bueno / Oso ona;16;7,71;Muy bueno / Oso ona;6,04;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;20:00;6;37;28;Muy bueno / Oso ona;5;5;Muy bueno / Oso ona;19;7,58;Muy bueno / Oso ona;5,92;Muy bueno / Oso ona;6;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;19:00;12;48;30;Muy bueno / Oso ona;4;4;Muy bueno / Oso ona;22;7,5;Muy bueno / Oso ona;5,83;Muy bueno / Oso ona;6;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;18:00;12;53;34;Muy bueno / Oso ona;3;3;Muy bueno / Oso ona;25;7,33;Muy bueno / Oso ona;5,71;Muy bueno / Oso ona;6;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;17:00;12;55;37;Muy bueno / Oso ona;7;7;Muy bueno / Oso ona;27;7,21;Muy bueno / Oso ona;5,58;Muy bueno / Oso ona;7;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;16:00;3;24;20;Muy bueno / Oso ona;31;31;Muy bueno / Oso ona;28;7;Muy bueno / Oso ona;5,46;Muy bueno / Oso ona;6;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;15:00;6;31;23;Muy bueno / Oso ona;34;34;Muy bueno / Oso ona;26;6,96;Muy bueno / Oso ona;5,42;Muy bueno / Oso ona;7;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;14:00;6;26;18;Muy bueno / Oso ona;35;35;Muy bueno / Oso ona;22;6,83;Muy bueno / Oso ona;5,33;Muy bueno / Oso ona;7;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;13:00;3;17;12;Muy bueno / Oso ona;34;34;Muy bueno / Oso ona;19;6,79;Muy bueno / Oso ona;5,25;Muy bueno / Oso ona;6;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;12:00;5;21;13;Muy bueno / Oso ona;30;30;Muy bueno / Oso ona;16;6,79;Muy bueno / Oso ona;5,21;Muy bueno / Oso ona;6;Muy bueno / Oso ona;Muy bueno / Oso ona
