Date;Hour  (GMT);CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;O3 (µg/m3);OZONO;O3 - ICA;O3 8h (µg/m3);PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;ICA Estación
31/12/2024;24:00;0,3;0,38;27;75;34;Muy bueno / Oso ona;9;9;Muy bueno / Oso ona;9;16,75;Muy bueno / Oso ona;11,96;Bueno / Ona;6;Muy bueno / Oso ona;Bueno / Ona
31/12/2024;23:00;0,3;0,38;17;61;35;Muy bueno / Oso ona;9;9;Muy bueno / Oso ona;10;13,21;Muy bueno / Oso ona;11,92;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
31/12/2024;22:00;0,36;0,39;34;93;41;Bueno / Ona;10;10;Muy bueno / Oso ona;11;13,08;Muy bueno / Oso ona;11,71;Bueno / Ona;3;Muy bueno / Oso ona;Bueno / Ona
31/12/2024;21:00;0,41;0,37;55;130;46;Bueno / Ona;8;8;Muy bueno / Oso ona;11;12,71;Muy bueno / Oso ona;11,29;Bueno / Ona;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2024;20:00;0,43;0,35;78;168;50;Bueno / Ona;9;9;Muy bueno / Oso ona;11;12,17;Muy bueno / Oso ona;;Sin datos / Daturik gabe;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2024;19:00;0,46;0,34;82;178;54;Bueno / Ona;9;9;Muy bueno / Oso ona;12;11,71;Muy bueno / Oso ona;;Sin datos / Daturik gabe;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2024;18:00;0,43;0,31;73;163;51;Bueno / Ona;9;9;Muy bueno / Oso ona;14;11,42;Muy bueno / Oso ona;10;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2024;17:00;0,34;0,28;41;109;46;Bueno / Ona;11;11;Muy bueno / Oso ona;14;11,21;Muy bueno / Oso ona;9,79;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2024;16:00;0,37;0,27;53;136;55;Bueno / Ona;12;12;Muy bueno / Oso ona;14;11,17;Muy bueno / Oso ona;9,63;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Bueno / Ona
31/12/2024;15:00;0,3;0,26;40;114;53;Bueno / Ona;17;17;Muy bueno / Oso ona;13;10,96;Muy bueno / Oso ona;9,42;Muy bueno / Oso ona;6;Muy bueno / Oso ona;Bueno / Ona
31/12/2024;14:00;0,22;0,24;26;80;40;Muy bueno / Oso ona;;;Sin datos / Daturik gabe;12;10,83;Muy bueno / Oso ona;9,21;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;13:00;0,26;0,23;42;101;37;Muy bueno / Oso ona;19;19;Muy bueno / Oso ona;11;10,79;Muy bueno / Oso ona;9,08;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;12:00;0,31;0,22;41;97;34;Muy bueno / Oso ona;16;16;Muy bueno / Oso ona;11;10,75;Muy bueno / Oso ona;9;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;11:00;0,21;0,2;32;78;30;Muy bueno / Oso ona;16;16;Muy bueno / Oso ona;10;10,71;Muy bueno / Oso ona;8,92;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;10:00;0,23;0,2;42;97;33;Muy bueno / Oso ona;12;12;Muy bueno / Oso ona;9;10,75;Muy bueno / Oso ona;8,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;09:00;0,25;0,19;52;113;33;Muy bueno / Oso ona;10;10;Muy bueno / Oso ona;9;10,83;Muy bueno / Oso ona;8,75;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;08:00;0,25;0,18;43;95;29;Muy bueno / Oso ona;8;8;Muy bueno / Oso ona;9;10,88;Muy bueno / Oso ona;8,71;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;07:00;0,19;0,18;33;79;29;Muy bueno / Oso ona;8;8;Muy bueno / Oso ona;9;10,79;Muy bueno / Oso ona;8,67;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;06:00;0,17;0,19;21;59;26;Muy bueno / Oso ona;8;8;Muy bueno / Oso ona;9;10,75;Muy bueno / Oso ona;8,63;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;05:00;0,16;0,21;9;37;23;Muy bueno / Oso ona;9;9;Muy bueno / Oso ona;9;10,75;Muy bueno / Oso ona;8,58;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;04:00;0,16;0,25;5;29;21;Muy bueno / Oso ona;10;10;Muy bueno / Oso ona;9;10,79;Muy bueno / Oso ona;8,58;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;03:00;0,17;0,28;5;31;22;Muy bueno / Oso ona;10;10;Muy bueno / Oso ona;9;10,83;Muy bueno / Oso ona;8,63;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;02:00;0,17;0,3;6;33;23;Muy bueno / Oso ona;10;10;Muy bueno / Oso ona;9;10,88;Muy bueno / Oso ona;8,67;Muy bueno / Oso ona;2;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;01:00;0,2;0,32;13;46;26;Muy bueno / Oso ona;10;10;Muy bueno / Oso ona;9;10,96;Muy bueno / Oso ona;8,75;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
30/12/2024;24:00;0,23;0,33;24;65;29;Muy bueno / Oso ona;8;8;Muy bueno / Oso ona;9;11,04;Muy bueno / Oso ona;8,83;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
30/12/2024;23:00;0,28;0,32;36;87;33;Muy bueno / Oso ona;9;9;Muy bueno / Oso ona;10;11,08;Muy bueno / Oso ona;8,88;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
30/12/2024;22:00;0,3;0,31;49;111;36;Muy bueno / Oso ona;8;8;Muy bueno / Oso ona;10;11,13;Muy bueno / Oso ona;8,92;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
30/12/2024;21:00;0,49;0,3;65;139;39;Muy bueno / Oso ona;9;9;Muy bueno / Oso ona;10;11,13;Muy bueno / Oso ona;9;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Muy bueno / Oso ona
30/12/2024;20:00;0,38;0,26;79;168;47;Bueno / Ona;9;9;Muy bueno / Oso ona;13;11,17;Muy bueno / Oso ona;9,04;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Bueno / Ona
30/12/2024;19:00;0,33;0,24;90;185;48;Bueno / Ona;9;9;Muy bueno / Oso ona;15;11,25;Muy bueno / Oso ona;9,21;Muy bueno / Oso ona;3;Muy bueno / Oso ona;Bueno / Ona
