Date;Hour  (GMT);Benceno (µg/m3);CO (mg/m3);NOX (µg/m3);NO2;NO2 - ICA;O3 (µg/m3);OZONO;O3 - ICA;PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;ICA Estación
31/12/2024;24:00;0,48;0,24;32;26;Muy bueno / Oso ona;31;31;Muy bueno / Oso ona;10,96;Muy bueno / Oso ona;8,58;Muy bueno / Oso ona;6;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;23:00;0,43;0,24;27;26;Muy bueno / Oso ona;32;32;Muy bueno / Oso ona;9,25;Muy bueno / Oso ona;7,17;Muy bueno / Oso ona;4;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;22:00;0,44;0,3;46;36;Muy bueno / Oso ona;19;19;Muy bueno / Oso ona;9,17;Muy bueno / Oso ona;7,04;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;21:00;0,42;0,28;42;33;Muy bueno / Oso ona;23;23;Muy bueno / Oso ona;9;Muy bueno / Oso ona;6,83;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;20:00;0,42;0,32;64;37;Muy bueno / Oso ona;18;18;Muy bueno / Oso ona;8,96;Muy bueno / Oso ona;6,75;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;19:00;0,54;0,31;77;34;Muy bueno / Oso ona;16;16;Muy bueno / Oso ona;8,75;Muy bueno / Oso ona;6,46;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;18:00;0,5;0,23;57;35;Muy bueno / Oso ona;16;16;Muy bueno / Oso ona;8,67;Muy bueno / Oso ona;6,33;Muy bueno / Oso ona;5;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;17:00;0,78;0,24;60;40;Muy bueno / Oso ona;20;20;Muy bueno / Oso ona;8,79;Muy bueno / Oso ona;6,29;Muy bueno / Oso ona;9;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;16:00;0,49;0,21;41;31;Muy bueno / Oso ona;37;37;Muy bueno / Oso ona;9,5;Muy bueno / Oso ona;6,38;Muy bueno / Oso ona;14;Muy bueno / Oso ona;Muy bueno / Oso ona
31/12/2024;15:00;0,47;0,21;42;28;Muy bueno / Oso ona;41;41;Muy bueno / Oso ona;9,33;Muy bueno / Oso ona;6,25;Muy bueno / Oso ona;11;Muy bueno / Oso ona;Muy bueno / Oso ona
