Date;Hour  (GMT);CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;D.vien (grados);H (%);Tº (ºC);V.vien (m/s);ICA Estación
04/11/2025;24:00
04/11/2025;23:00
04/11/2025;22:00
04/11/2025;21:00
04/11/2025;20:00
04/11/2025;19:00
04/11/2025;18:00
04/11/2025;17:00
04/11/2025;16:00
04/11/2025;15:00
04/11/2025;14:00
04/11/2025;13:00
04/11/2025;12:00
04/11/2025;11:00
04/11/2025;10:00
04/11/2025;09:00
04/11/2025;08:00
04/11/2025;07:00
04/11/2025;06:00;0,11;0,09;2;17;14;Muy bueno / Oso ona;22,04;Bueno / Ona;7,67;Muy bueno / Oso ona;6;Muy bueno / Oso ona;121;41;19,1;2,56;Bueno / Ona
04/11/2025;05:00;0,11;0,09;3;18;14;Muy bueno / Oso ona;22,33;Bueno / Ona;7,88;Muy bueno / Oso ona;8;Muy bueno / Oso ona;116;42;18,7;1,85;Bueno / Ona
04/11/2025;04:00;0,11;0,13;2;13;10;Muy bueno / Oso ona;22,58;Bueno / Ona;7,83;Muy bueno / Oso ona;6;Muy bueno / Oso ona;115;42;18,8;1,71;Bueno / Ona
04/11/2025;03:00;0,07;0,19;2;13;10;Muy bueno / Oso ona;22,63;Bueno / Ona;8,13;Muy bueno / Oso ona;7;Muy bueno / Oso ona;103;40;19,4;1,79;Bueno / Ona
04/11/2025;02:00;0,07;0,24;3;15;12;Muy bueno / Oso ona;22,83;Bueno / Ona;8,08;Muy bueno / Oso ona;8;Muy bueno / Oso ona;77;43;18,7;1,77;Bueno / Ona
04/11/2025;01:00;0,07;0,27;3;16;12;Muy bueno / Oso ona;23,04;Bueno / Ona;8,38;Muy bueno / Oso ona;6;Muy bueno / Oso ona;81;43;19;1,64;Bueno / Ona
03/11/2025;24:00;0,09;0,28;4;19;13;Muy bueno / Oso ona;23,25;Bueno / Ona;8,54;Muy bueno / Oso ona;8;Muy bueno / Oso ona;88;45;18,8;1,31;Bueno / Ona
03/11/2025;23:00;0,12;0,3;5;30;22;Muy bueno / Oso ona;23,54;Bueno / Ona;8,83;Muy bueno / Oso ona;10;Muy bueno / Oso ona;91;46;18,8;1,65;Bueno / Ona
03/11/2025;22:00;0,2;0,3;8;51;39;Muy bueno / Oso ona;23,71;Bueno / Ona;8,96;Muy bueno / Oso ona;10;Muy bueno / Oso ona;91;49;18,3;1,25;Bueno / Ona
03/11/2025;21:00;0,37;0,3;14;77;56;Bueno / Ona;24,04;Bueno / Ona;8,96;Muy bueno / Oso ona;13;Muy bueno / Oso ona;78;55;17,5;0,91;Bueno / Ona
03/11/2025;20:00;0,73;0,28;34;115;64;Bueno / Ona;23,88;Bueno / Ona;8,71;Muy bueno / Oso ona;14;Muy bueno / Oso ona;;;;;Bueno / Ona
03/11/2025;19:00;0,37;0,23;40;127;66;Bueno / Ona;23,25;Bueno / Ona;8,21;Muy bueno / Oso ona;;Sin datos / Daturik gabe;131;64;16,8;0,73;Bueno / Ona
03/11/2025;18:00;0,23;0,18;30;116;71;Bueno / Ona;22,71;Bueno / Ona;7,83;Muy bueno / Oso ona;14;Muy bueno / Oso ona;114;56;17,9;0,84;Bueno / Ona
03/11/2025;17:00;0,21;0,17;9;60;47;Bueno / Ona;22,29;Bueno / Ona;7,5;Muy bueno / Oso ona;12;Muy bueno / Oso ona;;;;;Bueno / Ona
03/11/2025;16:00;0,19;0,17;10;56;41;Bueno / Ona;21,67;Bueno / Ona;6,96;Muy bueno / Oso ona;17;Muy bueno / Oso ona;;;;;Bueno / Ona
