Date;Hour  (GMT);Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NOX (µg/m3);NO2;NO2 - ICA;Ortoxileno (µg/m3);PM10;PM10 - ICA;PM2,5;PM2,5 - ICA;SO2;SO2 - ICA;Tolueno (µg/m3);ICA Estación
04/11/2025;24:00
04/11/2025;23:00
04/11/2025;22:00
04/11/2025;21:00
04/11/2025;20:00
04/11/2025;19:00
04/11/2025;18:00
04/11/2025;17:00
04/11/2025;16:00
04/11/2025;15:00
04/11/2025;14:00
04/11/2025;13:00
04/11/2025;12:00
04/11/2025;11:00
04/11/2025;10:00
04/11/2025;09:00
04/11/2025;08:00
04/11/2025;07:00
04/11/2025;06:00;0;0,15;0,15;0;1;9;9;Muy bueno / Oso ona;0;12,5;Muy bueno / Oso ona;4,92;Muy bueno / Oso ona;5;Muy bueno / Oso ona;0,1;Muy bueno / Oso ona
04/11/2025;05:00;0,03;0,14;0,15;0;1;8;7;Muy bueno / Oso ona;0;12,75;Muy bueno / Oso ona;5,04;Muy bueno / Oso ona;6;Muy bueno / Oso ona;0,15;Muy bueno / Oso ona
04/11/2025;04:00;0;0,14;0,16;0;1;7;6;Muy bueno / Oso ona;0,02;13,08;Muy bueno / Oso ona;5,21;Muy bueno / Oso ona;;Sin datos / Daturik gabe;0,13;Muy bueno / Oso ona
04/11/2025;03:00;0;0,14;0,18;0;0;6;6;Muy bueno / Oso ona;0;13,38;Muy bueno / Oso ona;5,42;Muy bueno / Oso ona;6;Muy bueno / Oso ona;0,21;Muy bueno / Oso ona
04/11/2025;02:00;0,03;0,16;0,21;0;1;9;8;Muy bueno / Oso ona;0;13,63;Muy bueno / Oso ona;5,58;Muy bueno / Oso ona;6;Muy bueno / Oso ona;0,37;Muy bueno / Oso ona
04/11/2025;01:00;0,02;0,15;0,24;0;0;7;7;Muy bueno / Oso ona;0,01;13,96;Muy bueno / Oso ona;5,79;Muy bueno / Oso ona;5;Muy bueno / Oso ona;0,27;Muy bueno / Oso ona
03/11/2025;24:00;;0,15;0,26;;0;9;9;Muy bueno / Oso ona;;14,21;Muy bueno / Oso ona;6;Muy bueno / Oso ona;6;Muy bueno / Oso ona;;Muy bueno / Oso ona
03/11/2025;23:00;0,11;0,17;0,26;0;1;12;11;Muy bueno / Oso ona;0,1;14,67;Muy bueno / Oso ona;6,38;Muy bueno / Oso ona;6;Muy bueno / Oso ona;0,72;Muy bueno / Oso ona
03/11/2025;22:00;0,14;0,21;0,26;0;1;18;17;Muy bueno / Oso ona;0,23;14,79;Muy bueno / Oso ona;6,54;Muy bueno / Oso ona;6;Muy bueno / Oso ona;1,02;Muy bueno / Oso ona
03/11/2025;21:00;0,45;0,24;0,26;0,06;2;26;23;Muy bueno / Oso ona;0,62;14,79;Muy bueno / Oso ona;6,58;Muy bueno / Oso ona;7;Muy bueno / Oso ona;2,39;Muy bueno / Oso ona
03/11/2025;20:00;0,43;0,35;0,26;0,03;4;49;45;Bueno / Ona;0,58;14,83;Muy bueno / Oso ona;6,58;Muy bueno / Oso ona;10;Muy bueno / Oso ona;2,24;Bueno / Ona
03/11/2025;19:00;0,63;0,34;0,25;0,31;9;65;53;Bueno / Ona;1,71;14,71;Muy bueno / Oso ona;6,5;Muy bueno / Oso ona;10;Muy bueno / Oso ona;5,09;Bueno / Ona
03/11/2025;18:00;0,53;0,38;0,24;0,21;27;111;72;Bueno / Ona;1,13;14,38;Muy bueno / Oso ona;6,42;Muy bueno / Oso ona;8;Muy bueno / Oso ona;3,71;Bueno / Ona
