Date,NO (µg/m3),NOX (µg/m3),NO2,PM10,"PM2,5",SO2,D.vien (grados),H (%)
2024-01-01,1.96,17.54,14.79,12.22,8.23,4.96,117.46,59.62
2024-01-02,1.04,9.54,7.75,6.62,3.64,2.58,166.04,52.54
2024-01-03,16.79,63.0,37.75,11.13,5.08,2.38,158.0,73.71
2024-01-04,2.29,23.62,20.17,15.34,7.77,2.96,184.88,63.29
2024-01-05,3.88,31.08,25.5,8.51,4.14,1.62,161.96,77.58
2024-01-06,1.29,15.83,14.17,5.48,2.66,1.5,217.54,85.54
2024-01-07,1.38,20.38,18.46,5.62,3.08,1.12,147.62,88.42
2024-01-08,12.54,52.38,33.46,9.07,5.81,1.5,117.67,86.96
2024-01-09,13.67,50.06,29.44,24.58,16.44,3.17,108.06,82.28
2024-01-10,15.0,55.62,32.85,25.92,18.42,2.0,185.15,82.38
2024-01-11,9.33,50.53,36.47,16.73,11.16,2.33,136.47,83.87
2024-01-12,14.14,50.93,29.71,19.01,13.07,3.5,94.57,83.71
2024-01-13,1.77,24.68,22.45,16.23,9.76,2.91,124.59,54.91
2024-01-14,3.75,29.58,24.12,13.83,6.26,2.12,129.08,70.79
2024-01-15,31.83,85.71,37.46,11.46,6.03,2.08,118.96,86.33
2024-01-16,15.29,57.06,34.35,17.75,9.89,2.29,127.06,85.18
2024-01-17,1.05,7.64,5.73,11.74,5.52,2.05,197.0,48.14
2024-01-18,1.46,11.38,9.29,7.65,2.75,1.88,214.25,65.42
2024-01-19,2.62,18.42,14.42,10.78,4.9,1.67,76.17,60.75
2024-01-20,4.0,27.38,21.5,9.88,5.9,2.96,98.62,55.79
2024-01-21,1.33,15.04,13.33,7.07,4.59,3.38,114.96,44.04
2024-01-22,2.21,19.33,16.29,6.36,3.08,3.25,201.96,62.17
2024-01-23,11.75,43.58,25.79,12.09,6.2,4.33,128.83,72.29
2024-01-24,24.68,67.45,29.91,21.39,10.55,6.14,147.5,74.55
2024-01-25,39.46,97.42,37.21,28.98,14.51,5.96,176.46,73.33
2024-01-26,47.05,109.57,37.81,34.22,19.99,4.62,148.76,81.67
2024-01-27,18.25,51.1,23.25,35.41,24.2,3.4,119.9,70.45
2024-01-28,6.12,24.0,14.62,23.46,13.95,3.12,100.0,52.0
2024-01-29,2.75,16.75,12.75,21.0,11.65,4.62,118.62,56.5
2024-01-30,4.83,30.08,22.92,23.9,13.32,4.5,129.33,63.5
2024-01-31,16.0,59.0,34.42,27.85,16.22,5.08,144.71,63.83
2024-02-01,24.52,71.76,34.52,51.31,26.26,7.33,211.14,78.48
2024-02-02,5.65,43.55,35.25,39.95,20.76,2.5,172.05,85.75
2024-02-03,3.29,25.21,20.14,18.42,11.12,3.0,170.64,75.79
2024-02-04,3.05,22.1,17.48,24.33,18.24,3.76,156.43,79.81
2024-02-05,17.78,56.11,29.06,30.16,23.25,7.39,188.39,79.44
2024-02-06,12.29,51.38,32.9,39.11,27.23,6.43,153.19,72.76
2024-02-07,5.47,27.06,18.88,38.7,23.29,3.24,134.65,63.71
2024-02-08,2.05,11.48,8.43,38.93,15.08,3.0,175.86,42.38
2024-02-09,3.35,21.61,16.7,12.9,4.06,3.52,159.78,65.57
2024-02-10,2.25,10.96,7.62,7.27,3.56,5.42,294.12,68.0
2024-02-11,2.12,11.79,8.75,8.32,4.33,2.17,186.67,48.62
2024-02-12,2.96,22.79,18.38,6.08,2.87,2.38,190.79,72.0
2024-02-13,10.04,44.67,29.42,13.93,7.3,3.38,149.79,69.5
2024-02-14,8.0,37.0,24.83,12.31,5.9,3.3,125.39,64.7
2024-02-15,3.5,20.62,15.46,14.77,5.96,3.54,164.12,61.17
2024-02-16,5.29,34.12,26.38,16.12,7.12,2.83,177.88,85.58
