Date,NO (µg/m3),NOX (µg/m3),NO2,O3 (µg/m3),OZONO,O3 8h (µg/m3),PM10,"PM2,5",SO2
2024-01-01,1.96,16.48,13.39,38.57,38.57,32.74,11.6,7.84,8.09
2024-01-02,1.05,9.0,6.9,66.19,66.19,67.76,5.33,3.33,5.29
2024-01-03,10.13,49.96,34.3,28.65,28.65,35.87,9.41,5.23,5.78
2024-01-04,1.33,18.62,16.25,51.96,51.96,45.21,14.42,7.99,5.58
2024-01-05,1.83,22.5,19.33,54.58,54.58,55.17,5.95,3.22,3.58
2024-01-06,1.5,16.38,13.67,59.0,59.0,57.04,4.63,2.46,3.79
2024-01-07,1.5,19.67,17.21,55.62,55.62,60.54,5.6,3.09,3.42
2024-01-08,10.65,47.09,30.7,20.74,20.74,26.35,7.47,5.12,3.65
2024-01-09,14.37,50.0,28.05,7.26,7.26,7.74,18.83,14.12,4.79
2024-01-10,22.83,63.78,28.89,13.22,13.22,9.56,27.25,20.53,4.17
2024-01-11,9.67,44.83,30.08,14.92,14.92,18.75,15.72,11.47,3.67
2024-01-12,14.5,49.27,27.23,14.18,14.18,13.68,17.78,13.19,6.77
2024-01-13,2.1,20.81,17.43,41.05,41.05,35.38,13.87,9.08,6.29
2024-01-14,3.46,25.0,20.0,27.25,27.25,32.08,11.96,5.55,5.79
2024-01-15,23.43,68.48,32.65,9.83,9.83,9.43,8.37,4.74,5.78
2024-01-16,9.54,34.08,19.31,27.54,27.54,23.69,14.15,8.4,5.31
2024-01-17,1.21,6.92,4.75,78.92,78.92,74.62,9.95,5.19,4.0
2024-01-18,1.0,9.57,7.52,69.74,69.74,73.57,4.14,2.2,3.7
2024-01-19,1.43,15.0,12.3,59.26,59.26,60.7,7.1,4.15,3.35
2024-01-20,3.26,21.65,16.52,44.91,44.91,41.61,8.42,5.37,5.87
2024-01-21,1.26,12.13,9.74,61.3,61.3,60.96,5.66,3.71,5.39
2024-01-22,1.74,16.04,13.17,53.87,53.87,53.78,4.95,2.99,4.43
2024-01-23,10.52,42.3,26.26,22.39,22.39,30.78,10.31,6.33,5.87
2024-01-24,16.57,51.07,25.86,10.36,10.36,6.0,16.28,8.79,9.64
2024-01-25,24.57,73.96,36.35,16.61,16.61,16.04,23.11,12.98,9.0
2024-01-26,36.32,90.74,35.32,4.74,4.74,4.37,30.76,19.33,12.21
2024-01-27,11.32,38.37,21.26,26.95,26.95,20.0,32.03,22.99,4.79
2024-01-28,1.33,10.28,8.06,61.78,61.78,58.78,16.66,10.15,3.06
2024-01-29,1.62,12.54,10.08,59.15,59.15,60.62,14.0,9.5,3.69
2024-01-30,3.33,31.25,26.0,32.92,32.92,40.08,21.52,13.06,7.25
2024-01-31,14.0,55.35,33.96,23.22,23.22,27.91,25.01,15.57,9.48
2024-02-01,18.68,58.74,29.95,23.53,23.53,17.16,46.18,26.47,10.84
2024-02-02,3.06,35.12,30.35,30.76,30.76,31.06,35.15,19.98,4.94
2024-02-03,2.15,21.31,17.77,38.23,38.23,35.23,16.28,10.93,6.31
2024-02-04,2.63,22.42,18.21,27.79,27.79,30.0,22.95,18.83,7.0
2024-02-05,12.09,42.52,24.0,25.48,25.48,21.65,29.44,23.49,9.91
2024-02-06,12.85,54.0,34.55,19.0,19.0,23.8,37.54,28.02,8.2
2024-02-07,13.4,43.67,23.07,29.8,29.8,25.6,34.54,22.72,8.4
2024-02-08,1.0,7.42,5.42,72.74,72.74,70.37,33.68,14.32,4.95
2024-02-09,2.52,17.48,13.65,52.09,52.09,57.17,9.79,3.53,5.74
2024-02-10,1.26,9.57,7.43,79.7,79.7,74.04,6.33,3.46,8.87
2024-02-11,1.74,10.3,7.48,71.57,71.57,73.39,7.87,4.47,4.83
2024-02-12,2.04,20.0,16.74,59.7,59.7,66.7,4.96,2.5,5.22
2024-02-13,9.32,43.18,29.0,25.55,25.55,28.09,12.37,7.42,6.27
2024-02-14,7.91,35.7,23.65,29.43,29.43,24.35,11.34,6.42,5.96
2024-02-15,1.87,15.96,13.0,57.74,57.74,52.7,12.05,5.22,5.13
2024-02-16,3.78,30.0,24.39,50.35,50.35,58.78,13.59,6.5,4.65
2024-02-17,8.22,39.67,27.17,22.56,22.56,32.5,15.76,9.37,6.83
2024-02-18,4.7,31.65,24.65,33.35,33.35,30.57,10.55,6.72,11.09
2024-02-19,1.35,15.26,12.91,61.83,61.83,57.39,8.49,5.93,5.3
2024-02-20,16.25,57.31,32.38,15.56,15.56,32.94,15.0,8.58,7.25
2024-02-21,10.6,47.4,31.1,22.7,22.7,14.1,20.82,12.07,14.0
2024-02-22,1.13,11.78,9.65,75.26,75.26,71.04,12.86,6.76,6.39
2024-02-23,1.7,21.35,18.61,62.65,62.65,62.96,10.78,5.95,6.96
2024-02-24,1.52,17.43,15.0,68.61,68.61,73.04,4.24,2.07,5.26
2024-02-25,1.22,10.04,7.74,63.39,63.39,63.48,5.84,2.73,5.04
