Date,Benceno (µg/m3),CO (mg/m3),CO 8h (mg/m3),Etilbenceno (µg/m3),NO (µg/m3),NOX (µg/m3),NO2,Ortoxileno (µg/m3),PM10,"PM2,5",SO2,Tolueno (µg/m3)
2024-01-01,0.12,0.2,0.22,0.0,4.67,30.81,24.0,0.18,18.39,11.3,5.48,0.53
2024-01-02,0.02,0.17,0.16,0.0,1.62,11.06,8.62,0.04,7.2,3.95,2.38,0.16
2024-01-03,0.38,0.35,0.32,0.22,11.86,56.82,39.14,1.08,10.42,5.3,6.23,1.79
2024-01-04,0.05,0.22,0.23,0.02,2.27,22.09,18.86,0.36,14.1,7.84,5.18,0.58
2024-01-05,0.03,0.21,0.22,0.0,1.59,18.77,17.05,0.16,6.46,2.64,2.82,0.44
2024-01-06,0.04,0.21,0.2,0.0,1.68,15.5,13.41,0.05,5.82,2.43,4.23,0.18
2024-01-07,0.05,0.2,0.2,0.0,1.5,19.68,17.86,0.06,6.63,2.94,3.36,0.22
2024-01-08,0.22,0.27,0.25,0.16,13.77,57.09,36.59,0.81,7.8,4.52,4.45,1.3
2024-01-09,0.56,0.32,0.33,0.23,17.39,60.33,34.17,1.16,17.95,13.54,6.67,1.78
2024-01-10,0.5,0.32,0.34,0.27,21.33,62.78,30.28,1.22,26.88,20.89,6.44,1.98
2024-01-11,0.31,0.27,0.26,0.06,6.9,43.8,33.8,0.59,12.67,9.21,6.0,1.2
2024-01-12,0.54,0.32,0.32,0.32,15.5,58.75,35.55,1.49,16.42,12.26,8.0,2.11
2024-01-13,0.14,0.27,0.28,0.01,6.5,45.3,35.8,0.52,15.48,10.32,6.0,0.89
2024-01-14,0.2,0.38,0.35,0.1,12.45,57.09,38.55,0.81,14.36,7.8,4.14,1.4
2024-01-15,0.42,0.44,0.46,0.4,46.91,115.55,44.32,1.95,10.96,6.51,5.45,3.03
2024-01-16,0.14,0.31,0.35,0.26,19.71,65.14,35.5,1.52,14.82,9.1,6.14,2.72
2024-01-17,0.01,0.16,0.17,0.01,2.5,15.4,11.9,0.3,12.68,6.69,3.0,0.76
