Date,CO (mg/m3),CO 8h (mg/m3),NO (µg/m3),NOX (µg/m3),NO2,O3 (µg/m3),OZONO,O3 8h (µg/m3),PM10,"PM2,5",SO2
2024-01-03,0.36,0.39,29.6,99.6,54.5,8.6,8.6,15.4,14.08,8.14,1.0
2024-01-04,0.18,0.16,7.75,42.38,30.38,35.25,35.25,32.44,14.4,8.64,1.81
2024-01-05,0.19,0.18,4.68,28.73,21.59,46.09,46.09,44.77,7.88,4.18,3.0
2024-01-06,0.26,0.26,4.05,28.14,22.09,45.95,45.95,45.41,5.77,3.18,1.86
2024-01-07,0.22,0.22,4.82,34.18,27.14,41.64,41.64,44.68,6.9,4.07,1.0
2024-01-08,0.22,0.19,21.22,64.89,32.78,23.22,23.22,28.0,6.52,4.53,1.0
2024-01-10,0.34,0.36,29.67,85.2,39.8,12.07,12.07,9.87,22.31,18.14,0.87
2024-01-11,0.29,0.28,24.58,75.21,37.79,14.95,14.95,17.16,13.31,10.74,0.63
2024-01-12,0.34,0.31,35.7,92.7,38.05,10.5,10.5,11.0,16.76,14.09,0.95
2024-01-13,0.28,0.31,17.33,64.6,38.33,16.27,16.27,15.73,15.15,11.86,0.4
2024-01-14,0.3,0.26,17.09,61.32,35.32,13.82,13.82,17.73,13.32,8.37,0.5
2024-01-15,0.5,0.48,63.82,139.14,41.45,8.5,8.5,8.36,11.01,7.67,1.09
2024-01-16,0.33,0.42,22.5,63.67,29.33,19.42,19.42,15.92,14.36,9.84,1.17
2024-01-17,0.17,0.18,1.86,11.27,8.18,49.73,49.73,45.32,10.67,6.44,1.0
2024-01-18,0.25,0.24,2.86,18.21,13.93,53.71,53.71,53.5,6.18,3.51,1.0
2024-01-19,0.28,0.28,9.0,39.86,26.23,51.45,51.45,52.91,9.52,5.75,1.05
2024-01-20,0.29,0.29,19.45,72.45,42.86,27.14,27.14,30.64,11.06,7.97,1.27
2024-01-21,0.24,0.23,11.65,53.65,35.7,36.3,36.3,33.0,9.83,7.91,1.04
2024-01-22,0.33,0.33,11.0,47.23,30.55,43.95,43.95,41.73,6.98,4.74,1.0
2024-01-23,0.42,0.39,43.86,103.5,36.23,24.41,24.41,32.36,12.28,8.26,1.91
2024-01-24,0.42,0.41,53.75,115.5,33.12,14.56,14.56,13.69,15.15,9.15,2.81
2024-01-25,0.42,0.47,48.15,111.15,37.69,19.08,19.08,14.92,23.02,13.64,2.92
2024-01-26,0.46,0.54,47.88,111.81,38.56,15.75,15.75,14.81,29.26,20.27,3.56
2024-01-27,0.4,0.41,37.94,102.67,44.89,14.22,14.22,14.28,32.89,26.3,3.83
2024-01-28,0.25,0.27,4.3,31.15,24.8,41.8,41.8,36.9,18.39,13.55,2.55
2024-01-29,0.27,0.27,12.57,53.71,34.38,37.95,37.95,40.52,15.33,11.44,2.43
2024-01-30,0.32,0.31,18.42,63.47,35.21,31.16,31.16,33.58,18.96,13.33,2.32
2024-01-31,0.37,0.33,45.7,120.9,50.95,18.65,18.65,19.75,24.4,17.36,3.25
2024-02-01,0.35,0.38,37.72,103.78,46.06,23.83,23.83,19.67,41.88,26.57,3.44
2024-02-02,0.33,0.29,15.63,66.47,42.89,30.63,30.63,36.32,28.36,17.34,1.47
2024-02-03,0.29,0.31,6.0,40.91,32.09,33.0,33.0,32.55,15.27,12.08,0.73
2024-02-04,0.29,0.3,6.22,36.17,26.61,29.72,29.72,29.94,21.19,20.1,0.78
2024-02-05,0.29,0.31,8.13,42.13,30.07,30.4,30.4,29.33,27.92,26.11,0.67
2024-02-06,0.36,0.35,25.0,76.29,38.36,23.14,23.14,31.21,34.91,30.0,1.43
2024-02-07,0.32,0.38,27.25,69.5,27.75,33.33,33.33,27.25,34.36,25.01,1.83
2024-02-08,0.17,0.17,2.68,12.82,8.55,64.09,64.09,61.82,30.78,15.82,1.0
2024-02-09,0.28,0.25,5.8,30.05,21.25,49.45,49.45,54.55,9.58,4.12,1.15
2024-02-10,0.27,0.29,3.09,20.64,15.59,67.59,67.59,62.59,7.52,4.51,1.59
2024-02-11,0.23,0.23,1.91,15.09,12.23,61.18,61.18,61.5,8.81,5.66,1.14
2024-02-12,0.27,0.24,6.13,30.47,21.2,54.0,54.0,56.73,5.74,3.34,1.27
2024-02-13,0.37,0.35,28.71,82.81,38.76,26.05,26.05,28.81,14.25,8.16,2.24
2024-02-14,0.35,0.39,23.78,66.39,30.11,30.67,30.67,27.5,13.2,7.46,1.67
2024-02-15,0.26,0.25,6.15,32.35,23.1,49.3,49.3,46.3,13.76,6.47,2.2
2024-02-16,0.3,0.29,11.82,54.09,36.0,44.45,44.45,53.95,13.87,6.83,3.09
2024-02-17,0.29,0.29,19.5,66.75,37.0,26.75,26.75,29.25,16.41,10.92,3.2
2024-02-18,0.31,0.29,14.89,59.11,36.61,27.39,27.39,25.0,12.01,8.61,3.39
2024-02-19,0.29,0.32,6.38,39.88,30.19,45.06,45.06,41.44,11.46,8.38,3.19
2024-02-20,0.31,0.28,37.53,98.65,41.76,18.06,18.06,28.53,18.41,11.75,3.53
2024-02-21,0.34,0.4,39.65,102.71,42.0,23.35,23.35,16.12,24.96,14.94,3.59
2024-02-22,0.3,0.29,2.7,12.5,8.5,63.7,63.7,57.8,19.82,11.07,3.0
2024-02-23,0.17,0.16,3.29,24.0,18.86,70.71,70.71,62.71,9.25,5.03,3.0
2024-02-24,0.24,0.21,4.59,30.0,23.09,62.91,62.91,68.68,5.26,2.82,2.86
2024-02-25,0.22,0.22,2.5,16.59,13.05,58.23,58.23,58.27,7.14,4.21,3.05
2024-02-26,0.22,0.21,3.81,22.52,16.52,68.81,68.81,65.9,11.29,6.88,3.0
2024-02-27,0.22,0.24,3.12,21.19,16.88,68.19,68.19,68.38,14.35,8.57,2.44
2024-02-28,0.25,0.24,6.41,45.64,35.86,54.18,54.18,61.18,13.56,7.75,2.23
2024-02-29,0.25,0.26,16.86,60.73,34.91,40.91,40.91,35.36,13.29,9.0,2.18
2024-03-01,0.24,0.23,6.95,36.95,26.37,54.26,54.26,58.11,9.68,6.01,0.95
2024-03-02,0.22,0.24,2.73,22.41,17.86,69.73,69.73,66.73,6.11,3.9,1.14
2024-03-03,0.22,0.2,4.05,28.73,22.5,63.82,63.82,66.91,4.95,3.21,1.05
2024-03-04,0.29,0.26,18.56,70.62,42.44,36.06,36.06,41.5,8.64,5.8,1.25
2024-03-05,0.26,0.25,15.95,62.91,38.77,38.45,38.45,45.82,13.21,7.77,1.23
2024-03-06,0.3,0.28,34.68,102.0,49.21,23.37,23.37,25.53,21.64,12.23,2.63
2024-03-07,0.23,0.26,3.33,30.78,26.0,55.11,55.11,43.11,18.03,11.04,1.22
2024-03-08,0.21,0.22,3.32,21.27,16.32,68.77,68.77,70.73,8.78,4.72,0.95
2024-03-09,0.16,0.16,1.5,10.55,8.23,79.91,79.91,77.27,4.3,2.2,0.91
2024-03-10,0.21,0.2,1.68,13.73,11.18,76.23,76.23,78.86,3.44,1.99,1.05
2024-03-11,0.28,0.25,6.5,37.59,27.86,57.73,57.73,66.32,6.9,4.52,1.09
2024-03-12,0.35,0.37,14.0,64.27,42.91,22.82,22.82,20.27,13.81,9.4,1.73
2024-03-13,0.31,0.31,36.53,101.0,45.4,19.13,19.13,17.13,15.92,9.93,3.47
2024-03-14,0.26,0.31,12.88,55.38,35.56,40.0,40.0,30.69,21.74,11.91,1.56
2024-03-15,0.24,0.23,14.85,56.85,34.31,52.31,52.31,51.23,17.55,10.2,1.38
2024-03-16,0.26,0.27,13.42,49.84,29.26,35.11,35.11,33.95,16.22,10.77,1.79
2024-03-17,0.27,0.23,5.15,33.9,26.15,50.45,50.45,55.65,10.37,7.13,1.45
2024-03-18,0.31,0.29,13.87,52.8,31.73,33.27,33.27,34.53,16.12,11.65,1.73
2024-03-19,0.32,0.33,6.5,34.4,24.4,41.1,41.1,39.7,20.27,15.42,1.75
2024-03-20,0.3,0.28,8.44,37.72,24.83,41.72,41.72,44.5,24.64,20.87,1.17
2024-03-21,0.29,0.29,17.38,63.0,36.69,35.44,35.44,39.94,21.5,14.65,1.88
2024-03-22,0.3,0.28,22.38,64.75,30.69,29.94,29.94,26.44,31.54,25.73,2.06
2024-03-23,0.25,0.27,3.35,20.59,15.41,68.88,68.88,67.76,26.0,19.7,1.0
2024-03-24,0.18,0.15,2.6,23.6,19.67,63.33,63.33,65.73,14.44,8.7,1.33
2024-03-25,0.26,0.26,14.5,57.06,35.19,34.31,34.31,31.25,14.7,8.96,1.56
2024-03-26,0.18,0.17,5.77,32.18,23.64,59.0,59.0,62.95,11.05,5.84,1.09
2024-03-27,0.18,0.18,2.73,19.59,15.32,65.64,65.64,62.27,6.52,3.35,1.0
2024-03-28,0.21,0.21,0.91,9.27,7.77,81.64,81.64,82.0,8.9,4.46,1.14
2024-03-29,0.2,0.2,1.59,19.32,17.0,76.27,76.27,77.18,4.46,2.36,1.09
2024-03-30,0.22,0.2,3.35,28.65,23.61,52.17,52.17,56.22,5.06,3.57,1.52
2024-03-31,0.23,0.24,3.95,24.91,19.05,57.27,57.27,56.41,4.68,3.37,1.5
2024-04-01,0.21,0.21,1.55,17.64,15.18,71.68,71.68,71.05,4.98,3.26,1.05
2024-04-02,0.24,0.26,1.71,13.41,11.0,74.29,74.29,64.88,7.15,4.04,1.0
2024-04-03,0.14,0.15,3.65,20.87,15.17,68.65,68.65,68.87,6.45,3.5,1.0
2024-04-04,0.21,0.2,2.45,16.14,12.45,74.59,74.59,74.18,8.99,5.37,1.0
2024-04-05,0.23,0.23,2.23,20.45,16.95,74.27,74.27,72.32,10.32,5.21,1.09
2024-04-06,0.23,0.22,2.21,24.74,21.47,76.16,76.16,80.95,19.04,8.29,1.32
2024-04-07,0.31,0.3,6.68,39.64,29.77,42.77,42.77,51.05,29.95,15.7,1.14
2024-04-08,0.25,0.27,5.05,25.6,18.05,62.4,62.4,51.8,16.45,10.26,1.05
2024-04-09,0.24,0.24,3.91,26.14,20.27,67.55,67.55,73.45,10.99,5.8,1.23
2024-04-10,0.26,0.23,16.5,59.0,33.75,21.5,21.5,39.38,16.59,9.22,1.62
2024-04-11,0.25,0.24,14.68,51.64,29.14,43.18,43.18,42.68,16.63,9.52,1.64
2024-04-12,0.32,0.31,18.31,88.54,60.85,33.92,33.92,35.08,22.38,12.68,4.31
2024-04-13,0.26,0.26,11.86,55.9,38.0,40.71,40.71,38.57,23.48,13.68,2.9
2024-04-14,0.22,0.24,8.69,39.08,26.15,52.54,52.54,46.85,20.42,15.84,2.31
2024-04-15,0.17,0.17,5.2,30.7,22.9,57.75,57.75,57.55,15.71,12.1,1.0
2024-04-16,0.17,0.17,4.05,30.14,23.95,72.91,72.91,70.86,12.49,7.05,1.0
2024-04-17,0.18,0.18,3.07,25.71,21.07,70.57,70.57,75.71,13.56,7.42,1.21
2024-04-18,0.24,0.23,6.86,39.05,28.77,49.18,49.18,54.77,10.62,5.87,1.09
2024-04-19,0.25,0.25,14.36,49.14,27.14,42.68,42.68,40.41,13.81,8.11,1.73
2024-04-20,0.21,0.2,7.27,35.95,24.77,47.27,47.27,47.5,15.08,9.28,1.36
2024-04-21,0.19,0.19,3.5,20.82,15.77,62.05,62.05,59.77,14.04,9.16,1.32
2024-04-22,0.23,0.23,2.57,18.57,14.7,81.91,81.91,80.3,12.25,6.99,1.04
2024-04-23,0.28,0.27,5.59,34.64,26.09,66.0,66.0,69.86,9.81,5.36,1.14
2024-04-24,0.34,0.32,11.62,50.94,33.44,41.75,41.75,48.44,13.19,8.76,1.5
2024-04-25,0.39,0.37,14.93,63.6,41.0,26.2,26.2,34.6,15.21,9.62,1.8
2024-04-26,0.41,0.4,12.73,46.0,26.73,30.64,30.64,37.27,16.23,10.84,1.45
2024-04-27,0.39,0.39,3.95,28.32,22.45,55.09,55.09,58.86,11.28,7.6,1.45
2024-04-28,0.39,0.4,7.41,32.45,21.18,52.0,52.0,49.14,9.57,5.74,1.95
2024-04-29,0.46,0.42,14.5,47.29,25.07,36.57,36.57,57.93,13.01,7.58,1.86
2024-04-30,0.45,0.46,14.5,41.09,19.05,49.5,49.5,45.41,14.68,8.64,2.18
2024-05-01,0.42,0.41,5.36,26.41,18.14,67.73,67.73,69.64,8.81,5.03,1.77
2024-05-02,0.46,0.45,10.77,35.36,19.0,45.05,45.05,50.55,8.02,4.45,1.77
2024-05-03,0.52,0.51,8.47,30.8,18.07,44.53,44.53,48.27,11.34,7.15,1.47
2024-05-04,0.51,0.5,1.68,11.18,8.59,61.41,61.41,61.73,6.56,3.58,1.73
2024-05-05,0.55,0.55,1.81,15.19,12.43,63.67,63.67,61.67,5.83,3.51,1.9
2024-05-06,0.58,0.57,4.73,28.64,21.41,60.23,60.23,59.36,8.4,4.95,2.0
2024-05-07,0.58,0.58,3.68,24.32,18.91,67.95,67.95,69.23,12.67,7.26,1.95
2024-05-08,0.6,0.59,8.07,32.67,20.67,53.6,53.6,61.73,13.48,9.12,2.0
2024-05-09,0.68,0.66,15.05,53.21,30.32,39.68,39.68,40.26,17.88,12.85,2.26
2024-05-10,0.69,0.69,17.55,61.91,35.41,46.05,46.05,42.23,23.78,15.87,2.55
2024-05-11,0.72,0.71,7.27,42.77,31.73,47.23,47.23,49.82,24.23,17.31,2.45
2024-05-12,0.67,0.68,2.16,20.37,17.21,64.21,64.21,66.68,21.13,17.93,2.0
2024-05-13,0.73,0.73,11.08,40.31,23.54,37.54,37.54,40.62,18.95,14.26,2.0
2024-05-14,0.84,0.83,9.5,41.05,26.65,38.0,38.0,42.5,12.48,8.07,2.0
2024-05-15,0.82,0.82,9.43,39.13,24.91,37.65,37.65,36.43,12.25,7.88,2.09
2024-05-16,0.76,0.76,7.14,31.77,20.68,47.14,47.14,47.91,10.03,6.63,2.0
2024-05-17,0.79,0.78,7.77,35.68,24.05,47.0,47.0,52.14,11.6,7.45,2.09
2024-05-18,0.8,0.79,6.82,31.41,21.05,37.64,37.64,38.41,12.24,9.27,2.05
2024-05-19,0.78,0.78,3.61,23.11,17.94,56.44,56.44,54.44,10.85,8.05,2.06
2024-05-20,0.78,0.78,5.36,27.59,19.82,51.14,51.14,55.5,8.6,5.57,2.0
2024-05-21,0.76,0.78,6.28,32.56,23.17,49.67,49.67,49.33,15.79,10.48,2.06
2024-05-22,0.75,0.73,16.33,51.67,26.67,28.67,28.67,30.67,14.2,9.64,2.17
2024-05-23,0.72,0.73,4.46,24.46,17.92,61.69,61.69,59.77,11.78,7.21,2.08
2024-05-24,0.72,0.72,3.38,28.69,23.69,51.75,51.75,56.56,17.58,11.32,2.69
2024-05-25,0.79,0.75,8.0,46.2,34.0,17.4,17.4,36.4,18.02,11.86,2.4
2024-05-26,0.91,0.91,3.0,25.56,21.11,51.17,51.17,47.83,13.04,9.46,2.17
2024-05-27,0.88,0.88,8.27,36.32,23.95,51.73,51.73,52.0,12.52,8.29,2.0
2024-05-28,0.93,0.93,12.52,45.86,26.9,42.76,42.76,41.9,14.94,8.88,2.48
2024-05-29,0.97,0.94,2.0,25.33,22.0,42.67,42.67,57.67,18.0,11.8,2.0
2024-05-30,0.93,0.94,6.07,33.0,23.87,47.0,47.0,41.27,17.03,13.12,2.0
2024-05-31,0.87,0.87,4.59,29.5,22.55,59.55,59.55,60.59,13.44,8.16,2.0
2024-06-01,0.89,0.88,4.32,26.09,19.55,50.18,50.18,49.86,13.85,8.89,2.0
2024-06-02,0.89,0.88,2.0,16.61,13.61,58.22,58.22,59.11,11.54,8.49,2.0
2024-06-03,0.94,0.93,7.27,37.14,26.18,45.59,45.59,48.5,16.22,13.73,2.0
2024-06-04,0.96,0.95,9.64,39.55,24.91,46.59,46.59,47.32,18.15,13.77,2.09
2024-06-05,0.95,0.95,15.4,52.05,28.6,40.25,40.25,38.45,23.55,16.17,2.4
2024-06-06,0.91,0.9,9.95,36.95,21.81,40.9,40.9,41.9,20.79,12.89,2.05
2024-06-07,0.96,0.95,7.14,33.55,22.82,47.0,47.0,48.77,20.63,14.62,2.0
2024-06-08,0.98,0.97,4.54,30.54,23.69,36.54,36.54,43.0,24.59,19.2,2.0
2024-06-09,0.93,0.94,2.42,18.79,15.05,58.16,58.16,57.79,18.64,14.08,1.95
2024-06-10,0.9,0.9,5.23,24.27,16.32,51.05,51.05,49.86,12.97,7.57,2.0
2024-06-11,0.91,0.89,5.4,27.87,19.8,46.93,46.93,52.8,13.4,8.75,2.0
2024-06-12,0.91,0.91,8.77,32.41,19.23,44.05,44.05,47.32,14.11,8.39,2.0
2024-06-13,0.91,0.91,6.82,32.05,21.64,44.0,44.0,43.64,15.01,9.0,1.95
2024-06-14,0.97,0.97,11.4,46.35,29.25,35.8,35.8,38.9,14.94,9.26,1.8
2024-06-15,0.9,0.89,3.5,22.23,17.27,54.95,54.95,56.82,13.67,8.47,2.0
2024-06-16,0.91,0.9,5.0,24.22,17.11,34.33,34.33,41.11,12.47,8.55,1.89
2024-06-17,0.96,0.95,16.14,49.77,25.41,32.32,32.32,29.73,11.77,6.3,1.95
2024-06-18,0.97,0.96,8.4,33.8,21.2,36.4,36.4,37.67,14.46,8.33,1.73
2024-06-19,0.96,0.96,9.32,35.77,21.55,43.55,43.55,41.91,14.02,8.63,1.82
2024-06-20,0.95,0.94,8.08,36.77,24.69,41.23,41.23,42.46,13.08,8.65,1.92
2024-06-21,0.93,0.93,4.14,25.5,19.14,54.95,54.95,56.77,11.69,7.66,1.45
2024-06-22,0.97,0.97,4.3,24.15,17.75,43.05,43.05,45.4,16.05,11.33,1.65
2024-06-23,0.99,0.99,3.95,23.4,17.45,30.5,30.5,32.6,11.9,9.4,1.15
2024-06-24,1.0,0.99,7.87,29.53,17.67,29.67,29.67,34.53,9.29,7.61,1.0
2024-06-25,0.6,0.57,6.4,27.6,17.9,24.9,24.9,24.1,20.69,12.79,1.1
2024-06-26,0.26,0.25,10.33,35.9,20.1,29.38,29.38,29.19,24.98,16.4,1.0
