Date,Benceno (µg/m3),CO (mg/m3),NOX (µg/m3),NO2,PM10,"PM2,5",SO2,O3 (µg/m3),OZONO
2024-06-20,0.02,0.62,10.5,9.75,12.32,7.11,3.38,91.5,91.5
2024-06-21,0.07,0.54,8.5,7.21,9.75,5.18,1.93,85.5,85.5
2024-06-22,0.12,0.48,15.7,12.78,12.75,7.88,2.09,58.74,58.74
2024-06-23,0.08,0.37,17.65,15.0,9.72,6.75,1.0,41.09,41.09
2024-06-24,0.19,0.32,17.22,12.17,6.56,4.46,1.48,55.78,55.78
2024-06-25,0.2,0.84,50.55,28.09,14.73,8.13,4.36,32.91,32.91
2024-06-26,0.18,0.59,28.67,19.58,21.2,12.3,3.92,63.58,63.58
2024-06-27,0.17,0.59,25.24,18.95,21.92,13.32,1.86,58.57,58.57
2024-06-28,0.11,0.35,14.86,11.71,15.78,8.72,1.29,57.05,57.05
2024-06-29,0.17,0.53,11.13,9.96,14.46,7.24,2.43,73.96,73.96
2024-06-30,0.09,0.42,12.13,10.0,9.88,5.68,2.83,67.17,67.17
2024-07-01,0.14,0.5,17.09,12.78,8.78,4.87,2.57,54.26,54.26
2024-07-02,0.12,0.41,14.57,11.71,8.85,4.69,2.9,65.57,65.57
2024-07-03,0.11,0.33,12.83,9.91,12.14,7.56,7.43,69.48,69.48
2024-07-04,0.17,0.38,25.91,17.48,14.1,8.45,9.57,52.57,52.57
2024-07-05,0.28,0.47,17.65,12.52,12.23,6.46,3.87,55.04,55.04
2024-07-06,0.48,0.44,9.26,8.22,12.55,6.93,4.04,69.83,69.83
2024-07-07,0.11,0.4,12.43,9.7,11.1,5.34,3.17,57.0,57.0
2024-07-08,0.32,0.4,27.65,18.57,15.13,7.02,5.78,56.52,56.52
2024-07-09,0.19,0.45,27.3,21.25,17.97,8.63,3.3,42.05,42.05
2024-07-10,0.18,0.4,22.35,14.13,15.12,7.56,3.26,55.43,55.43
2024-07-11,0.16,0.37,13.64,10.93,16.47,10.74,4.21,71.36,71.36
2024-07-12,0.3,0.45,13.26,11.48,9.29,5.02,3.83,70.09,70.09
2024-07-13,0.08,0.39,11.22,8.04,10.31,5.0,3.0,63.78,63.78
2024-07-14,0.14,0.43,15.61,12.7,11.48,7.34,5.17,54.91,54.91
2024-07-15,0.11,0.37,22.07,16.67,16.73,10.54,4.67,48.13,48.13
2024-07-16,0.13,0.24,21.17,14.3,15.77,6.77,4.48,56.57,56.57
